,genes
0,CDK5
1,EIF4E
2,C4B
3,GABRA2
4,INSYN2A
5,SEMA4F
6,VPS35
7,SYT5
8,CBLN1
9,NUMB
10,ADGRL1
11,NMU
12,NTRK3
13,RAB5C
14,CDH11
15,CHRNA5
16,ITSN1
17,STX11
18,SRC
19,TSC2
20,SNPH
21,WASF2
22,SNAP47
23,MPST
24,ANKS1B
25,GABRG3
26,PCLO
27,PENK
28,EPB41
29,PTPRA
30,CHRNB3
31,TTYH1
32,CNN3
33,PSD2
34,OPHN1
35,PPFIBP2
36,CEL
37,PACSIN1
38,BSN
39,ABHD6
40,ADORA2B
41,GRIA3
42,LRRC4B
43,PICK1
44,SV2B
45,NECTIN3
46,DOK7
47,TUBA1A
48,CDC42
49,GRM7
50,ABLIM3
51,CYFIP1
52,PPP1CA
53,CABP4
54,ICA1
55,PSEN2
56,FZD9
57,FLOT1
58,DVL1
59,ARFGEF2
60,FLRT2
61,SCAMP5
62,CHRNA10
63,TRIP4
64,WASF1
65,MPP2
66,GOT1
67,NLGN1
68,KCND3
69,DLGAP3
70,OPRD1
71,ELFN1
72,RIMS1
73,RPS19
74,SEPT3
75,BCL2L1
76,NMNAT2
77,VDAC1
78,KCNJ4
79,KCNN2
80,LGI1
81,SCN2A
82,TANC1
83,GABRA6
84,LRRTM4
85,ZNRF1
86,ARRB1
87,LRP8
88,CLCN3
89,MAP2
90,ABHD17A
91,ITGB1
92,PALM
93,RPLP2
94,SNCA
95,SYN3
96,DDN
97,DRD4
98,HSPA8
99,CDH13
100,SLC8A1
101,NECTIN1
102,HTR3C
103,ATP2B4
104,CALM1
105,CTNNB1
106,CYFIP2
107,ARHGEF2
108,DOC2B
109,LRFN1
110,PCDH8
111,DSCAM
112,NPAS4
113,MICAL1
114,PKP4
115,CAMK2N1
116,SH3GL3
117,ADGRL3
118,CADM3
119,GDI2
120,LHFPL4
121,MAPT
122,NTRK2
123,PPP3CB
124,CDH2
125,CD3E
126,WNT5A
127,RPS13
128,PPP2R1A
129,CACNG4
130,GRM2
131,LYPD6
132,NEURL1
133,UNC13C
134,VDAC2
135,CRTC1
136,GRIP1
137,KCNMA1
138,NRG1
139,MAPK10
140,SH3GL1
141,ANK1
142,DAGLA
143,PPM1H
144,ZMYND8
145,CAMK1
146,BCAN
147,IGSF21
148,LAMP5
149,ADCYAP1
150,ABHD17B
151,KCNK1
152,GRIK3
153,MDGA1
154,P2RX4
155,SEPT1
156,GAK
157,ACHE
158,GRIK1
159,IGSF9
160,GABRR3
161,WDR7
162,C1QB
163,JAK2
164,CALCA
165,DGKZ
166,P2RX3
167,RNF112
168,STXBP3
169,ATP1A1
170,PRR7
171,P2RX1
172,DES
173,KCNH1
174,SAMD4A
175,GRIN2D
176,PDE2A
177,PRKCZ
178,GABRA1
179,GRID2IP
180,NRGN
181,KCNA3
182,PTPRO
183,EPHA7
184,PTPRD
185,ADD1
186,CORO1A
187,GIPC1
188,GRM5
189,KLHL17
190,RAPGEF4
191,HDAC4
192,NTS
193,SNTB2
194,RTN3
195,SYT10
196,TULP1
197,GABRG2
198,PDZD11
199,LRRK2
200,ARRB2
201,SNAP29
202,P2RY1
203,PLCB3
204,SLC32A1
205,GSK3A
206,SNCAIP
207,PSMC5
208,HOMER1
209,SSPN
210,TMUB1
211,IQSEC2
212,LRFN3
213,RPL14
214,TRPV1
215,VPS45
216,ERC1
217,VTI1A
218,RIMS3
219,DNM3
220,TLN2
221,ARC
222,DRP2
223,ATP6V0D1
224,ACTC1
225,ILK
226,SIGMAR1
227,GABBR1
228,ALS2
229,GLRA1
230,CASK
231,P2RX6
232,CASR
233,CHRNA9
234,STX10
235,DLG1
236,SYNGR3
237,TNN
238,CRHR2
239,PLEKHG5
240,DISC1
241,ELK1
242,GUCY1A1
243,VAMP4
244,CHRM2
245,BLVRB
246,OLFM1
247,GPM6A
248,DBN1
249,FCHSD1
250,SCAMP1
251,STRN
252,CPEB4
253,GABRE
254,ASCC1
255,DNM2
256,HAPLN1
257,ARHGAP22
258,SH3KBP1
259,PTPRN2
260,RAB27B
261,DOC2A
262,MUSK
263,VAMP2
264,SDK1
265,TNIK
266,DNAJA3
267,MIB1
268,RPL18A
269,C1QA
270,EPHA4
271,KCNJ2
272,FZD3
273,MAPK1
274,YWHAG
275,LIN7A
276,GRIK5
277,SLC6A9
278,SNAP25
279,SYNPO
280,ARF6
281,MECP2
282,RPL5
283,KCNA4
284,FMR1
285,NRG3
286,CPLX2
287,ARF1
288,CHRNG
289,PSENEN
290,COMT
291,DGKB
292,CACNA1B
293,ARHGAP39
294,PRKACA
295,SEPT11
296,SOS1
297,ADAM23
298,CPEB2
299,SYT4
300,PRKCB
301,TBC1D24
302,AP3D1
303,ARL8B
304,ERBB4
305,EGLN1
306,AKAP7
307,NDUFS7
308,SRCIN1
309,PPP1R9B
310,RAB5B
311,ADGRA1
312,KPNA1
313,FGB
314,NOS1AP
315,XRN1
316,SLITRK3
317,PACSIN2
318,TIAM1
319,ATAD1
320,STX7
321,FGA
322,SYT2
323,RPS6KB1
324,DLG3
325,RAB33B
326,EEF2
327,GSG1L
328,SCRIB
329,SLC17A6
330,RHEB
331,GABRG1
332,PAK2
333,MACO1
334,AC245033.1
335,RPS3A
336,STX4
337,RPS20
338,RAB3B
339,SVOP
340,GABRA4
341,CBLN2
342,KCTD12
343,PPP2R2A
344,HIP1
345,NLGN3
346,SLC17A8
347,GRM6
348,DNAJB1
349,CDH8
350,SLC9A6
351,NDFIP1
352,PABPC1
353,SLC22A2
354,NF1
355,PRRT2
356,DCC
357,TUFM
358,SEPT8
359,CAP2
360,BNIP3
361,RAB27A
362,ZNRF2
363,HRAS
364,RAC1
365,EEA1
366,RNF40
367,ADRA2C
368,FRMPD4
369,MAF1
370,DLG2
371,PICALM
372,DYNLL2
373,SYT8
374,CDH10
375,TOR1A
376,UCN
377,USP46
378,VAMP7
379,PRKAR1A
380,ACTN1
381,DLGAP1
382,RAB3D
383,SHISA7
384,ABHD17C
385,MYL7
386,SYT7
387,GABRR1
388,GRID1
389,ABI2
390,PIP5K1C
391,AGRN
392,ATP2B3
393,COL13A1
394,GUCY1B1
395,PRRT1
396,KCNB1
397,SNTA1
398,SPTBN2
399,CADM2
400,DNAJC5
401,FYN
402,RPL6
403,DOCK10
404,PRIMA1
405,SYNE1
406,SPTBN1
407,HCN3
408,ARPC2
409,BAALC
410,CAMK4
411,DLGAP4
412,ANK3
413,DTNA
414,ADGRB3
415,AP3B1
416,CEP112
417,PPFIA2
418,LPAR1
419,KCNJ10
420,LRP6
421,P2RX2
422,ACTR2
423,KIF1A
424,BIN1
425,ADD2
426,NGF
427,RAB8B
428,EFNB1
429,RPH3A
430,ARHGAP44
431,CPEB3
432,LRRTM1
433,DNAJC6
434,P2RX5
435,ROGDI
436,HTR5A
437,NETO2
438,SYT6
439,SLC6A3
440,EPHB2
441,SNAP23
442,NPHP4
443,CDK5R1
444,CTBP1
445,KCTD16
446,POSTN
447,YWHAQ
448,GRID2
449,VWC2L
450,CACNG8
451,SLC4A7
452,ARR3
453,CACNG7
454,SYNPR
455,ABI1
456,HAP1
457,MME
458,MPDZ
459,EPS15
460,STX2
461,SLC1A7
462,P2RX7
463,DARS
464,MAPK14
465,MAP1B
466,AMPH
467,NRN1
468,CLSTN1
469,LRRTM3
470,ITGA2
471,PTPRS
472,ERBIN
473,SYNJ2
474,DSCAML1
475,DENND1A
476,ADRB1
477,BCL11A
478,DMXL2
479,FXYD6
480,ADAM22
481,FLNA
482,ITPR1
483,NSMF
484,ABR
485,POLG
486,SLC6A5
487,USH2A
488,MTHFR
489,GRIK2
490,PSMA7
491,RPLP0
492,CHRNA1
493,SHANK3
494,EIF3A
495,LZTS1
496,NAPA
497,PAK5
498,EGFLAM
499,SPARC
500,SLC16A3
501,ATP2B2
502,NEDD4
503,BACE1
504,PDE4B
505,CNTN5
506,SYN2
507,NPTXR
508,COPS5
509,ABL1
510,GRIN2B
511,ITGA8
512,PRKN
513,MAP1S
514,CHAT
515,APBB2
516,BDNF
517,SYPL1
518,CNTNAP1
519,FCGR2B
520,SHISA9
521,RPL24
522,ADD3
523,NRCAM
524,PSEN1
525,TRIM9
526,EMB
527,PURA
528,PLCG1
529,NRP1
530,RGS12
531,AKAP12
532,APBA1
533,ASIC1
534,CHRFAM7A
535,RGS9
536,SYNDIG1
537,STXBP5L
538,SLC17A7
539,PHB2
540,GABRP
541,NRP2
542,CALB2
543,KPTN
544,PHACTR1
545,PLEKHA5
546,PTEN
547,SORCS3
548,ATP2A2
549,GSK3B
550,NPTX2
551,CLU
552,CPLX4
553,CHRNA4
554,RAB6B
555,CBARP
556,CHRM5
557,CRHBP
558,GAD1
559,LAMB2
560,FAIM2
561,KCNJ9
562,RAB11A
563,RAPGEF2
564,SYNGR4
565,CDH9
566,TH
567,WFS1
568,ATP6V1B1
569,CADPS2
570,KIF5A
571,PFN2
572,GRM8
573,RHOA
574,ARHGEF9
575,SLC2A8
576,HTR1B
577,IL1RAP
578,SYT12
579,UBA52
580,GRM3
581,FBXL20
582,RIMBP2
583,SHISA8
584,ADCY1
585,BLOC1S6
586,ITGB3
587,MCTP2
588,PRKCG
589,SRGN
590,PRR12
591,FGFR2
592,GHRL
593,SEC22B
594,SLC30A3
595,NPTN
596,PALMD
597,EFNA2
598,RPL8
599,STAT3
600,HPCA
601,APH1A
602,GLRA3
603,NIPSNAP1
604,APBB1
605,HIP1R
606,KCNC3
607,DBNL
608,GLUL
609,LIN7C
610,WHRN
611,EEF2K
612,RPS23
613,PSD
614,STX6
615,BRSK1
616,CLN3
617,MEF2C
618,CHRNA7
619,PSD3
620,RIMS4
621,AKAP9
622,GNRH1
623,PCDH15
624,PLPPR4
625,SARM1
626,DRD3
627,RPL3
628,C1QL1
629,GRIK4
630,DNM1L
631,AAK1
632,CNTN2
633,NOS1
634,CTNNA2
635,FAM107A
636,MAPK8IP2
637,RAB4A
638,SLITRK1
639,CALM2
640,SRPX2
641,GRASP
642,GLRA4
643,PPP1R9A
644,SEPT6
645,RAB18
646,GAP43
647,PI4K2A
648,SNCB
649,CALM3
650,DNMBP
651,GOPC
652,PAK3
653,HTR3A
654,CACNG2
655,SLC30A1
656,DRD1
657,KCNAB2
658,NSF
659,RPS25
660,RAB10
661,FCHSD2
662,VAMP3
663,PPP2CA
664,SV2C
665,NRXN2
666,RAP1A
667,EIF2S1
668,USP50
669,PPP3CC
670,CDH1
671,EIF4EBP2
672,HNRNPR
673,GHSR
674,PPP3CA
675,GRM4
676,PSMA3
677,SPARCL1
678,DNM1
679,ARHGAP33
680,CIB2
681,DDC
682,KCNC4
683,NCK2
684,RTN4
685,VWC2
686,MYH10
687,FUS
688,ZACN
689,APP
690,GLRB
691,PPFIA3
692,SPART
693,GRIPAP1
694,CAMK2A
695,CTNND1
696,PPFIA4
697,SLC18A2
698,SEMA3F
699,UBE2I
700,NPTX1
701,TMEM240
702,SAMD14
703,MINK1
704,AKR1A1
705,CYP46A1
706,MYO5A
707,CHRM1
708,CHRNA3
709,STON2
710,CADPS
711,GABRB3
712,VPS18
713,KCNA1
714,RELA
715,EGFR
716,MTMR2
717,RUSC1
718,SLC6A2
719,SYNGR2
720,NTNG2
721,HTR3E
722,MFF
723,SLITRK4
724,SH3GL2
725,NETO1
726,PPT1
727,GPC6
728,IGF2BP1
729,RTN4R
730,SLC17A5
731,RAPSN
732,AKT1
733,SEMA4C
734,LRRC4
735,SIPA1L1
736,ACTBL2
737,RASGRP2
738,ACTN2
739,CTTNBP2
740,FXR2
741,RAB2B
742,CNTN6
743,RPS9
744,WASF3
745,PSMC4
746,OPRM1
747,GRIN2C
748,MAP1A
749,CNKSR2
750,PDYN
751,C16orf70
752,NPFF
753,RPS14
754,DAGLB
755,GABBR2
756,SUMO1
757,PDZRN3
758,IL1RAPL1
759,UNC5C
760,TANC2
761,CPLX1
762,PPFIA1
763,EPHB1
764,ATP1A3
765,GRM1
766,LAMA2
767,CRIPT
768,SYNC
769,GABRB2
770,PIAS3
771,SPG11
772,EPB41L3
773,RPS18
774,CLSTN3
775,TSPOAP1
776,CABP1
777,LRFN4
778,ARPC5L
779,SCGN
780,PPP1R1B
781,KCNC2
782,DMD
783,ARHGAP32
784,HNRNPA3
785,NLGN2
786,RAB15
787,HOMER2
788,RPS27
789,SRI
790,ADORA2A
791,TMED9
792,SV2A
793,RNF216
794,SEPT5
795,SLC29A2
796,CACNG5
797,CPEB1
798,PCDH17
799,SEZ6
800,CORO1C
801,AC099811.2
802,SLC8A3
803,SYP
804,SYAP1
805,RAB3C
806,PDLIM4
807,PLAT
808,TMEM108
809,ZMYND19
810,CALB1
811,RABAC1
812,DGKE
813,STX19
814,HOMER3
815,DLGAP2
816,CLTA
817,FCHO2
818,IQSEC3
819,CACNA1C
820,MYO7A
821,COL4A5
822,NLGN4X
823,GPC4
824,SLC5A7
825,STXBP1
