,genes
0,CDK5
1,EIF4E
2,GABRA2
3,SEMA4F
4,VPS35
5,PAK1
6,SYT5
7,CBLN1
8,NUMB
9,ADGRL1
10,PNKD
11,NTRK3
12,RAB5C
13,CDH11
14,ITSN1
15,AURKA
16,MAP2K1
17,SRC
18,TNC
19,TSC2
20,SCN8A
21,SNAP47
22,WASF2
23,ANKS1B
24,GABRG3
25,PCLO
26,PENK
27,PTPRA
28,SCN11A
29,LCK
30,TTYH1
31,CNN3
32,PSD2
33,OPHN1
34,PPFIBP2
35,PACSIN1
36,BSN
37,ABHD6
38,ADORA2B
39,GRIA3
40,EPHA3
41,LRRC4B
42,PICK1
43,RAB7A
44,SV2B
45,NECTIN3
46,GRM7
47,ABLIM3
48,CYFIP1
49,PPP1CA
50,PSEN2
51,CYTH1
52,RPS16
53,ANO2
54,FLOT1
55,DVL1
56,ARFGEF2
57,FZD9
58,SCAMP5
59,CHRNA10
60,WASF1
61,MPP2
62,DGCR8
63,PPP3R1
64,PTPRF
65,NLGN1
66,KCND3
67,DLGAP3
68,PUM2
69,OPRD1
70,RPS19
71,RIMS1
72,SEPT3
73,RPL35
74,VDAC1
75,LGI1
76,KCNN2
77,SCN2A
78,TANC1
79,GABRA6
80,LRRTM4
81,CACNB1
82,DOCK1
83,CLCN3
84,ABHD17A
85,ITGB1
86,RPLP2
87,SNCA
88,SYN3
89,RAB14
90,CALD1
91,DRD4
92,HSPA8
93,CDH13
94,SLC8A1
95,NECTIN1
96,LRFN1
97,ATP2B4
98,CTNNB1
99,CYFIP2
100,MYO9A
101,ARHGEF2
102,PCDH8
103,RPS5
104,BAIAP2
105,DRD5
106,SH3GL3
107,HTR1A
108,CDH23
109,KCNQ5
110,CADM3
111,GDI2
112,LHFPL4
113,NTRK2
114,PPP3CB
115,IQSEC1
116,CDH2
117,RPS15
118,RPSA
119,RPS13
120,PPP2R1A
121,CACNG4
122,ATP6V1H
123,CSNK2B
124,SH3GLB2
125,UNC13C
126,CRTC1
127,GRIP1
128,KCNMA1
129,NRG1
130,MAPK10
131,RGS7
132,SH3GL1
133,DAGLA
134,PPM1H
135,CAMK1
136,BCAN
137,ABHD17B
138,GRIK1
139,ACHE
140,RPL34
141,JAK2
142,P2RX3
143,DGKZ
144,STXBP3
145,PRR7
146,P2RX1
147,KCNH1
148,GRIN2D
149,RPS2
150,FGG
151,GABRA1
152,NRGN
153,RAB1A
154,KCNA3
155,GRK3
156,PTPRO
157,EPHA7
158,PTPRD
159,ADD1
160,CORO1A
161,ALDOC
162,GIPC1
163,GRM5
164,KLHL17
165,ZDHHC5
166,RAPGEF4
167,RTN3
168,SYT10
169,GABRG2
170,LRRK2
171,SNAP29
172,P2RY1
173,PLCB3
174,ATP6V1E1
175,SLC32A1
176,SLC6A8
177,HOMER1
178,VPS45
179,IQSEC2
180,LRFN3
181,RPL14
182,ERC1
183,RIMS3
184,C1QL3
185,DNM3
186,ARC
187,DRP2
188,ATP6V0D1
189,ACTC1
190,GABBR1
191,GLRA1
192,CASK
193,P2RX6
194,CHRNA9
195,EEF1D
196,DLG1
197,SYNGR3
198,TRIO
199,DISC1
200,VAMP4
201,WLS
202,CHRM2
203,OLFM1
204,GPM6A
205,DBN1
206,SCAMP1
207,CPEB4
208,GABRE
209,KCNJ8
210,DNM2
211,HAPLN1
212,PTPRN2
213,RAB27B
214,DOC2A
215,VAMP2
216,TNIK
217,RPL18A
218,EPHA4
219,KCNJ2
220,ARHGDIA
221,MAPK1
222,YWHAG
223,LIN7A
224,GRIK5
225,SLC6A9
226,SNAP25
227,SYNPO
228,RPL5
229,KCNA4
230,FMR1
231,CPLX2
232,ARF1
233,CDH6
234,DICER1
235,COMT
236,DGKB
237,CACNA1B
238,ARHGAP39
239,PRKACA
240,PSENEN
241,SEPT11
242,ADAM23
243,CPEB2
244,SYT4
245,PRKCB
246,RAB2A
247,AP3D1
248,FKBP1A
249,ERBB4
250,EGLN1
251,KCNJ11
252,RPS10
253,SEPT7
254,PPP1R9B
255,RAB5B
256,CACNA1H
257,ADGRA1
258,KPNA1
259,FGB
260,NOS1AP
261,SLITRK3
262,TIAM1
263,ATAD1
264,MAL2
265,STX7
266,FGA
267,RPS26
268,ARHGEF15
269,DLG3
270,RAB33B
271,EEF2
272,GSG1L
273,RPS6KB1
274,SCRIB
275,SYT2
276,SLC17A6
277,RHEB
278,ITPR3
279,RPS12
280,PAK2
281,EIF4G1
282,PRKCA
283,RPS3A
284,STX4
285,RPS20
286,RAB3B
287,RPL37A
288,CACNB4
289,GABRA4
290,SVOP
291,PPP2R2A
292,HIP1
293,NLGN3
294,SLC17A8
295,ALK
296,EIF4B
297,RIMBP3B
298,DNAJB1
299,CDH8
300,BEGAIN
301,PABPC1
302,SLC22A2
303,PRRT2
304,DCC
305,TUFM
306,RPLP1
307,SEPT8
308,SCG2
309,HNRNPAB
310,RAC1
311,NGDN
312,ADRA2C
313,FRMPD4
314,PICALM
315,DLG2
316,RPL15
317,DYNLL2
318,CDH10
319,USP46
320,VAMP7
321,PRKAR1A
322,DLGAP1
323,SHISA7
324,NCAN
325,VPS11
326,RPS27A
327,CACNA1E
328,GRID1
329,ABI2
330,PIP5K1C
331,AGRN
332,ATP2B3
333,GUCY1B1
334,PRRT1
335,KCNB1
336,RPS28
337,DNAJC5
338,FYN
339,RPL6
340,SEMA4B
341,DOCK10
342,SPTBN2
343,SYNE1
344,EPS15L1
345,SPTBN1
346,GRK2
347,ARPC2
348,CAMK4
349,DLGAP4
350,RAB1B
351,RPL4
352,VAPA
353,ADGRB3
354,ATP6V0A1
355,ATP6V1F
356,PPFIA2
357,LPAR1
358,P2RX2
359,RAB8B
360,ACTR2
361,SLC6A3
362,BIN1
363,ADD2
364,HNRNPK
365,EFNB1
366,RPH3A
367,ARHGAP44
368,CPEB3
369,LRRTM1
370,ROGDI
371,TACC3
372,SYT6
373,HTR5A
374,NETO2
375,EPHB2
376,SNAP23
377,CDK5R1
378,CTBP1
379,RPL13
380,YWHAQ
381,GRID2
382,CACNG8
383,ATP6AP1
384,CACNG7
385,SYNPR
386,ABI1
387,HAP1
388,MPDZ
389,EPS15
390,STX2
391,CHMP4BP1
392,DAPK1
393,RPS8
394,SLC1A7
395,MADD
396,AMPH
397,RPL18
398,CLSTN1
399,LRRTM3
400,ITGA2
401,PTPRS
402,ERBIN
403,SYNJ2
404,RPS6KC1
405,BCL11A
406,DMXL2
407,FXYD6
408,ADAM22
409,FLNA
410,ITPR1
411,NSMF
412,ABR
413,P2RY2
414,SLC6A5
415,RPLP0
416,CHRNA1
417,SHANK3
418,EIF3A
419,LZTS1
420,NAPA
421,PAK5
422,TAOK2
423,SPARC
424,SLC16A3
425,CLTC
426,ATP2B2
427,NEDD4
428,BACE1
429,CNTN5
430,SYN2
431,NR3C2
432,GRIN2B
433,ABL1
434,ITGA8
435,LAMA4
436,PRKN
437,SYDE2
438,AKAP1
439,CNTNAP1
440,SGIP1
441,RAB6A
442,RPL11
443,SHISA9
444,RPL24
445,TRIM9
446,NRCAM
447,PSEN1
448,ADD3
449,PURA
450,NRP1
451,ATP6V1G2
452,PUM1
453,APBA1
454,RGS9
455,HTR7
456,STXBP5L
457,SLC17A7
458,RIMBP3
459,PHB2
460,VGF
461,NRP2
462,CALB2
463,KPTN
464,NR3C1
465,HNRNPH1
466,PLEKHA5
467,PTEN
468,SORCS3
469,GSK3B
470,NPTX2
471,CLU
472,CHRNA4
473,RAB6B
474,LAMB2
475,GAD1
476,PRKCD
477,KCNJ9
478,RAB11A
479,VCAN
480,CPSF2
481,WFS1
482,CDH9
483,ANXA5
484,ATP6V1B1
485,CADPS2
486,PFN2
487,GRM8
488,RHOA
489,ARHGEF9
490,ANO1
491,HTR1B
492,UBA52
493,GRM3
494,FBXL20
495,RIMBP2
496,ADCY1
497,CASKIN1
498,RPL36
499,ITGB3
500,SLC6A6
501,PRKCG
502,GRIP2
503,RPL28
504,SEC22B
505,SLC30A3
506,NPTN
507,RPL8
508,STAT3
509,HPCA
510,APH1A
511,VPS33B
512,GLRA3
513,APBB1
514,HIP1R
515,KCNC3
516,DBNL
517,LIN7C
518,ERBB2
519,EEF2K
520,RPL36A
521,RPS23
522,ADGRL2
523,ITGB5
524,PSD
525,STX6
526,CHRNA7
527,PPP2R1B
528,AKAP9
529,PCDH15
530,PLPPR4
531,RAB4B
532,RIMS4
533,DRD3
534,RPL3
535,VCPIP1
536,C1QL1
537,GRIK4
538,DNM1L
539,PCBP2
540,AAK1
541,CNTN2
542,NOS1
543,CTNNA2
544,SLITRK1
545,AGAP2
546,RAB4A
547,RAB17
548,CACNA2D1
549,GRASP
550,GLRA4
551,PPP1R9A
552,RPL27
553,RAB18
554,SEPT6
555,SNCB
556,PAK3
557,HTR3A
558,CACNG2
559,SLC30A1
560,RPL31
561,DRD1
562,KCNAB2
563,NAPB
564,NSF
565,RAB10
566,RPS25
567,KCNJ6
568,PPP2CA
569,CACNA1A
570,SV2C
571,VAMP3
572,EIF2S1
573,PPP3CC
574,CDH1
575,EIF4EBP2
576,PPP3CA
577,GHSR
578,GRM4
579,SPARCL1
580,DNM1
581,KCNC4
582,RTN4
583,MYH10
584,VPS16
585,RIMBP3C
586,APP
587,GLRB
588,PPFIA3
589,GRIPAP1
590,ADRA2A
591,CAMK2A
592,CTNND1
593,EIF4G2
594,ADRB2
595,PPFIA4
596,ATP6V1B2
597,NCAM1
598,RPL9
599,NPTX1
600,SLC18A2
601,AKR1A1
602,RPL22
603,EHD1
604,CHRM1
605,CHRNA3
606,MARCKS
607,MYO5A
608,CADPS
609,GABRB3
610,SLC3A2
611,KCNA1
612,RELA
613,RPL37
614,STON2
615,VPS18
616,SLC6A2
617,NTNG2
618,SH3GL2
619,NETO1
620,ATP6V1C1
621,ATP8A1
622,GPC6
623,RTN4R
624,RAPSN
625,LRRC4
626,SIPA1L1
627,ACTBL2
628,ACTN2
629,CTTNBP2
630,FXR2
631,RPS9
632,CNTN6
633,WASF3
634,OPRM1
635,PDYN
636,CNKSR2
637,MAGI1
638,RPS14
639,GABBR2
640,RPL19
641,IL1RAPL1
642,TANC2
643,CPLX1
644,ATG9A
645,ELAVL2
646,ATP1A3
647,GRM1
648,LAMA2
649,CRIPT
650,RPL26
651,GABRB2
652,MARCKSL1
653,RPS18
654,CLSTN3
655,TSPOAP1
656,CABP1
657,LRFN4
658,ARPC5L
659,WASL
660,PPP1R1B
661,KCNC2
662,ATP6V0A4
663,DMD
664,RPL21
665,HNRNPA3
666,NLGN2
667,HOMER2
668,ATP6V0C
669,RPS27
670,QKI
671,TPD52
672,SLC2A3
673,ADORA2A
674,SV2A
675,RNF216
676,SEPT5
677,CACNG5
678,CPEB1
679,PHB
680,PCDH17
681,MYO5B
682,SLC8A3
683,SYP
684,ADORA3
685,RAB3C
686,PLAT
687,RAPH1
688,CALB1
689,HOMER3
690,CLTA
691,IQSEC3
692,CACNA1C
693,NLGN4X
694,GPC4
695,NCKAP1
696,LAMC1
697,CNTN1
698,ADAM10
699,DLG4
700,FBXO2
701,LRFN2
702,STX12
703,SYT1
704,PLD1
705,SYT9
706,ITGA5
707,HCN1
708,CACNA1D
709,TRIM3
710,CACNG3
711,SYDE1
712,RAB35
713,GAPDH
714,HNRNPM
715,NEFH
716,CDKL5
717,ELAVL1
718,EPN1
719,RPL23A
720,NPY1R
721,CHMP2B
722,RPS21
723,TENT2
724,VHL
725,ATP6V1G1
726,EIF3B
727,OLFM2
728,DVL3
729,APC2
730,LRRC7
731,SHANK1
732,STX3
733,RPS7
734,RPL30
735,CHRNA6
736,CTBP2
737,GRIA2
738,MAP1LC3A
739,GRIA4
740,PIN1
741,YWHAH
742,RBMX
743,SGTA
744,NCS1
745,STX1A
746,IGSF9B
747,LYN
748,USP8
749,YES1
750,NLGN4Y
751,CNR1
752,DGKQ
753,LRFN5
754,RPS3
755,CTNND2
756,TSC1
757,VCP
758,SPTAN1
759,NUFIP1
760,RPL32
761,CADM1
762,TENM2
763,GPHN
764,RIMS2
765,RPS15A
766,PTN
767,RPS24
768,SNAPIN
769,CYTH2
770,SLC6A17
771,RPL23
772,ACTB
773,PTK2B
774,SRGN
775,SYPL1
776,CANX
777,HNRNPA2B1
778,UNC13A
779,GRIA1
780,WNT3A
781,ITGB4
782,RPS4X
783,CRKL
784,DROSHA
785,ADORA1
786,CAPRIN1
787,RPL38
788,FZD5
789,RAB3A
790,KCND2
791,NEFM
792,LPAR2
793,FILIP1
794,KCNC1
795,NSG1
796,RPL7
797,HNRNPH2
798,NTNG1
799,NCSTN
800,AKAP5
801,DTNBP1
802,VAMP1
803,C1QBP
804,RPS11
805,CALY
806,CHRNB1
807,KCNJ3
808,PRKAR1B
809,RPL35A
810,SLC16A1
811,SNAP91
812,ADRA1A
813,RAB11B
814,CNIH2
815,CPLX3
816,RPL7A
817,LAMA5
818,EIF5A
819,FLOT2
820,C1QL2
