Genes,1Y,4Y,8Y,23Y,30Y,36Y,40Y,Norm_Symbol
A1BG,33656503.34219204,9560031.91461138,93767521.23719436,13161083.400044242,13161083.400044242,13161083.400044242,13161083.400044242,A1BG
A2M,9782405948.89392,2720238715.683391,6343128411.110203,1805205468.681949,3788942648.439983,3272758506.1607122,8867662943.747541,A2M
AADAT,9661108.617400683,38706804.0590547,9661108.617400683,11447149.353690928,11447149.353690928,11447149.353690928,11447149.353690928,AADAT
AAK1,2878970051.8240666,2761355917.758601,3154316496.9449425,2995575465.152472,1953611114.502336,1940834876.9615602,757394080.4652734,AAK1
AAMDC,18954766.47782713,8940351.705677371,8940351.705677371,15047695.295670148,15047695.295670148,15047695.295670148,15047695.295670148,AAMDC
AARS,6065730718.88125,5564961669.048407,6257649307.9415245,4779693964.706943,4981423397.679734,4373928333.739913,3546604461.82985,AARS
AARS2,26120497.20804402,26445248.05908479,21323136.54639632,25102247.65236444,25102247.65236444,25102247.65236444,25102247.65236444,AARS2
AASDH,8284348.418111966,428455222.919669,302154593.5076269,15290518.825819358,15290518.825819358,15290518.825819358,15290518.825819358,AASDH
AASDHPPT,575535808.2356874,381302019.02137285,485181638.266414,376054447.0373534,48917217.87063281,474263985.3964788,369189630.8292221,AASDHPPT
AASS,31014125.2860268,9798312.770684522,9798312.770684522,9868376.197522093,9868376.197522093,9868376.197522093,9868376.197522093,AASS
ABAT,9106602460.411242,10282226345.947212,6709903884.565164,9532591644.735352,6329134345.017401,9075734167.277954,7042866472.976097,ABAT
ABCA1,10010964.114577118,10010964.114577118,10010964.114577118,11234084.316137072,11234084.316137072,11234084.316137072,11234084.316137072,ABCA1
ABCA2,19052431.082601424,9987563.099049153,57845272.52563971,12237697.663509132,12237697.663509132,12237697.663509132,12237697.663509132,ABCA2
ABCA5,9950759.79331246,9950759.79331246,9950759.79331246,700961536.332327,11264967.276924627,11264967.276924627,11264967.276924627,ABCA5
ABCB1,23977917.58550246,9621001.75346568,9621001.75346568,13041502.555177195,13041502.555177195,13041502.555177195,13041502.555177195,ABCB1
ABCB10,9869559.341131287,9869559.341131287,9869559.341131287,10604639.552354924,10604639.552354924,10604639.552354924,10604639.552354924,ABCB10
ABCB6,10279662.61796357,10279662.61796357,10279662.61796357,9847385.160509333,9847385.160509333,9847385.160509333,9847385.160509333,ABCB6
ABCB7,19840431.52135141,6659216.619382021,6659216.619382021,22389386.93430524,22389386.93430524,22389386.93430524,22389386.93430524,ABCB7
ABCB8,67120807.94015309,62838118.77347378,59102556.34562294,24072584.990633506,24072584.990633506,24072584.990633506,24072584.990633506,ABCB8
ABCC5,9606904.391545853,9606904.391545853,9606904.391545853,9455185.82158298,9455185.82158298,9455185.82158298,9455185.82158298,ABCC5
ABCC8,9830912.070295036,9830912.070295036,9830912.070295036,11671965.717706565,11671965.717706565,11671965.717706565,11671965.717706565,ABCC8
ABCD2,9801331.102268524,9801331.102268524,9801331.102268524,12189700.458808145,12189700.458808145,12189700.458808145,12189700.458808145,ABCD2
ABCD3,195940392.19538325,213448322.88657925,187332044.91433072,358585484.34287864,49112611.43253922,219687972.86834773,49112611.43253922,ABCD3
ABCE1,1376226658.3787494,390177413.27767473,561798649.9238858,274070286.508717,213330175.97134855,166122315.9190797,36213703.09308111,ABCE1
ABCF1,94396072.50967836,24015625.61846091,108534845.88304922,33718438.822021484,33718438.822021484,33718438.822021484,33718438.822021484,ABCF1
ABCF2,28487492.78860124,8511464.805512054,8511464.805512054,18930000.563862413,18930000.563862413,18930000.563862413,18930000.563862413,ABCF2
ABCF3,44342160.80735779,27116951.79618859,91208494.34010741,30997365.45434353,30997365.45434353,128477297.85094142,30997365.45434353,ABCF3
ABHD10,3327259210.14093,3180356779.216498,2160577544.8398075,2243102075.4431205,1618356140.9023595,2492309784.084429,1407823773.40118,ABHD10
ABHD11,132147622.7006984,140633978.36453712,93896548.55868173,47278790.18805812,47278790.18805812,261132549.20771784,47278790.18805812,ABHD11
ABHD12,189506480.1052258,74299777.03581443,128041359.14944914,511312573.2242676,48842832.39133965,525459848.05131865,48842832.39133965,ABHD12
ABHD14B,235734732.13087824,164242019.60295233,264995892.60972896,214979833.9986682,220631029.50959063,344073707.07205963,509303415.312783,ABHD14B
ABHD16A,384187881.2158703,369107109.6081084,350279619.60271513,302004322.4080722,333102030.00828284,264589056.47284383,131854743.03280687,ABHD16A
ABHD17A;ABHD17C,18773749.57849422,9320998.56041772,9320998.56041772,11909169.127058635,11909169.127058635,11909169.127058635,11909169.127058635,ABHD17A
ABHD17B,29373734.00620173,94399289.54875208,169811981.46121037,18459979.2023921,18459979.2023921,18459979.2023921,18459979.2023921,ABHD17B
ABHD6,118628483.25771315,46119561.16915506,73379039.93430682,65212305.18160113,65212305.18160113,65212305.18160113,65212305.18160113,ABHD6
ABI1,1906945011.5054085,2082451845.0510566,1307506297.532665,1073317554.0967383,743957623.7682798,997348664.8092973,555756457.7592205,ABI1
