Genes,1Y,4Y,8Y,23Y,30Y,36Y,40Y,Norm_Symbol
A1BG,30863761.11992353,9560031.91461138,9560031.91461138,13161083.400044242,442112441.83350205,13161083.400044242,13161083.400044242,A1BG
A2M,8707739361.726616,6167991720.849445,4210822440.204898,1292541518.4312027,6536018646.233553,5584046941.943306,4974265871.139436,A2M
AADAT,9661108.617400683,9661108.617400683,9661108.617400683,11447149.353690928,11447149.353690928,11447149.353690928,11447149.353690928,AADAT
AAK1,1107745770.0642667,1733893989.7723632,1389863330.331181,2346550299.1133885,1861406190.4254215,2523446757.290786,1612809072.1298964,AAK1
AAMDC,24323283.25328441,44628588.302868776,47652073.69958887,15047695.295670148,15047695.295670148,15047695.295670148,15047695.295670148,AAMDC
AARS,4743729186.596589,5587895360.816439,4878199354.5316105,7147199545.328913,5996663066.6076145,7245460806.05852,6586579448.0537615,AARS
AARS2,39110968.8543727,71089084.1677641,43363875.74280986,25102247.65236444,25102247.65236444,145547169.2317946,25102247.65236444,AARS2
AASDH,450819365.1075326,1307630425.6740649,8284348.418111966,756286442.9781368,743741448.2084657,15290518.825819358,874021058.3580676,AASDH
AASDHPPT,306310498.54193085,384131726.1222975,139989294.22922364,677315972.8401946,555504774.7502844,502363767.51164734,578980754.3880513,AASDHPPT
AASS,26092454.778315,9798312.770684522,9798312.770684522,9868376.197522093,9868376.197522093,9868376.197522093,9868376.197522093,AASS
ABAT,14009368717.93183,20012698385.42317,12912904389.236343,18892158481.256058,16575466158.999516,18329767192.65486,16622163965.761982,ABAT
ABCA1,10010964.114577118,10010964.114577118,10010964.114577118,11234084.316137072,11234084.316137072,11234084.316137072,11234084.316137072,ABCA1
ABCA2,9987563.099049153,9987563.099049153,9987563.099049153,55726303.78224768,12237697.663509132,76908130.06505676,80608200.52646926,ABCA2
ABCA5,9950759.79331246,9950759.79331246,9950759.79331246,11264967.276924627,11264967.276924627,11264967.276924627,11264967.276924627,ABCA5
ABCB1,17170826.182499968,9621001.75346568,9621001.75346568,13041502.555177195,13041502.555177195,13041502.555177195,13041502.555177195,ABCB1
ABCB10,15526114.50827577,9869559.341131287,9869559.341131287,10604639.552354924,10604639.552354924,10604639.552354924,10604639.552354924,ABCB10
ABCB6,10279662.61796357,10279662.61796357,10279662.61796357,9847385.160509333,9847385.160509333,9847385.160509333,9847385.160509333,ABCB6
ABCB7,51384675.04401032,84445880.35293415,43926016.85685033,22389386.93430524,22389386.93430524,194110986.03299496,181547527.61598825,ABCB7
ABCB8,44820153.05388431,70485040.17216249,38452005.78690629,143517282.0667389,100719043.30317669,137803479.9358458,73956631.49273586,ABCB8
ABCC5,32646341.230142865,9606904.391545853,9606904.391545853,9455185.82158298,9455185.82158298,9455185.82158298,9455185.82158298,ABCC5
ABCC8,35428717.28810926,137210686.87114167,9830912.070295036,11671965.717706565,11671965.717706565,207885335.01250982,232667108.324979,ABCC8
ABCD2,24375405.32101634,69091356.85700296,9801331.102268524,12189700.458808145,12189700.458808145,12189700.458808145,12189700.458808145,ABCD2
ABCD3,659314107.887216,886621427.2150347,155521826.13801855,505159374.4719756,433213110.72130984,314068990.29006404,510683368.436625,ABCD3
ABCE1,418106225.1266952,302348008.53556854,158908105.89006278,503930773.62559086,344478241.74654037,316890497.99062777,247467635.8116598,ABCE1
ABCF1,145653442.64150453,113018037.28468204,98071567.48142911,161621385.33735332,118334030.39230631,209398436.23960343,128962453.09728876,ABCF1
ABCF2,19017005.973085828,64308125.98332659,48223417.05150885,18930000.563862413,18930000.563862413,18930000.563862413,18930000.563862413,ABCF2
ABCF3,73552471.10843813,63336549.10146438,105446394.0591218,145871627.25280058,30997365.45434353,118485224.40120973,30997365.45434353,ABCF3
ABHD10,2509787778.169764,3992887822.0024147,3629248850.121473,3998968169.4729843,4612263533.923779,4208672753.745303,3835215647.5502157,ABHD10
ABHD11,110291299.58925831,212823422.9518654,92688995.75667298,725624134.8823737,526429379.71178985,663633386.6968622,744934749.517656,ABHD11
ABHD12,305732080.124298,603347867.6644857,726313618.7829362,886557124.0764332,823601578.4852113,903774588.7594726,917268782.982264,ABHD12
ABHD14B,431726141.481772,476522222.20811623,405943985.17679435,563023851.9521817,371630902.9841228,437064625.07944036,533163326.209297,ABHD14B
ABHD16A,570564586.4368103,751256872.0569558,538488085.114301,617376164.5850077,563089207.1415223,620650921.5896642,602071128.7678567,ABHD16A
ABHD17A;ABHD17C,30077286.57689056,9320998.56041772,9320998.56041772,11909169.127058635,11909169.127058635,11909169.127058635,11909169.127058635,ABHD17A
ABHD17B,8364754.69587441,8364754.69587441,8364754.69587441,18459979.2023921,18459979.2023921,18459979.2023921,18459979.2023921,ABHD17B
ABHD6,260417357.1837877,194327081.11044398,109629564.24988988,483895587.2499541,65212305.18160113,65212305.18160113,65212305.18160113,ABHD6
ABI1,669524115.3845494,1041417459.0095367,898298084.8984219,1351208579.7337134,1050441461.5946397,1341904121.5662198,1070629460.7744068,ABI1
ABI2,1267704205.7469175,1319628408.7612052,1502340084.5898786,1470207420.8025162,1576355975.5788045,1096737876.8809493,1042917051.8601233,ABI2
ABL1,10250517.889129486,10250517.889129486,10250517.889129486,10180404.369877102,34343771.50932193,10180404.369877102,10180404.369877102,ABL1
ABL2,9801317.19337415,9801317.19337415,9801317.19337415,12028454.76227214,12028454.76227214,12028454.76227214,12028454.76227214,ABL2
ABLIM1,998249180.4127084,2529218593.1498194,2238198853.2939076,2046628281.1877425,1573702826.6853528,2466350475.836862,768834837.518671,ABLIM1
ABLIM2,705495387.581091,1411809345.8571744,938536453.2255787,1225620135.2301161,1073626964.962442,1335150626.873225,804642533.870607,ABLIM2
ABLIM3,463460734.3680521,507801509.4634077,263975516.55986145,528747304.378703,614709771.5386121,524933611.3370287,218799879.96260425,ABLIM3
ABR,474817319.6038228,499297093.09232765,534379059.1609749,491950234.69992906,402522091.7663576,793027530.4761572,532247153.8980211,ABR
ABRACL,26886600.07748313,42581420.46639148,26968188.85277317,207336372.27589616,246666474.5725272,45185769.24161067,216155929.24140272,ABRACL
ACAA1,394953138.5891828,671274570.0765767,398639943.4911711,1131506335.7928505,914445138.5028666,957195840.0231717,846385178.5066931,ACAA1
ACAA2,1636075746.5953162,1715315208.4304323,1441929389.0387375,2355342556.964959,1998366807.317717,2147741541.4062037,2098144380.1309066,ACAA2
ACACB;ACACA,106164249.89854412,134474014.37142903,86049338.34956871,334835947.07772124,53351622.41589728,73305759.70119596,219167737.21231577,ACACB
ACAD10,12862314.40135443,12862314.40135443,12862314.40135443,9753423.226585682,9753423.226585682,9753423.226585682,55964339.17597669,ACAD10
ACAD8,406742754.4195296,223628328.8637432,353624026.8362228,631494891.1144294,668503137.9828444,439805724.87736017,527288365.71071184,ACAD8
ACAD9,327803951.34753484,538573865.5208046,642924843.1718174,832457409.6751274,908505912.6783557,1143390729.8279805,899446009.6397141,ACAD9
ACADM,1172719364.261853,971783221.7207757,973757878.0662737,897124753.4778332,986655829.2960967,920789874.2612256,837249796.2044551,ACADM
ACADS,421838007.7509623,498656154.1020874,341941703.85435617,404099705.65129715,331179812.6298725,507079129.8433552,394983007.48565775,ACADS
ACADSB,952419048.0315336,881937908.9788717,763283000.5430899,914295060.9455737,1132058718.8658588,1094124931.0323496,860742277.6103566,ACADSB
ACADVL,1345671511.6926515,1920762884.8432493,1410548639.5388162,1785010698.0506523,1484436634.1980035,1783384457.205218,2214921565.73205,ACADVL
ACAN,15584424.7878757,25063074.06432773,6650546.00303114,26131166.978688426,26131166.978688426,26131166.978688426,26131166.978688426,ACAN
ACAP1;ACAP2,45774629.02496109,54505429.90018848,7089641.446362237,17933200.793668076,17933200.793668076,17933200.793668076,17933200.793668076,ACAP1
ACAT1,7901520006.18554,9635812637.121195,6511023785.856269,8567182834.6498785,8072093688.81096,9622930311.96032,8732806953.55944,ACAT1
ACAT2,1991642557.8443851,1513750207.2113955,1512888297.7255135,3463033223.617464,2354812378.5317388,3624204203.1424813,4039168545.604404,ACAT2
ACBD3,51840590.02805472,72410877.35947032,50559017.34555552,11501930.977750698,11501930.977750698,77335264.97542459,11501930.977750698,ACBD3
ACBD5;ACBD4,22240209.05554101,9373102.3618768,76040519.61328062,11637087.561099175,11637087.561099175,11637087.561099175,11637087.561099175,ACBD5
ACBD7,296592855.68298745,1515851723.9659042,978226135.2993301,1052998108.5891848,896637620.4194776,813360778.2570362,488100387.56690633,ACBD7
ACE,9667097.55779064,9667097.55779064,9667097.55779064,11984967.172106508,11984967.172106508,11984967.172106508,11984967.172106508,ACE
ACHE;CES4A,74449590.24009316,175450962.16140333,245415748.97158992,18567157.460384306,298985303.51246387,224391983.8594336,18567157.460384306,ACHE
ACIN1,751352080.9985995,558092544.678883,526575166.9270582,351191944.11538106,554032122.715507,669449065.5700513,541638333.6339701,ACIN1
ACLY,6633652190.425953,5701312244.274864,6191613531.46971,7418753132.917851,6065533669.224983,7156551501.692909,6784648187.703889,ACLY
ACO1,3089910119.9781513,1807757002.5596683,1210350497.1271586,1808509811.78373,1861101244.7937772,2068474203.2065156,1864755084.1281328,ACO1
ACO2,30041275879.931187,43745122930.23775,42289296905.271034,45273565519.2283,45634660107.492134,52343968712.4947,49513715952.45547,ACO2
ACOT1,1148021747.292509,1314744912.0307286,1901164752.0655007,1784469476.04108,1786433485.5038621,2121981151.200864,1489739452.6351461,ACOT1
ACOT13,69845544.78771572,218883144.19333565,464574151.3173068,1190851909.5534456,1584638286.7874994,1512142774.131763,1821888366.9037652,ACOT13
ACOT7,5515595529.224171,7493718030.994518,6698286664.99319,9680446847.099995,8241998521.8381405,8919661966.846523,9442340416.079777,ACOT7
ACOT8,20289562.04101428,6642126.889610717,6642126.889610717,19686530.43578627,19686530.43578627,133611455.67860916,131544021.11642714,ACOT8
ACOT9,557640435.8245517,1054172701.3023511,803161821.5115982,1133209995.3228025,1949335827.9112,1919969693.6353452,1771861188.094357,ACOT9
ACOX1,388725961.01245874,551603458.3774557,113347144.77959672,313920826.33760464,345098509.13997185,672531773.7606298,561069258.8077736,ACOX1
ACOX3,147009310.0526711,162768660.2437809,6951497.605463447,30254387.93422983,30254387.93422983,30254387.93422983,30254387.93422983,ACOX3
ACP1,1652104649.7553966,1827809117.7140524,1557411106.1671126,1775514300.5666668,1787679115.3201823,1853431564.4384327,1671332338.5157788,ACP1
ACP2,70329186.04754487,69051497.01720385,33485055.685298953,35208292.568181045,35208292.568181045,35208292.568181045,193775241.80436483,ACP2
ACSBG1,15016676.728779888,5914447.979355847,5914447.979355847,33156806.50069563,33156806.50069563,33156806.50069563,33156806.50069563,ACSBG1
ACSF2,19233635.422623068,54117751.12521869,8906506.992405523,17289681.040632173,17289681.040632173,17289681.040632173,17289681.040632173,ACSF2
ACSF3,132801612.36476794,138971023.77558172,45777063.71326937,397865600.66052186,53583681.82468526,224542380.1721421,364511206.5251516,ACSF3
ACSL1,438795872.9406457,296397321.043965,89096289.19117704,437438085.0464968,359521817.267546,458117913.3362101,196151751.75591767,ACSL1
ACSL3,746877456.6087093,603724347.781574,629265718.8663148,1185043053.565687,525802616.121334,989456196.8852127,900426660.8487448,ACSL3
ACSL4,16299563.953562908,6730777.497257744,6730777.497257744,21583353.91139081,21583353.91139081,21583353.91139081,21583353.91139081,ACSL4
ACSL6,1480742802.7480614,2857934716.332789,2278987778.495316,3583697373.5121584,2859918337.487123,4370893120.397102,3110339427.976662,ACSL6
ACSS1,228577936.16865215,701849364.4844731,509431219.22488064,1646850033.2294273,1170557901.8069177,1377637465.7751744,986867100.7220461,ACSS1
ACSS2,42967726.62995003,69252269.46067548,7665062.145423585,152987437.75701973,162351613.1878963,205682061.2717788,19477226.85505288,ACSS2
ACSS3,5764540.097039858,107459289.85353243,99729478.94618513,250366026.9586609,135685788.94608623,22591228.39154885,22591228.39154885,ACSS3
ACTA2,7505609.370406227,170434769.22534797,188710183.7454782,29995839.69087141,29995839.69087141,29995839.69087141,29995839.69087141,ACTA2
ACTB,424770237351.8981,391304430158.9719,341795309147.5431,447075979892.0063,400036029132.5847,467592254268.31396,439593932562.2047,ACTB
ACTBL2,727195576.7897723,970486221.136968,373414447.6701168,13337037.669278447,3097284022.4648147,13337037.669278447,13337037.669278447,ACTBL2
ACTC1,26118011493.08836,36619152682.7552,51527681995.99344,24571667755.643463,25386060212.07143,17261233234.495358,52999212976.86656,ACTC1
ACTG1,1531677978.7114134,1471173673.6865275,541941149.9104456,5968702356.400801,75261184.17212535,75261184.17212535,6041956188.67119,ACTG1
ACTL6A,45100201.28857881,9739018.706094753,9739018.706094753,23337808.441561334,23337808.441561334,23337808.441561334,23337808.441561334,ACTL6A
ACTL6B,1301429980.7276454,846874699.008509,537911929.2265701,615247369.8601372,569870479.9187683,773214118.2735133,733063073.3443793,ACTL6B
ACTN1,5806661795.157325,5146679454.942318,4686080472.289085,5051156750.42915,5248336038.46671,5261482796.238151,6398187558.781077,ACTN1
ACTN2,7137922.173053199,7137922.173053199,125702721.44560546,26045650.46560134,26045650.46560134,26045650.46560134,26045650.46560134,ACTN2
ACTN4,6610293440.125032,5961733697.655823,5651748739.218505,6136886090.16455,5537797442.570056,5641161552.508564,6713592710.060243,ACTN4
ACTR10,409475460.8824016,457104065.2502876,416294430.78045565,945377515.9471004,449029812.46312165,573077831.0110602,921573822.4418193,ACTR10
ACTR1A,4874178676.995125,4836792398.529688,4221948061.460941,7126388258.383116,5982125371.5318775,7495184268.321975,6833280689.042009,ACTR1A
ACTR1B,234342262.77977023,565801535.7185211,244637016.38157564,2078261950.6073368,1656523262.33414,2007271786.255713,1721791266.1001506,ACTR1B
ACTR2,4854523596.339488,4718653256.442617,4076369080.6795053,4275331049.8304186,3988171209.417425,4885110646.224029,4361191404.893,ACTR2
ACTR3,7973508267.107826,8109734803.944892,6487677165.007589,7771484026.584039,8194252096.309309,8062738611.575056,7496070896.865827,ACTR3
ACTR3B,578544101.5936173,853321730.6582997,593716439.9989827,1157318074.7612731,1068655839.6631744,977750326.8420358,902809587.5517511,ACTR3B
ACVR1,22386036.3822792,54642436.25508618,10025189.613764832,9864818.325083673,9864818.325083673,9864818.325083673,9864818.325083673,ACVR1
ACY1,61832001.34687386,125839532.76279521,110707409.01444258,185553474.60625565,136017591.6536863,209349685.50016728,210656577.83905348,ACY1
ACY3,10589080.560993312,10589080.560993312,10589080.560993312,10603633.355230613,10603633.355230613,10603633.355230613,10603633.355230613,ACY3
ACYP1,330097387.96089995,397039640.1736188,364393743.41923213,308752631.37400526,338772063.441973,381640962.96516687,428313513.2877669,ACYP1
ACYP2,1717805479.7723882,2549791765.247657,1411047862.8311589,2452970427.0807447,1898458515.424454,2316833598.1804557,2527282404.955112,ACYP2
ADA,16615227.29807387,8584770.737418177,8584770.737418177,20285815.31091,20285815.31091,20285815.31091,20285815.31091,ADA
ADAM10,474108968.9427416,362226147.4139173,441897340.2690809,230066856.61543787,83042870.99776253,308388765.59672487,335492757.18387264,ADAM10
ADAM11,85532714.44308318,175413922.82475555,140280844.62954038,43097430.26369757,340005111.18701744,43097430.26369757,43097430.26369757,ADAM11
ADAM22,1128307811.6044905,1978398470.4987414,2101550387.687696,2154842144.9560986,1765463513.0525343,2165710705.3277707,1673937963.0805724,ADAM22
ADAM23,159965436.3110781,214022346.12074363,237752629.36179253,664507295.5888128,361706998.7463009,690153518.9439143,132892072.88090324,ADAM23
ADAM9,18439464.437747397,10105232.994155226,10105232.994155226,7917469.481036535,7917469.481036535,7917469.481036535,7917469.481036535,ADAM9
ADAP1,81746108.72391123,404185338.7979083,275677203.3761517,789600517.1436887,51362285.16103318,526921845.0935162,741239547.0489237,ADAP1
ADAR,825619939.6311393,1576219851.606519,2433551632.6464944,428914881.3523959,713912315.3112341,1777613324.25096,799915410.8266407,ADAR
ADARB1,195645389.65792173,152093134.53603232,246543264.43575493,177515394.40405443,189013783.19772643,243327123.76687017,291906596.51494074,ADARB1
ADCK3,133740126.70087934,591900252.8563867,1053168464.857718,570929867.1222446,396292229.25424415,518283108.8992865,463070822.69581604,ADCK3
ADCY1,25014507.214069266,64442967.29171242,60289206.17930263,27552829.17938609,84025602.97742009,27552829.17938609,27552829.17938609,ADCY1
ADCY2,43225746.8543702,89619401.5901143,19084550.828188006,52643917.14167538,52643917.14167538,52643917.14167538,52643917.14167538,ADCY2
ADCY5,7050438.026737698,7050438.026737698,7050438.026737698,21253466.142177,21253466.142177,21253466.142177,21253466.142177,ADCY5
ADCY8,8078646.299472579,140538902.43177092,107361154.6723858,19555581.61460147,19555581.61460147,19555581.61460147,19555581.61460147,ADCY8
ADCY9,11342251.54088607,8923179.795745242,13427994.540428665,15307045.46699164,15307045.46699164,15307045.46699164,15307045.46699164,ADCY9
ADCYAP1R1,9245646.968087437,9245646.968087437,9245646.968087437,14630620.21022861,14630620.21022861,14630620.21022861,117002710.74647671,ADCYAP1R1
ADD1,6801081238.5278225,9567908931.560413,9321296214.212074,11311070089.032516,8304787829.783102,11499608150.289185,7687709763.230829,ADD1
ADD2,5340013456.194165,6462231020.490286,6017901552.611631,8147593152.2884035,7461644097.581787,9005808664.572216,6061970119.162131,ADD2
ADD3,4330688218.84211,6612176821.953531,6685820928.990211,6851901591.397203,4969672640.820421,6626437202.54359,4662386788.931384,ADD3
ADH1B,10345966.244149964,10345966.244149964,10345966.244149964,10910217.9716155,10910217.9716155,10910217.9716155,10910217.9716155,ADH1B
ADH5,4509994999.499216,4886528445.136354,3574335339.291028,4328147224.154489,4814238704.440073,4885465167.623996,4334257700.977315,ADH5
ADHFE1,8511107.10354324,8511107.10354324,8511107.10354324,15823405.47764019,15823405.47764019,15823405.47764019,15823405.47764019,ADHFE1
ADIRF,14686009.187009113,88739142.51096193,56752411.69356375,298230689.50445354,366324088.6212571,31067261.67960347,31067261.67960347,ADIRF
ADK,105678731.8785886,77537943.95542489,66073539.78971825,427724514.67760086,390655301.9465013,303704873.76348275,327212229.2866834,ADK
ADNP,23661554.14316157,9029991.335553857,76478150.9072175,21920758.17753569,21920758.17753569,21920758.17753569,21920758.17753569,ADNP
ADO,437783774.5471715,283674713.6207409,87457920.45025341,267042224.07848653,323330145.05680877,304976511.851078,232520866.49663693,ADO
ADPRHL2,267292092.16693148,133957605.90158372,239611100.77032575,309955355.6994794,327416400.71618813,310935182.2126754,233414587.41063476,ADPRHL2
ADRBK1,608249729.760442,608959409.3914232,288940713.44410056,917935857.2566656,484164894.9265973,594198348.6339153,551508776.8458043,ADRBK1
ADRBK2,9917417.527479883,9917417.527479883,9917417.527479883,9817158.146844242,9817158.146844242,9817158.146844242,9817158.146844242,ADRBK2
ADRM1,177011849.06823087,118470037.87482329,92401647.50866218,306507470.6880725,41445202.54513723,41445202.54513723,41445202.54513723,ADRM1
ADSL,137994139.38691512,139266421.4721415,61885711.18796574,28253241.5321361,28253241.5321361,192855930.7804838,165016683.3364965,ADSL
ADSS,416038792.815151,445822481.73227483,440339323.2256666,419203938.91183835,534176561.73276985,622415578.7630428,505445428.12444544,ADSS
AF196779.12,42121428.03803554,148750520.16993573,23379594.62879496,519525363.02801967,475202890.44635713,435735981.5173449,47659731.73723266,AF196779.12
AFAP1L1;AFAP1,19015686.625598714,10070012.130219152,10070012.130219152,10012450.040912053,10012450.040912053,10012450.040912053,10012450.040912053,AFAP1L1
AFG3L2,1253387095.8739936,1652908573.029256,1604477577.0248356,1707710499.116101,1569741540.5770693,1842319634.4369328,1513275304.2313066,AFG3L2
AFM,30719325.388946194,9795663.575494593,9795663.575494593,11171318.90522521,11171318.90522521,11171318.90522521,11171318.90522521,AFM
AFTPH,9806684.557994973,9806684.557994973,19091880.21582138,14361656.277662288,14361656.277662288,14361656.277662288,14361656.277662288,AFTPH
AGAP1,867556802.6323485,573542947.7863665,619252184.9334384,414600214.5505562,619850862.0064597,521498495.92740566,451394878.51060116,AGAP1
AGAP2,191486403.2567328,301782917.0247109,155752767.18416932,438522706.85462815,277627726.2088416,307712854.365539,28856434.349704497,AGAP2
AGAP3,670253287.9402782,659372257.7454902,473358512.57911736,749428745.8199233,726441627.9489876,805791272.5966291,684910118.666586,AGAP3
AGFG1,61696129.71017081,136632566.44344485,185846289.18129852,349347421.2457758,288295725.60413235,336672751.0912169,182635919.47122025,AGFG1
AGFG2,9902181.320334846,9902181.320334846,41365560.08487462,9990753.119579293,9990753.119579293,9990753.119579293,9990753.119579293,AGFG2
AGK,675438417.8142285,2661310968.5083623,302010890.7223515,1712782102.4809926,1253354885.735008,1701252689.1653426,1453766342.2285867,AGK
AGL,954937440.6539065,1458440784.7527802,890011898.2275476,2305317060.0561786,1616639005.3494482,2306191978.9105,1854010435.5459852,AGL
AGO1,935791791.3600838,337413035.2964942,796366121.0062156,487146101.5480946,588243804.2333901,620699573.5433892,443271976.37623566,AGO1
AGO2,93699399.5121858,90304870.06959774,103018083.82988083,578046895.399186,248148798.015238,33823326.51446269,33823326.51446269,AGO2
AGPAT1,151323262.78714648,140707551.46810058,120299976.38848104,14840707.581100922,260367967.68885985,14840707.581100922,14840707.581100922,AGPAT1
AGPAT3,125866116.40172912,175519266.41696686,126882840.72104228,198792764.204368,24848304.59630381,228052553.92479458,202443486.7051354,AGPAT3
AGPAT4,20313079.21778779,7021333.3595509175,7021333.3595509175,27005633.117799643,27005633.117799643,27005633.117799643,27005633.117799643,AGPAT4
AGPAT5,115697915.79339054,157094446.4214297,105548355.72957404,247888726.13265768,190030421.7417341,206796632.31976956,29353487.590821397,AGPAT5
AGPS,147441946.49306184,80866255.30738431,26215519.78767834,39314722.1489155,39314722.1489155,39314722.1489155,39314722.1489155,AGPS
AGRN,324808381.3939609,490207822.23673886,371000322.0429563,486015635.07764965,476161543.5899029,619159025.3145919,562067779.6259117,AGRN
AGT,142526957.55793062,219213709.95925564,191416575.76249388,541713538.3668905,488135865.5400478,863391589.3480475,542493741.8817314,AGT
AGTPBP1,20505991.53459884,29573861.81598483,8087638.740416489,15813089.063394532,15813089.063394532,15813089.063394532,15813089.063394532,AGTPBP1
AHCTF1,8953807.39383881,458440741.0744728,8953807.39383881,11482342.681426926,11482342.681426926,11482342.681426926,11482342.681426926,AHCTF1
AHCY,4396611864.623589,4140884420.168307,3898704373.941919,4197174871.7342033,3731631084.5568643,4259629936.719872,4707193298.988629,AHCY
AHCYL1,7862664628.356377,13149224174.360285,10143125845.517254,10630741004.168526,10765120564.766108,11069085575.362144,8923031883.575918,AHCYL1
AHCYL2,341397642.3067992,301482074.366006,223269997.33775175,609851842.2798575,536403457.09988093,630228452.0916268,566302130.4997543,AHCYL2
AHNAK;NRIP1,4341764817.362629,5535929120.7965355,3985915530.539306,5331862240.426724,4767857613.189532,5057169032.751832,3530694624.875021,AHNAK
AHNAK2,1069438885.0471264,1843118893.4048796,1565522333.58947,1706339392.493333,1983766856.1638367,1447067809.8131382,594237681.7690438,AHNAK2
AHSA1,1378761285.9131188,1436616540.8961015,1465199627.563584,1654078645.6883152,1630745308.97996,1779945498.8252301,1609531657.715829,AHSA1
AHSG,215474331.99343103,158948158.59350207,77060346.91234905,16841825.315072432,16841825.315072432,584921505.3213332,240057014.0926608,AHSG
AHSP,16098630.598053355,16098630.598053355,16098630.598053355,9855704.315677864,9855704.315677864,9855704.315677864,38997583.06552193,AHSP
AIDA,252251468.53324983,303785522.45991164,182086046.75301743,292546208.58313507,221193880.80269018,252553379.83447364,220101545.4618756,AIDA
AIF1L,111767746.87990844,251314530.06554705,185804973.45301735,205789277.91739482,220692810.70335352,216413612.956089,155448808.61919227,AIF1L
AIFM1,1137197198.6842039,1833908747.3264122,1489809320.6142135,1644397259.3955324,1450441034.472579,1658471187.6740856,1491069884.3430007,AIFM1
AIFM3,10120385.923681792,10120385.923681792,10120385.923681792,9477959.233838793,9477959.233838793,9477959.233838793,9477959.233838793,AIFM3
