Genes,1Y,4Y,8Y,23Y,30Y,36Y,40Y,Norm_Symbol
A1BG,9560031.91461138,9560031.91461138,9560031.91461138,13161083.400044242,13161083.400044242,13161083.400044242,13161083.400044242,A1BG
A2M,5392652504.259995,6220043208.562553,4297283371.708429,1754597629.1705694,6936121963.6592,4190586819.6339827,6046867977.923485,A2M
AADAT,65583478.8763673,9661108.617400683,45750660.3066433,11447149.353690928,11447149.353690928,11447149.353690928,11447149.353690928,AADAT
AAK1,3241895554.1895885,3356937899.1655684,4135336223.1598525,4710712836.534323,4090143007.335649,4459401351.132254,3072289263.744996,AAK1
AAMDC,19813183.551186666,53922227.46478056,39548947.85645768,15047695.295670148,15047695.295670148,15047695.295670148,15047695.295670148,AAMDC
AARS,5381569781.022532,6544076516.8981905,5358251232.141054,6288502339.173666,6229504467.202835,6571604133.355495,6236784623.41139,AARS
AARS2,60721495.85115304,50874237.73398201,58691543.72156981,25102247.65236444,25102247.65236444,25102247.65236444,25102247.65236444,AARS2
AASDH,185089902.32929584,212182390.51349092,8284348.418111966,631721212.8376948,15290518.825819358,15290518.825819358,15290518.825819358,AASDH
AASDHPPT,1700988336.849702,495469465.7261405,487321963.1804494,915654129.9908726,785134881.7494245,911487811.2827368,898753262.303056,AASDHPPT
AASS,23303782.04067543,9798312.770684522,9798312.770684522,9868376.197522093,9868376.197522093,9868376.197522093,9868376.197522093,AASS
ABAT,11629516628.421585,7778208297.312705,12805786628.987238,16286231321.400309,12450462913.92238,14177854833.023476,12555205013.90117,ABAT
ABCA1,10010964.114577118,10010964.114577118,10010964.114577118,11234084.316137072,11234084.316137072,11234084.316137072,11234084.316137072,ABCA1
ABCA2,17765273.566320058,115008821.30425504,64142317.54529999,72608072.69174246,103297942.9329893,43580114.70538889,138418096.81597638,ABCA2
ABCA5,9950759.79331246,9950759.79331246,9950759.79331246,11264967.276924627,11264967.276924627,11264967.276924627,11264967.276924627,ABCA5
ABCB1,9621001.75346568,44899529.688545495,9621001.75346568,13041502.555177195,13041502.555177195,13041502.555177195,13041502.555177195,ABCB1
ABCB10,9869559.341131287,39122162.1256224,9869559.341131287,10604639.552354924,10604639.552354924,10604639.552354924,10604639.552354924,ABCB10
ABCB6,10279662.61796357,10279662.61796357,10279662.61796357,9847385.160509333,9847385.160509333,9847385.160509333,9847385.160509333,ABCB6
ABCB7,47941041.337235294,67210329.72540718,34228627.89875331,22389386.93430524,22389386.93430524,22389386.93430524,22389386.93430524,ABCB7
ABCB8,140000540.0609699,139276403.66822034,89236691.00672232,155518040.14818507,120574654.2087907,134295232.5537979,24072584.990633506,ABCB8
ABCC5,9606904.391545853,9606904.391545853,9606904.391545853,9455185.82158298,9455185.82158298,9455185.82158298,9455185.82158298,ABCC5
ABCC8,9830912.070295036,9830912.070295036,9830912.070295036,11671965.717706565,11671965.717706565,11671965.717706565,11671965.717706565,ABCC8
ABCD2,9801331.102268524,9801331.102268524,9801331.102268524,12189700.458808145,12189700.458808145,12189700.458808145,12189700.458808145,ABCD2
ABCD3,1206852707.6840255,603572702.757775,428130062.8360253,613738468.1165112,451439589.1336494,353895956.61531985,823088815.9920747,ABCD3
ABCE1,150648490.43258646,508278976.34748137,231579953.13168132,475215850.9262756,427832674.79136425,469062312.58503085,222134711.9427919,ABCE1
ABCF1,240321509.300984,278194911.505929,190975331.29765552,33718438.822021484,187027552.46292418,33718438.822021484,33718438.822021484,ABCF1
ABCF2,8511464.805512054,112150313.18284284,87182467.52691646,347461768.5951575,18930000.563862413,249226220.7961125,276136607.57286286,ABCF2
ABCF3,74705831.57748194,52122848.51576637,45623784.88559871,132099652.1151055,30997365.45434353,116969098.03086723,92490117.48363656,ABCF3
ABHD10,3107987676.079797,1917856162.2456949,2670093235.397254,3535965413.684345,3410626111.021885,3398384180.2927666,3011384642.8432713,ABHD10
ABHD11,193916165.24186963,222719139.6082067,219938450.87577644,678494717.2524983,561674938.5962323,302753617.8603117,457331206.1256911,ABHD11
ABHD12,423019194.0242679,527878065.5236428,1195743056.5864048,866367202.6504867,505376844.137343,302020568.77004534,393804990.8258067,ABHD12
ABHD14B,268221354.81540698,365448353.88425225,565777645.2328713,488188763.9885947,371918164.1239417,469580611.02673817,537864286.5723459,ABHD14B
ABHD16A,718342322.797778,503463387.3968037,646927945.2504824,546368270.9789392,544383775.0462742,504355628.3559642,498622805.5701173,ABHD16A
ABHD17A;ABHD17C,41492993.78577536,9320998.56041772,9320998.56041772,11909169.127058635,11909169.127058635,11909169.127058635,11909169.127058635,ABHD17A
ABHD17B,8364754.69587441,195480502.07233995,121311956.71866004,18459979.2023921,18459979.2023921,18459979.2023921,18459979.2023921,ABHD17B
ABHD6,74875698.26548871,105366591.59655854,97428874.47720252,65212305.18160113,65212305.18160113,65212305.18160113,65212305.18160113,ABHD6
ABI1,964414835.462808,771451234.4134582,804090332.9312421,1244111709.9157815,1045430316.5540477,1020677244.0398543,1042403331.732484,ABI1
ABI2,2364971732.675058,2063050544.6514008,2433206514.260993,2225725242.6558204,1852898053.575426,1975603574.64502,1726872590.1371355,ABI2
ABL1,10250517.889129486,10250517.889129486,10250517.889129486,10180404.369877102,30559438.300324146,54812496.18716796,19167711.44533071,ABL1
ABL2,9801317.19337415,73230371.84868133,9801317.19337415,12028454.76227214,12028454.76227214,12028454.76227214,12028454.76227214,ABL2
ABLIM1,554684759.0120722,851197407.0723892,753646087.0122805,1143949881.3627226,938290478.8165133,995673147.2362103,1144754568.7880466,ABLIM1
ABLIM2,1163300609.3990564,1002640226.5695641,1663043462.6677961,1776009438.9835453,1287882787.1733134,1574493128.1304266,1071850048.8980716,ABLIM2
ABLIM3,9679635.92660201,9679635.92660201,9679635.92660201,12399367.166635076,12399367.166635076,12399367.166635076,12399367.166635076,ABLIM3
ABR,2874039972.4267683,2686996201.569843,2911980065.448398,3451697452.359691,3062663696.3209357,3464775346.308102,2882770064.6723084,ABR
ABRACL,190333576.35837188,250472530.539731,249285116.53213525,510350089.5363023,621563674.0084355,575916275.1746223,405790999.5999724,ABRACL
ACAA1,1043114307.4113568,1039427468.6175971,926152786.4594092,1121764549.1801202,1240521413.9826765,1093226687.2283337,1252738788.2869868,ACAA1
ACAA2,2092397819.621344,2573778190.7134237,2381798650.184249,2428052381.8324213,2366089284.3606443,2186295550.9315357,2351575622.788568,ACAA2
ACACB;ACACA,1093447340.9482038,838050537.3858755,1080789188.1490266,1167745233.0666974,819107105.275846,535699952.79062814,518376781.13011295,ACACB
ACAD10,12862314.40135443,12862314.40135443,12862314.40135443,9753423.226585682,51732429.00266991,9753423.226585682,9753423.226585682,ACAD10
ACAD8,388292479.4064373,80053752.61433949,269992476.4657652,506746089.1750213,530196019.3782067,310876327.4280384,308959089.16223013,ACAD8
ACAD9,675353959.4820126,367066866.8092322,1114505749.613863,749763096.7688372,738113907.7446016,1002614405.4137697,793362856.1276512,ACAD9
ACADM,703342985.9697174,481713183.8054084,651608340.6746565,825793156.927397,276435076.4487165,632854589.9677652,736953418.4091179,ACADM
ACADS,160899826.90942132,397458009.38131934,247574940.01688355,351824195.6142002,426796682.12165403,471498226.1579034,436685820.60180485,ACADS
ACADSB,557013860.1659126,553359825.859992,540243061.8486035,821420337.0774004,760034712.4255452,784862945.8526428,579791759.9065084,ACADSB
ACADVL,1379741628.0570002,1907445297.8078578,1921498305.889756,2035408215.8568435,1777827815.532478,1526517039.1352382,2353697760.9482226,ACADVL
ACAN,9835113.614005318,957203260.3424699,230344168.48569483,240989473.52086872,617548364.6709249,280003673.76218635,470518999.0929253,ACAN
ACAP1;ACAP2,58266038.02085438,7089641.446362237,69611109.97455166,17933200.793668076,17933200.793668076,17933200.793668076,17933200.793668076,ACAP1
ACAT1,7904149648.2672825,6261500006.954366,6446342647.72832,8624159490.060862,6882406557.737094,8568319258.778124,7797233357.746613,ACAT1
ACAT2,2836604099.447197,4054850276.338922,3393442588.209969,3855757419.8789563,3988950731.809852,4146003573.6656094,4417953053.337795,ACAT2
ACBD3,25034466.402067844,9994137.391849514,9994137.391849514,76525043.68670912,11501930.977750698,78058231.71384794,11501930.977750698,ACBD3
ACBD5;ACBD4,23705694.30012372,9373102.3618768,9373102.3618768,11637087.561099175,11637087.561099175,11637087.561099175,11637087.561099175,ACBD5
ACBD7,134049513.52904274,88149469.3421372,335630486.0001165,1086201918.1792123,620971533.1294764,873134082.1136332,54416820.98170129,ACBD7
ACE,24459173.626597025,9667097.55779064,9667097.55779064,11984967.172106508,11984967.172106508,11984967.172106508,11984967.172106508,ACE
ACHE;CES4A,7689499.29051759,7689499.29051759,7689499.29051759,18567157.460384306,18567157.460384306,18567157.460384306,18567157.460384306,ACHE
ACIN1,33880689.68334483,154046636.87534463,10485538.809148563,126542081.11429664,176047358.0987195,172415157.7331,140986473.74427214,ACIN1
ACLY,4295237711.420893,4405275922.075055,4565831842.694797,5395408170.836063,5187592554.97878,5116639219.3151045,5408726817.890246,ACLY
ACO1,1547295542.1109648,1606107164.5096545,1705603698.5423837,1531176660.5123804,1883508938.240932,1858498535.4696574,1861940075.163545,ACO1
ACO2,34293870859.76535,33749475697.646355,45891726831.34437,46399790406.683235,45004836689.33058,44235712795.41805,42814112174.9446,ACO2
ACOT1,2076706479.0687294,1639736729.8256578,2237601928.6816072,1929788366.1381927,1932237742.709113,1940804369.5528965,1205192391.318201,ACOT1
ACOT13,388314312.9654398,379698099.7846837,1275109020.5422225,1853986022.9072888,2167206504.561156,1893505113.9744012,59264918.70415559,ACOT13
ACOT7,13244526763.341492,11724179770.769756,12762448435.335443,13035651606.357105,12343854214.319492,11968894240.918615,11915504197.91248,ACOT7
ACOT8,154284154.28545493,125195535.43803686,118507922.17200504,214864582.9647641,256834801.18276092,301215123.7325214,19686530.43578627,ACOT8
ACOT9,1440251414.0749972,1528320588.9502006,1419828110.4584768,1930189715.6346266,1583257345.8385994,1523472231.863478,1746259513.7624753,ACOT9
ACOX1,622000630.2565691,681414482.1167876,251204674.24764395,368432454.78160113,587014155.3255428,50437998.40676603,150367721.09303424,ACOX1
ACOX3,140678442.93854252,122238928.25008932,6951497.605463447,30254387.93422983,1293928133.4825814,30254387.93422983,30254387.93422983,ACOX3
ACP1,1688520494.6014204,1583938435.0301275,1831906123.2058187,1809873269.6139922,1938268093.2887774,2139536352.9597962,2045660010.2193496,ACP1
ACP2,73682677.36773068,65421258.47978669,94984639.02648214,35208292.568181045,35208292.568181045,35208292.568181045,35208292.568181045,ACP2
ACSBG1,89369780.39283484,84118329.71765023,66048905.51631419,33156806.50069563,33156806.50069563,33156806.50069563,33156806.50069563,ACSBG1
ACSF2,17708552.416886345,46486696.20430931,41294012.86058388,17289681.040632173,135877051.55872017,17289681.040632173,17289681.040632173,ACSF2
ACSF3,194695678.141696,162368797.1946191,220838238.8234776,766081127.5439818,753222964.2328769,516533584.5368762,53583681.82468526,ACSF3
ACSL1,171607128.29135445,172516496.49084413,150180105.88749248,442010003.0482546,308602777.8548608,295862282.9115705,284487913.2545851,ACSL1
ACSL3,1397016773.2748687,1166768595.1578,1120574782.3825517,1281460698.4479625,1146354169.9666696,1389991576.5309956,1164063165.3592002,ACSL3
ACSL4,168434596.51935333,98592097.0412236,99033694.83784416,21583353.91139081,107520107.17240234,126246232.133149,21583353.91139081,ACSL4
ACSL6,2183679722.049305,2181707655.7437,3173977943.903312,3273757500.908972,2845855952.483541,3249804931.6941237,2375390480.052725,ACSL6
ACSS1,759227334.27826,1306552262.7220626,1265803820.0756938,1091984865.6205251,1355171636.2631204,1582888394.7748811,1290270717.0911822,ACSS1
ACSS2,23637345.87294973,71249198.43091409,7665062.145423585,19477226.85505288,19477226.85505288,19477226.85505288,19477226.85505288,ACSS2
ACSS3,115424133.44811054,167064837.99762034,90674086.55094367,270607019.97815293,165028342.63105264,134755802.99387792,22591228.39154885,ACSS3
ACTA2,22051740.10110416,130549165.06154624,83185579.67116871,29995839.69087141,29995839.69087141,29995839.69087141,29995839.69087141,ACTA2
ACTB,568402391090.6525,551881515090.566,522376323635.0954,513373713815.1575,429636683233.28906,483972582664.706,454658682382.1306,ACTB
ACTBL2,9079817.788581844,9079817.788581844,782660394.1849892,13337037.669278447,13337037.669278447,13337037.669278447,5450279266.084718,ACTBL2
ACTC1,17778901916.25969,37382302430.77363,26771288040.81616,73453662773.56201,22563461323.526947,23128695043.493973,37876806736.65506,ACTC1
