Genes,1Y,4Y,8Y,23Y,30Y,36Y,40Y,Norm_Symbol
A1BG,19740400.443725564,9560031.91461138,9560031.91461138,13161083.400044242,13161083.400044242,13161083.400044242,13161083.400044242,A1BG
A2M,8580163149.09975,6553371442.603548,4243878477.6649313,2962261048.0758057,5899428615.093639,8879535052.928505,7428281132.647843,A2M
AADAT,9661108.617400683,9661108.617400683,9661108.617400683,11447149.353690928,11447149.353690928,11447149.353690928,11447149.353690928,AADAT
AAK1,2361472621.1860228,3261211772.5397024,3180543451.2349753,3735682254.562986,3885032364.7793107,2210072881.3169928,2076446312.9679093,AAK1
AAMDC,8940351.705677371,8940351.705677371,8940351.705677371,229685480.8887344,15047695.295670148,15047695.295670148,15047695.295670148,AAMDC
AARS,4817718155.40897,5981705425.542817,5127253634.378051,6914246158.862051,6830310517.593927,6887755057.022758,6295368000.522064,AARS
AARS2,15425170.24085819,60358372.71295586,57645389.02439008,25102247.65236444,25102247.65236444,25102247.65236444,150276189.47234353,AARS2
AASDH,53801620.99870721,366958208.8450993,8284348.418111966,15290518.825819358,854313255.4685657,743697007.7228434,847505485.9568704,AASDH
AASDHPPT,655461362.2567838,1091537635.0186763,270848884.39344317,633855900.8119887,640716433.6563121,607762506.370083,614795525.8806059,AASDHPPT
AASS,23728992.24487026,9798312.770684522,9798312.770684522,9868376.197522093,9868376.197522093,9868376.197522093,9868376.197522093,AASS
ABAT,11415782523.415031,6718916979.819956,12073716436.778423,10320982320.032446,10039606105.31859,9349940748.196032,11316702493.382969,ABAT
ABCA1,40659744.63421831,10010964.114577118,10010964.114577118,11234084.316137072,11234084.316137072,11234084.316137072,11234084.316137072,ABCA1
ABCA2,32108550.608488604,85002651.61035833,87714044.73924382,147490524.82397008,96375168.32922018,146274117.9687777,12237697.663509132,ABCA2
ABCA5,9950759.79331246,9950759.79331246,9950759.79331246,11264967.276924627,11264967.276924627,11264967.276924627,11264967.276924627,ABCA5
ABCB1,24653680.58335745,9621001.75346568,73073204.6678967,13041502.555177195,13041502.555177195,13041502.555177195,13041502.555177195,ABCB1
ABCB10,19186722.13583081,9869559.341131287,9869559.341131287,10604639.552354924,10604639.552354924,10604639.552354924,10604639.552354924,ABCB10
ABCB6,10279662.61796357,10279662.61796357,10279662.61796357,9847385.160509333,9847385.160509333,9847385.160509333,9847385.160509333,ABCB6
ABCB7,61950455.98656227,43958919.74034916,6659216.619382021,22389386.93430524,22389386.93430524,22389386.93430524,22389386.93430524,ABCB7
ABCB8,101838585.69955552,57702255.56006585,72084099.27326669,24072584.990633506,24072584.990633506,132627008.101887,215420067.5809285,ABCB8
ABCC5,9606904.391545853,9606904.391545853,185670626.9552332,9455185.82158298,9455185.82158298,9455185.82158298,9455185.82158298,ABCC5
ABCC8,18942376.23703036,9830912.070295036,9830912.070295036,11671965.717706565,11671965.717706565,11671965.717706565,11671965.717706565,ABCC8
ABCD2,9801331.102268524,9801331.102268524,9801331.102268524,12189700.458808145,12189700.458808145,12189700.458808145,12189700.458808145,ABCD2
ABCD3,463114040.81561226,311470504.99476945,247583471.88828447,459965812.8887372,517217172.17637664,49112611.43253922,49112611.43253922,ABCD3
ABCE1,455598461.0798957,488961175.34471214,187028115.96518192,472344984.7737532,467675189.08024526,439527780.2926018,371579665.9818365,ABCE1
ABCF1,102326645.32322484,173540778.31804046,197786641.76241177,164177844.04972848,200551785.854893,173252816.3051021,161015373.35907277,ABCF1
ABCF2,20890060.5217163,80677137.51091082,81348837.81561999,18930000.563862413,18930000.563862413,18930000.563862413,18930000.563862413,ABCF2
ABCF3,66183549.07150245,108354109.35794036,101892179.16895744,204548450.6085281,124719992.56759717,30997365.45434353,110791320.40505852,ABCF3
ABHD10,3541362214.852785,2206445266.370473,3796085449.58565,2618799432.274879,3027250108.274374,2849337083.03283,3190362819.5619345,ABHD10
ABHD11,255089155.54690468,237838396.2233489,181270796.8615349,426183634.1654562,423126928.1760801,422957147.84487146,499427360.2191674,ABHD11
ABHD12,659970472.7821581,569538117.8518587,1421894099.1439006,1061317050.9709256,1147923755.7489774,850633868.4633287,933247678.77813,ABHD12
ABHD14B,460148513.7799895,376541753.4821168,325917681.19937927,487596515.19848245,624794992.105683,694275825.018477,659807428.5311537,ABHD14B
ABHD16A,348155619.5274228,257435235.44375217,372643247.6000541,389922404.61288255,464093569.22415876,326457347.63837314,333430672.22687304,ABHD16A
ABHD17A;ABHD17C,36028657.92797776,39536232.30762938,9320998.56041772,11909169.127058635,11909169.127058635,11909169.127058635,11909169.127058635,ABHD17A
ABHD17B,144316394.90759835,58218519.43139219,8364754.69587441,572621020.2206472,18459979.2023921,18459979.2023921,18459979.2023921,ABHD17B
ABHD6,117215383.23076417,154874275.51265845,119976986.21648704,65212305.18160113,65212305.18160113,65212305.18160113,65212305.18160113,ABHD6
