Genes,1Y,4Y,8Y,23Y,30Y,36Y,40Y,Norm_Symbol
A1BG,9560031.91461138,9560031.91461138,9560031.91461138,13161083.400044242,13161083.400044242,913809246.0619065,13161083.400044242,A1BG
A2M,5238315947.80967,4290653182.2709827,6095324096.719821,2217606834.0036755,6775749688.503874,6940680755.604766,4689573416.040161,A2M
AADAT,9661108.617400683,9661108.617400683,9661108.617400683,11447149.353690928,11447149.353690928,11447149.353690928,11447149.353690928,AADAT
AAK1,2760515022.003481,2905271983.0071697,2960528883.494764,3722297361.764542,3388481548.555209,3234672836.385269,2189158320.531373,AAK1
AAMDC,8940351.705677371,8940351.705677371,54849165.87782224,15047695.295670148,15047695.295670148,15047695.295670148,15047695.295670148,AAMDC
AARS,5140798515.536073,5154656170.858903,6374582936.761502,7105586733.827687,6183216871.420321,5792306202.615388,5849858589.906066,AARS
AARS2,4482940.261410714,47469558.4567622,4482940.261410714,25102247.65236444,174632636.10809994,107497717.48245256,25102247.65236444,AARS2
AASDH,537076322.1552118,1257067533.9741368,196807324.06438375,906605914.3439605,1073271844.7046207,15290518.825819358,854716882.1150348,AASDH
AASDHPPT,954864688.6032268,437511114.1137844,544571702.9897922,621899276.9755293,497160192.60943633,456068754.68220633,546021208.1803367,AASDHPPT
AASS,9798312.770684522,37846603.41939253,9798312.770684522,9868376.197522093,9868376.197522093,9868376.197522093,9868376.197522093,AASS
ABAT,15811291984.928196,23176314752.77504,22626601056.09834,21068146377.89187,19262689416.00777,21482437804.196877,19004027937.64841,ABAT
ABCA1,10010964.114577118,10010964.114577118,10010964.114577118,11234084.316137072,11234084.316137072,11234084.316137072,11234084.316137072,ABCA1
ABCA2,11005161.993420348,66372286.05996184,133830936.49814096,69705377.06210405,51774873.88529825,12237697.663509132,144632001.64699453,ABCA2
ABCA5,28034931.32640343,9950759.79331246,9950759.79331246,11264967.276924627,11264967.276924627,11264967.276924627,11264967.276924627,ABCA5
ABCB1,26364996.96355598,64560067.546735704,9621001.75346568,13041502.555177195,13041502.555177195,13041502.555177195,13041502.555177195,ABCB1
ABCB10,24124332.98777822,9869559.341131287,9869559.341131287,10604639.552354924,10604639.552354924,10604639.552354924,10604639.552354924,ABCB10
ABCB6,21334060.288940728,10279662.61796357,10279662.61796357,9847385.160509333,9847385.160509333,9847385.160509333,9847385.160509333,ABCB6
ABCB7,46399099.68933666,53293875.72893277,68645842.5397943,158141026.32003415,22389386.93430524,169089461.99081478,22389386.93430524,ABCB7
ABCB8,186500661.3074385,107460927.73168616,61658706.28848698,184374764.2016791,170211425.2286758,161724078.90224087,83177617.04358241,ABCB8
ABCC5,9606904.391545853,9606904.391545853,9606904.391545853,9455185.82158298,9455185.82158298,9455185.82158298,9455185.82158298,ABCC5
ABCC8,9830912.070295036,9830912.070295036,9830912.070295036,11671965.717706565,11671965.717706565,11671965.717706565,11671965.717706565,ABCC8
ABCD2,27244292.26442406,9801331.102268524,64500145.02152028,12189700.458808145,12189700.458808145,12189700.458808145,12189700.458808145,ABCD2
ABCD3,1620219737.7274625,724798814.9575113,550376787.1696731,616186433.3884293,568960513.4802501,645186177.5437952,558050382.6986411,ABCD3
ABCE1,255330640.16517618,169194415.83563903,90485830.54117084,520168823.8012212,299437482.55461746,419390715.408108,442392877.4626843,ABCE1
ABCF1,8639215.641181873,145896718.03687942,220247276.10180685,163750935.28464267,168539063.9261351,33718438.822021484,153755258.75812575,ABCF1
ABCF2,28083990.87160665,55783275.1378616,74442783.27288842,18930000.563862413,18930000.563862413,18930000.563862413,18930000.563862413,ABCF2
ABCF3,140124353.41044322,150850490.20491716,68781334.59851028,30997365.45434353,166384412.666375,126098691.52537958,30997365.45434353,ABCF3
ABHD10,4132162671.751875,3609028499.695546,3575620903.9146743,3976077944.122964,3185933554.068191,3860025014.658672,3609092103.2318025,ABHD10
