,Genes,Norm_Symbol,Phosphosite_hu_no
0,YWHAB,YWHAB,28
1,YWHAE,YWHAE,22
2,YWHAH,YWHAH,18
3,YWHAG,YWHAG,28
4,SFN,SFN,21
5,YWHAQ,YWHAQ,25
6,YWHAZ,YWHAZ,31
7,NAN,NAN,183
8,EIF4EBP1,EIF4EBP1,26
9,EIF4EBP2,EIF4EBP2,14
10,EIF4EBP3,EIF4EBP3,9
11,EIF4ENIF1,EIF4ENIF1,81
12,HTR1A,HTR1A,5
13,HTR1B,HTR1B,3
14,HTR1D,HTR1D,5
15,HTR1E,HTR1E,3
16,HTR1F,HTR1F,10
17,HTR2A,HTR2A,8
18,HTR2B,HTR2B,1
19,HTR3A,HTR3A,5
20,HTR3B,HTR3B,2
21,HTR3C,HTR3C,4
22,HTR3D,HTR3D,2
23,HTR3E,HTR3E,3
24,HTR4,HTR4,2
25,HTR5A,HTR5A,4
26,HTR6,HTR6,2
27,HTR7,HTR7,1
28,ALOX5,ALOX5,24
29,TP53BP1,TP53BP1,234
30,TP53BP2,TP53BP2,46
31,SCG5,SCG5,2
32,NUFIP2,NUFIP2,54
33,AFM,AFM,3
34,MYBL1,MYBL1,13
35,RBFOX1,RBFOX1,1
36,A2M,A2M,15
37,A2ML1,A2ML1,6
38,A4GALT,A4GALT,7
39,TWF1,TWF1,9
40,TWF2,TWF2,4
41,AANAT,AANAT,4
42,AAAS,AAAS,17
43,AACS,AACS,12
44,AADAC,AADAC,11
45,NCEH1,NCEH1,6
46,AADACL2,AADACL2,2
47,AADACL3,AADACL3,3
48,AADACL4,AADACL4,1
49,AADAT,AADAT,3
50,AAED1,PRXL2C,3
51,AAGAB,AAGAB,7
52,AAK1,AAK1,51
53,AAMDC,AAMDC,7
54,AAMP,AAMP,2
55,AAR2,AAR2,6
56,AARS,AARS,18
57,AARSD1,AARSD1,13
58,AARS2,AARS2,10
59,AASDH,AASDH,5
60,AASDHPPT,AASDHPPT,4
61,AASS,AASS,11
62,AATF,AATF,29
63,ABAT,ABAT,1
64,HEATR6,HEATR6,27
65,ABCA1,ABCA1,22
66,ABCA10,ABCA10,19
67,ABCA11P,ABCA11P,4
68,ABCA12,ABCA12,28
69,ABCA13,ABCA13,26
70,ABCA2,ABCA2,45
71,ABCA3,ABCA3,21
72,ABCA4,ABCA4,15
73,ABCA5,ABCA5,18
74,ABCA6,ABCA6,9
75,ABCA7,ABCA7,10
76,ABCA8,ABCA8,4
77,ABCA9,ABCA9,5
78,ABCB1,ABCB1,18
79,ABCB10,ABCB10,5
80,ABCB11,ABCB11,13
81,ABCB4,ABCB4,4
82,ABCB5,ABCB5,7
83,ABCB6,ABCB6,3
84,ABCB7,ABCB7,15
85,ABCB8,ABCB8,14
86,ABCB9,ABCB9,1
87,ABCC1,ABCC1,27
88,ABCC10,ABCC10,8
89,ABCC11,ABCC11,16
90,ABCC12,ABCC12,12
91,ABCC2,ABCC2,22
92,ABCC3,ABCC3,15
93,ABCC4,ABCC4,21
94,ABCC5,ABCC5,24
95,ABCC6,ABCC6,12
96,ABCC8,ABCC8,7
97,ABCC9,ABCC9,7
98,ABCD1,ABCD1,7
99,ABCD2,ABCD2,10
100,ABCD3,ABCD3,19
101,ABCD4,ABCD4,4
102,ABCE1,ABCE1,17
103,ABCF1,ABCF1,33
104,ABCF2,ABCF2,23
105,ABCF3,ABCF3,18
106,ABCG1,ABCG1,5
107,ABCG2,ABCG2,10
108,ABCG4,ABCG4,4
109,ABCG5,ABCG5,6
110,ABCG8,ABCG8,7
111,ABHD1,ABHD1,5
112,ABHD10,ABHD10,8
113,ABHD11,ABHD11,4
114,ABHD12,ABHD12,11
115,ABHD12B,ABHD12B,3
116,ABHD13,ABHD13,2
117,ABHD14A,ABHD14A,1
118,ABHD14B,ABHD14B,2
119,ABHD15,ABHD15,5
120,ABHD16B,ABHD16B,5
121,ABHD17A,ABHD17A,4
122,ABHD18,ABHD18,4
123,ABHD2,ABHD2,7
124,ABHD3,ABHD3,2
125,ABHD4,ABHD4,2
126,ABHD5,ABHD5,1
127,ABHD8,ABHD8,3
128,EPHX3,EPHX3,6
129,ABI1,ABI1,76
130,ABI2,ABI2,37
131,ABI3,ABI3,11
132,ABI3BP,ABI3BP,19
133,ABL1,ABL1,102
134,ABLIM1,ABLIM1,92
135,ABLIM2,ABLIM2,31
136,ABLIM3,ABLIM3,54
137,AOC1,AOC1,5
138,ABR,ABR,19
139,ABRA,ABRA,5
140,FAM175A,ABRAXAS1,12
141,ABT1,ABT1,11
142,ABTB1,ABTB1,2
143,ABTB2,ABTB2,7
144,ACAA1,ACAA1,15
145,ACAA2,ACAA2,13
146,ACAD10,ACAD10,3
147,ACAD11,ACAD11,7
148,ACAD8,ACAD8,3
149,ACAD9,ACAD9,11
150,ACADL,ACADL,6
151,ACADM,ACADM,11
152,ACADS,ACADS,4
153,ACADSB,ACADSB,10
154,ACADVL,ACADVL,9
155,ACAN,ACAN,8
156,ACAT1,ACAT1,15
157,ACAT2,ACAT2,4
158,ACBD3,ACBD3,19
159,ACBD4,ACBD4,9
160,ACBD5,ACBD5,24
161,ACBD6,ACBD6,7
162,ACBD7,ACBD7,2
163,ACACA,ACACA,65
164,ACACB,ACACB,34
165,ACCS,ACCS,5
166,ACCSL,ACCSL,3
167,ACD,ACD,22
168,ACE,ACE,6
169,ACE2,ACE2,11
170,ACER3,ACER3,5
171,A1CF,A1CF,12
172,MACF1,MACF1,222
173,ACHE,ACHE,2
174,ACIN1,ACIN1,133
175,TNK2,TNK2,42
176,ACLY,ACLY,60
177,ACMSD,ACMSD,4
178,SDHAF3,SDHAF3,1
179,ACO2,ACO2,24
180,ACOT1,ACOT1,5
181,ACOT11,ACOT11,3
182,ACOT12,ACOT12,10
183,ACOT2,ACOT2,9
184,ACOT6,ACOT6,3
185,ACOT7,ACOT7,10
186,ACOT8,ACOT8,5
187,ACOT9,ACOT9,9
188,ACOX1,ACOX1,12
189,ACOX2,ACOX2,5
190,ACOX3,ACOX3,7
191,ACOXL,ACOXL,4
192,ACP1,ACP1,14
193,ACP2,ACP2,2
194,ACP5,ACP5,2
195,ACP6,ACP6,5
196,ACPP,ACPP,4
197,ACP4,ACP4,3
198,ACRBP,ACRBP,3
199,GCNA,GCNA,7
200,ACSBG1,ACSBG1,8
201,ACSBG2,ACSBG2,4
202,ACSF2,ACSF2,14
203,ACSF3,ACSF3,9
204,ACSL1,ACSL1,14
205,ACSL3,ACSL3,12
206,ACSL4,ACSL4,25
207,ACSL5,ACSL5,17
208,ACSL6,ACSL6,7
209,ACSM1,ACSM1,11
