Genes,Phosphosite_mouse_no,Norm_Symbol
1110035H17RIK,2,1110035H17RIK
YWHAB,10,YWHAB
YWHAE,9,YWHAE
YWHAH,8,YWHAH
YWHAG,12,YWHAG
SFN,15,SFN
YWHAQ,11,YWHAQ
YWHAZ,18,YWHAZ
1600002K03RIK,2,1600002K03RIK
1600015I10RIK,1,1600015I10RIK
1600029O15RIK,3,1600029O15RIK
1700003H04RIK,2,1700003H04RIK
1700007B14RIK,2,1700007B14RIK
1700010B08RIK,1,1700010B08RIK
1700010D01RIK,1,1700010D01RIK
1700010H22RIK,1,1700010H22RIK
1700012B07RIK,2,1700012B07RIK
1700013G24RIK,1,1700013G24RIK
1700014D04RIK,1,1700014D04RIK
1700016D06RIK,1,1700016D06RIK
1700019A02RIK,4,1700019A02RIK
1700021F05RIK,5,1700021F05RIK
1700021P04RIK,2,1700021P04RIK
1700024P04RIK,3,1700024P04RIK
1700031F05RIK,1,1700031F05RIK
1700061G19RIK,1,1700061G19RIK
1700071K01RIK,2,1700071K01RIK
1810009N02RIK,3,1810009N02RIK
2010005H15RIK,2,2010005H15RIK
2010315B03RIK,1,2010315B03RIK
2210010C04RIK,3,2210010C04RIK
2310016G11RIK,2,2310016G11RIK
2310039H08RIK,3,2310039H08RIK
2410137M14RIK,1,2410137M14RIK
2610002M06RIK,4,2610002M06RIK
2810021J22RIK,3,2810021J22RIK
4833423E24RIK,1,4833423E24RIK
4921501E09RIK,2,4921501E09RIK
4921504E06RIK,1,4921504E06RIK
4921524L21RIK,3,4921524L21RIK
4930402K13RIK,2,4930402K13RIK
4930407I10RIK,2,4930407I10RIK
4930421J07RIK,1,4930421J07RIK
4930430O22RIK,1,4930430O22RIK
4930438A08RIK,2,4930438A08RIK
4930470P17RIK,1,4930470P17RIK
4930513O06RIK,4,4930513O06RIK
4930523C07RIK,1,4930523C07RIK
4930548H24RIK,2,4930548H24RIK
4930555G01RIK,1,4930555G01RIK
4930568D16RIK,4,4930568D16RIK
4930579C12RIK,2,4930579C12RIK
4930597L12RIK,1,4930597L12RIK
4931408C20RIK,7,4931408C20RIK
4932414N04RIK,5,4932414N04RIK
4932429P05RIK,1,4932429P05RIK
4933413G19RIK,1,4933413G19RIK
4933416I08RIK,1,4933416I08RIK
4933425L06RIK,2,4933425L06RIK
4933427E11RIK,1,4933427E11RIK
4933436I01RIK,2,4933436I01RIK
4933440N22RIK,2,4933440N22RIK
EIF4EBP1,25,EIF4EBP1
EIF4EBP2,12,EIF4EBP2
EIF4EBP3,4,EIF4EBP3
EIF4ENIF1,30,EIF4ENIF1
HTR1A,2,HTR1A
HTR1B,3,HTR1B
HTR2A,3,HTR2A
HTR2B,2,HTR2B
HTR2C,2,HTR2C
HTR3B,1,HTR3B
HTR7,1,HTR7
ALOX5,5,ALOX5
5330438D12RIK,1,5330438D12RIK
TP53BP1,98,TP53BP1
