Genes,1Y,4Y,8Y,23Y,30Y,36Y,40Y,Norm_Symbol
A1BG,9560031.91461138,9560031.91461138,9560031.91461138,13161083.400044242,13161083.400044242,13161083.400044242,13161083.400044242,A1BG
A2M,7474255707.504973,4275087071.3876076,6484531164.45329,1862380280.3278387,7879480932.247349,4529446057.661596,5472765729.881714,A2M
AADAT,27497781.49071291,9661108.617400683,9661108.617400683,11447149.353690928,11447149.353690928,11447149.353690928,11447149.353690928,AADAT
AAK1,2842220839.029581,3135306396.5983195,3146782650.7857738,3516226036.381568,3379848019.955915,2918949478.928805,3072063483.8546557,AAK1
AAMDC,8940351.705677371,61764288.30301669,35183055.929072104,15047695.295670148,116195164.41368508,15047695.295670148,15047695.295670148,AAMDC
AARS,6032337352.774735,6165846650.835881,4631418841.388225,5544859477.908282,6699298618.164768,5444267072.662076,5122165261.119862,AARS
AARS2,62913194.44682883,58889536.56164721,30344407.350102294,67529199.66064347,131519481.5470235,25102247.65236444,25102247.65236444,AARS2
AASDH,37513140.4311059,292448997.1882701,315374064.5931848,713699733.3543173,15290518.825819358,15290518.825819358,841538730.1239167,AASDH
AASDHPPT,1467497375.2638018,1295765277.4494624,342223305.9851829,479805139.09902745,646395405.4031153,534886336.9638426,420586091.8287962,AASDHPPT
AASS,24781810.322041307,9798312.770684522,9798312.770684522,9868376.197522093,9868376.197522093,9868376.197522093,9868376.197522093,AASS
ABAT,16855092907.415497,18272264321.730114,31450011153.46745,20686935049.357075,21263278456.817272,19067427612.052933,24912188783.413643,ABAT
ABCA1,38358962.65135193,10010964.114577118,10010964.114577118,256259657.22793427,11234084.316137072,11234084.316137072,11234084.316137072,ABCA1
ABCA2,19596453.0321467,109669416.57653618,77942569.73389971,58002692.19373734,90529853.50548056,44444126.82303757,71461621.78999102,ABCA2
ABCA5,9950759.79331246,9950759.79331246,9950759.79331246,11264967.276924627,11264967.276924627,11264967.276924627,11264967.276924627,ABCA5
ABCB1,9621001.75346568,9621001.75346568,9621001.75346568,13041502.555177195,13041502.555177195,13041502.555177195,13041502.555177195,ABCB1
ABCB10,21530693.921365235,53015759.41946997,48092291.58674022,10604639.552354924,10604639.552354924,10604639.552354924,10604639.552354924,ABCB10
ABCB6,10279662.61796357,10279662.61796357,10279662.61796357,9847385.160509333,9847385.160509333,9847385.160509333,9847385.160509333,ABCB6
ABCB7,64006689.08529651,78088349.60057014,72308201.2347597,141635045.26993603,22389386.93430524,137701640.68127987,22389386.93430524,ABCB7
ABCB8,126997133.48750986,85270099.72514988,114962912.31637704,148457892.4521184,24072584.990633506,94455963.58479165,203970151.65563977,ABCB8
ABCC5,39958405.33300471,9606904.391545853,9606904.391545853,9455185.82158298,9455185.82158298,9455185.82158298,9455185.82158298,ABCC5
ABCC8,9830912.070295036,9830912.070295036,9830912.070295036,11671965.717706565,11671965.717706565,11671965.717706565,11671965.717706565,ABCC8
ABCD2,9801331.102268524,9801331.102268524,9801331.102268524,12189700.458808145,12189700.458808145,12189700.458808145,12189700.458808145,ABCD2
ABCD3,765051779.7633499,435152542.74818987,263846805.70290905,405395341.8749128,532961237.56046385,455637874.54542834,433902425.8720839,ABCD3
ABCE1,199951531.43167257,177015567.89104092,118892032.2453575,319983841.9931851,36213703.09308111,324198006.02576363,176918528.90044942,ABCE1
