Genes,1Y,4Y,8Y,23Y,30Y,36Y,40Y,Norm_Symbol
A1BG,25469344.42097951,9560031.91461138,9560031.91461138,13161083.400044242,13161083.400044242,13161083.400044242,13161083.400044242,A1BG
A2M,7246110580.10424,4320215354.434811,4832375689.152285,2910785331.5806503,7004349600.152719,4866863962.384487,5866221804.151582,A2M
AADAT,22243454.427380227,51575080.40426609,61396959.08380575,11447149.353690928,11447149.353690928,11447149.353690928,11447149.353690928,AADAT
AAK1,2415513685.5105076,4095017795.5861773,3779685164.293079,4298905102.935572,3609355464.398994,3728890473.731464,3600338625.2416897,AAK1
AAMDC,8940351.705677371,8940351.705677371,8940351.705677371,15047695.295670148,15047695.295670148,15047695.295670148,15047695.295670148,AAMDC
AARS,4995076074.2342205,7837048779.141575,5614088526.725058,5564276809.857789,5245860542.554141,5584248583.285015,4991215599.908381,AARS
AARS2,44683903.54293079,47450784.66625223,40847991.77384693,25102247.65236444,25102247.65236444,25102247.65236444,133556569.208393,AARS2
AASDH,496765799.07862127,8284348.418111966,1181538663.9814475,779802791.4623754,971902315.4827003,793527472.7869773,771338102.0778627,AASDH
AASDHPPT,729609239.2497705,699756816.9412434,289427523.5231141,648475972.6099397,590086901.5538416,412950848.7803084,455263848.70064026,AASDHPPT
AASS,30835238.88026138,9798312.770684522,9798312.770684522,9868376.197522093,9868376.197522093,9868376.197522093,9868376.197522093,AASS
ABAT,8967874430.001871,14971348813.782257,22653797276.87279,18250742417.031475,16260643623.46242,14321140982.066053,18458550178.727814,ABAT
ABCA1,10010964.114577118,10010964.114577118,10010964.114577118,11234084.316137072,11234084.316137072,11234084.316137072,11234084.316137072,ABCA1
ABCA2,22801900.80333245,44879199.77839206,9987563.099049153,84679400.30346161,34871399.93821063,12237697.663509132,12237697.663509132,ABCA2
ABCA5,9950759.79331246,9950759.79331246,9950759.79331246,11264967.276924627,11264967.276924627,11264967.276924627,11264967.276924627,ABCA5
ABCB1,9621001.75346568,74462770.76300721,9621001.75346568,13041502.555177195,13041502.555177195,13041502.555177195,13041502.555177195,ABCB1
ABCB10,9869559.341131287,31496224.2988138,39197585.79839673,10604639.552354924,10604639.552354924,10604639.552354924,10604639.552354924,ABCB10
ABCB6,10279662.61796357,10279662.61796357,10279662.61796357,9847385.160509333,9847385.160509333,9847385.160509333,9847385.160509333,ABCB6
ABCB7,18472166.85019826,93661270.30148464,47447101.06067154,158793979.82794634,77359174.52816927,77886053.11990803,136361967.08419037,ABCB7
ABCB8,107216849.79493926,158592245.97102478,103378339.43005893,117992237.88515921,128146788.2765018,131190464.21194091,103934752.90584937,ABCB8
ABCC5,9606904.391545853,9606904.391545853,9606904.391545853,9455185.82158298,9455185.82158298,9455185.82158298,9455185.82158298,ABCC5
ABCC8,16699943.39519841,83978673.29101786,72412446.5766374,11671965.717706565,11671965.717706565,11671965.717706565,11671965.717706565,ABCC8
ABCD2,67028668.51878785,9801331.102268524,9801331.102268524,1072376451.0854225,12189700.458808145,12189700.458808145,12189700.458808145,ABCD2
ABCD3,370537991.4637544,927961525.341424,394142063.162207,640431850.8157173,533470265.1527459,626331266.7120957,691378503.6081886,ABCD3
ABCE1,393852038.6059104,319442042.16371673,194750658.31891465,36213703.09308111,368598149.44188833,36213703.09308111,36213703.09308111,ABCE1
ABCF1,82474870.87041593,148246363.16739288,133821300.58703697,175029856.9322068,33718438.822021484,185142634.43145716,187954742.73094007,ABCF1
ABCF2,65170438.04073279,63142658.85276477,75501813.72603215,158001528.3104875,45930724.12701273,68700953.5836634,185990980.7024441,ABCF2
ABCF3,42642926.508285336,36924889.4121701,38308680.85732847,215074670.14205188,155547714.21408993,30997365.45434353,30997365.45434353,ABCF3
ABHD10,2284230951.7075076,3606525850.247877,4939208928.461679,4274721015.6510687,3547501401.460193,3316515551.553833,4638178772.1354475,ABHD10
ABHD11,176535561.07272023,687334385.5897412,715152924.7385348,265244021.6525606,566391123.6853414,386769930.83989847,512505746.84598583,ABHD11
ABHD12,368629223.8940922,744692122.3026919,551182423.3390701,967522378.7068727,898798810.3182381,941043779.5742778,1178116126.1793118,ABHD12
ABHD14B,557849870.3754334,383540030.5448448,794536543.2859643,671776914.1818311,565228717.2672423,724593977.4121344,715818601.1352128,ABHD14B
ABHD16A,507102302.887477,449291400.7941315,577518234.434893,500176309.92825127,473750266.9570335,435651108.9818928,499094266.1525033,ABHD16A
ABHD17A;ABHD17C,14992272.197419198,9320998.56041772,29839967.418100614,11909169.127058635,11909169.127058635,11909169.127058635,11909169.127058635,ABHD17A
ABHD17B,26153777.43309975,155999248.06203485,8364754.69587441,325131427.3312336,18459979.2023921,18459979.2023921,18459979.2023921,ABHD17B
ABHD6,82171017.58510916,117438193.8345893,106251090.1590372,65212305.18160113,65212305.18160113,65212305.18160113,65212305.18160113,ABHD6
ABI1,633954228.9396446,874735075.2989321,550112590.7291894,749916197.9098656,337603759.3347755,933600966.4224596,806440139.9130987,ABI1
ABI2,1960277629.2008023,1895837589.7606273,1431579252.6702385,1983415334.0533566,1749318662.8635302,2295225579.354101,1888800529.8507798,ABI2
ABL1,10250517.889129486,10250517.889129486,10250517.889129486,10180404.369877102,10180404.369877102,10180404.369877102,10180404.369877102,ABL1
ABL2,9801317.19337415,9801317.19337415,79821691.79923582,12028454.76227214,12028454.76227214,12028454.76227214,12028454.76227214,ABL2
ABLIM1,561912496.660174,682432428.5233879,685246673.5740166,947776424.6670383,834394516.6579598,671272926.880192,955725315.1347485,ABLIM1
ABLIM2,1109140452.3918846,1613653661.2802446,1878211227.3792212,1973580003.086277,1866376381.7640984,1665170209.1235518,2248779405.9436727,ABLIM2
ABLIM3,9679635.92660201,9679635.92660201,59708799.40624004,12399367.166635076,12399367.166635076,12399367.166635076,12399367.166635076,ABLIM3
ABR,2520144059.768998,2824628106.8111377,2238587877.396029,2035153469.7843974,2223571985.089517,2222692897.3015637,2284455215.717996,ABR
ABRACL,221213811.88919225,298998232.88490087,286043583.8542334,488526387.2974777,302783991.40198743,385933067.1745616,553383657.4615017,ABRACL
ACAA1,1008620012.8531592,963316998.6602408,979238219.5641893,1100254557.035354,922361931.7374812,832501708.7697631,951718974.5814751,ACAA1
ACAA2,1788932093.1192405,2633993048.7459416,2589984428.3535852,2837171064.805129,2977305447.9133444,2504114351.8305697,2582170494.523745,ACAA2
ACACB;ACACA,638991062.6910161,687906257.3375952,436318917.98074806,796697750.8232332,334718755.1709408,578709289.8219197,723981191.0135509,ACACB
ACAD10,12862314.40135443,12862314.40135443,12862314.40135443,9753423.226585682,9753423.226585682,9753423.226585682,9753423.226585682,ACAD10
ACAD8,188646304.42261183,171319729.49636957,237528198.38381642,411006821.3653252,376209939.0108227,41712865.99066959,246161458.82301643,ACAD8
ACAD9,557768471.6513637,911452262.6601443,1101794550.7217636,930745851.9995568,904018173.9246924,1001734476.3623222,1089485755.4277027,ACAD9
ACADM,823632693.2319247,818003638.0705664,951106846.8610467,1162068465.4912012,1274397882.5486162,900267506.5689055,1032745190.8767775,ACADM
ACADS,273989250.15122986,523214377.33770186,567021323.171106,407073140.49420315,366305727.4330831,465376451.4094425,433045585.6718824,ACADS
ACADSB,559293405.8322372,710678281.8257736,798615075.2496611,1061567116.7531133,1092291162.2944195,911659634.5124387,826352387.5079107,ACADSB
ACADVL,1554723744.6048224,1914527081.326768,2020165058.3909528,1791803567.3324766,2194946762.1059237,1780637810.6903179,2768380462.497659,ACADVL
ACAN,121862785.81869896,385270856.94066095,645046180.2072637,1186594327.5906632,1361199134.5513856,644758002.1327803,843779865.4633802,ACAN
ACAP1;ACAP2,18844507.943656806,69008742.35361773,63478058.30591224,17933200.793668076,17933200.793668076,17933200.793668076,17933200.793668076,ACAP1
ACAT1,6782870425.783339,8533602961.496145,8527907900.019901,8650371198.564516,8398062236.680769,8271491618.293042,8045169383.601458,ACAT1
ACAT2,3472306694.217325,2584583654.3818364,2028049958.033137,2875641724.249416,2073372839.3934906,2668015722.9272943,3106424987.9620423,ACAT2
ACBD3,20174726.226271946,48947107.38445982,36517828.592725396,11501930.977750698,11501930.977750698,11501930.977750698,11501930.977750698,ACBD3
ACBD5;ACBD4,9373102.3618768,78140071.10801807,9373102.3618768,11637087.561099175,11637087.561099175,11637087.561099175,11637087.561099175,ACBD5
