Genes,PhosNo,Norm_Symbol
IGKV1-27,1,IGKV1-27
TRAV7,2,TRAV7
TRAV36DV7,4,TRAV36DV7
PPIAL4E,4,PPIAL4E
TRAV30,1,TRAV30
NBPF19,9,NBPF19
TBC1D3D,2,TBC1D3D
ELOA3C,1,ELOA3C
MEIKIN,1,MEIKIN
TBC1D3I,2,TBC1D3I
TBC1D3E,2,TBC1D3E
CYP2D7,1,CYP2D7
TBC1D3K,2,TBC1D3K
SMIM26,2,SMIM26
CCDC187,1,CCDC187
GVQW2,1,GVQW2
IGHV1-45,2,IGHV1-45
IGHV3-49,2,IGHV3-49
TRAV14DV4,3,TRAV14DV4
TRAV8-3,1,TRAV8-3
POTEB,2,POTEB
IGHV6-1,1,IGHV6-1
IGHV2-26,3,IGHV2-26
TRAV13-2,1,TRAV13-2
TRAV12-1,1,TRAV12-1
TRAV26-2,1,TRAV26-2
PPIAL4C,5,PPIAL4C
IGKV1D-13,1,IGKV1D-13
PIGBOS1,1,PIGBOS1
IGHV1-69D,1,IGHV1-69D
IGKV3D-20,2,IGKV3D-20
IGHV1-3,1,IGHV1-3
IGHV1-24,3,IGHV1-24
IGHV4-28,3,IGHV4-28
IGHV5-51,3,IGHV5-51
IGHV1-58,1,IGHV1-58
IGHV2-70D,3,IGHV2-70D
IGKV2-24,2,IGKV2-24
PRAMEF33,1,PRAMEF33
IGHV1-69,2,IGHV1-69
PNMA6E,1,PNMA6E
NBDY,1,NBDY
CSNKA2IP,3,CSNKA2IP
C20orf204,1,C20orf204
MYMX,1,MYMX
EDDM13,1,EDDM13
SMIM32,1,SMIM32
CCDC195,1,CCDC195
C17orf113,2,C17orf113
CCDC194,2,CCDC194
C13orf42,5,C13orf42
IQCM,2,IQCM
MDFIC2,2,MDFIC2
TRBV3-1,1,TRBV3-1
KANSL1L,8,KANSL1L
SLC12A8,3,SLC12A8
RBM47,2,RBM47
TTC26,6,TTC26
FER1L5,4,FER1L5
E2F8,31,E2F8
UBA6,19,UBA6
ESYT2,36,ESYT2
ESYT3,3,ESYT3
MED19,8,MED19
UHRF1BP1L,60,UHRF1BP1L
POTEB3,2,POTEB3
SHTN1,48,SHTN1
PLSCR5,1,PLSCR5
DAPL1,1,DAPL1
CIB4,1,CIB4
TLDC2,2,TLDC2
SHISA3,7,SHISA3
FEZF1,3,FEZF1
GXYLT2,1,GXYLT2
TMEM120B,1,TMEM120B
CLRN2,1,CLRN2
ARHGAP10,12,ARHGAP10
CCDC189,1,CCDC189
BICDL2,7,BICDL2
ARHGEF37,11,ARHGEF37
FAM168B,5,FAM168B
PXDNL,10,PXDNL
MEX3A,8,MEX3A
ILVBL,3,ILVBL
