,genes
0,TSPAN6
1,DPM1
2,SCYL3
3,C1orf112
4,FUCA2
5,GCLC
6,NFYA
7,STPG1
8,NIPAL3
9,LAS1L
10,ENPP4
11,SEMA3F
12,ANKIB1
13,CYP51A1
14,KRIT1
15,RAD52
16,BAD
17,LAP3
18,CD99
19,WNT16
20,HECW1
21,MAD1L1
22,LASP1
23,SNX11
24,TMEM176A
25,M6PR
26,KLHL13
27,CYP26B1
28,ICA1
29,DBNDD1
30,ALS2
31,CASP10
32,CFLAR
33,TFPI
34,NDUFAF7
35,RBM5
36,MTMR7
37,SLC7A2
38,ARF5
39,SARM1
40,POLDIP2
41,PLXND1
42,AK2
43,FKBP4
44,KDM1A
45,RBM6
46,CAMKK1
47,RECQL
48,VPS50
49,HSPB6
50,ARHGAP33
51,NDUFAB1
52,PDK4
53,ZMYND10
54,ARX
55,SLC25A13
56,ST7
57,CDC27
58,SLC4A1
59,HCCS
60,DVL2
61,UPF1
62,SKAP2
63,SLC25A5
64,MCUB
65,HOXA11
66,POLR2J
67,DHX33
68,MEOX1
69,LIG3
70,RPAP3
71,ACSM3
72,REXO5
73,CIAPIN1
74,SPPL2B
75,FAM214B
76,COPZ2
77,PRKAR2B
78,MSL3
79,CREBBP
80,TSPOAP1
81,GCFC2
82,WDR54
83,CROT
84,ABCB4
85,KMT2E
86,RHBDD2
87,SOX8
88,IBTK
89,ZNF195
90,MYCBP2
91,FBXL3
92,PDK2
93,ITGA3
94,ZFX
95,LAMP2
96,ITGA2B
97,ASB4
98,GDE1
99,REX1BD
100,CRLF1
101,OSBPL7
102,TMEM98
103,YBX2
104,MAP3K14
105,TMEM132A
106,AP2B1
107,TAC1
108,ZNF263
109,CX3CL1
110,SPATA20
111,CACNA1G
112,TNFRSF12A
113,DLX6
114,MAP3K9
115,RALA
116,BAIAP2L1
117,KDM7A
118,ETV1
119,AGK
120,ALDH3B1
121,TTC22
122,PHTF2
123,CCL26
124,FARP2
125,USH1C
126,GGCT
127,DBF4
128,TBXA2R
129,IFRD1
130,LGALS14
131,COX10
132,GTF2IRD1
133,PAF1
134,VPS41
135,ARHGAP44
136,ELAC2
137,SCIN
138,PNPLA4
139,ADIPOR2
140,CDKL3
141,MARK4
142,CCDC124
143,PAFAH1B1
144,NOS2
145,KIAA0100
146,GAS7
147,TRAPPC6A
148,MATK
149,ST7L
150,TKTL1
151,PAX6
152,RPUSD1
153,RHBDF1
154,LUC7L
155,CACNA2D2
156,BAIAP3
157,TSR3
158,PIGQ
159,CRAMP1
160,TEAD3
161,DNAJC11
162,MYLIP
163,NOX1
164,E2F2
165,PSMB1
166,SYN1
167,JARID2
168,CDKL5
169,CDK11A
170,NADK
171,CYTH3
172,ADAM22
173,SYPL1
174,CYB561
175,SPAG9
176,CELSR3
177,AASS
178,PLEKHG6
179,SS18L2
180,MPND
181,MGST1
182,CRY1
183,PGLYRP1
184,NFIX
185,ST3GAL1
186,MMP25
187,IL32
188,PKD1
189,MAPK8IP2
190,MED24
191,RHOBTB2
192,HEATR5B
193,SEC62
194,RPS20
195,CSDE1
196,UBE3C
197,REV3L
198,PAX7
199,MASP2
200,IYD
201,FAM76A
202,POMT2
203,VTA1
204,MLXIPL
205,BAZ1B
206,RANBP9
207,ETV7
208,SPRTN
209,METTL13
210,DYRK4
211,ZNF207
212,UQCRC1
213,STARD3NL
214,CD9
215,NCAPD2
216,IFFO1
217,GIPR
218,PHF7
219,SEMA3G
220,NISCH
221,STAB1
222,FUZ
223,IDS
224,PRSS3
225,ZNF200
226,LRRC23
227,BTK
228,HFE
229,SCMH1
230,FYN
231,HIVEP2
232,ELOA
233,LYPLA2
234,CLCN6
235,MRC2
236,NME1-NME2
237,TSPAN9
238,BTBD7
239,APBA3
240,MKS1
241,ABHD5
242,ANOS1
243,AKAP8L
244,MBTD1
245,UTP18
246,RNF216
247,TTC19
248,PTBP1
249,DPF1
250,SYT7
251,LARS2
252,PIK3C2A
253,PLAUR
254,ANLN
255,WIZ
256,RABGAP1
257,DCN
258,QPCTL
259,PPP5C
260,CEP68
261,MAP4K3
262,ZBTB32
263,TMEM159
264,BRCA1
265,ERCC1
266,SEMA3B
267,MBTPS2
268,PRICKLE3
269,EXTL3
270,ELOVL5
271,ALOX5
272,CALCOCO1
273,UBR7
274,MAP4K5
275,EHD3
276,PSMC4
277,MAN2B2
278,SLC25A39
279,MVP
280,NUB1
281,PGM3
282,RWDD2A
283,CLK1
284,POLR3B
285,ANGEL1
286,RNF14
287,DNASE1L1
288,DDX11
289,HEBP1
290,GPRC5A
291,MAMLD1
292,TACC3
293,UFL1
294,POLA2
295,ZC3H3
296,CAPN1
297,ACPP
298,MDH1
299,SLC30A9
300,COX15
301,CCDC88C
302,YAF2
303,ZMYND11
304,WAS
305,DPEP1
306,BID
307,MATR3
308,NPC1L1
309,XYLT2
310,RGPD5
311,STMN4
312,NUDCD3
313,ISL1
314,CHDH
315,IL20RA
316,GLT8D1
317,ATP2C1
318,SLC38A5
319,RALBP1
320,RUFY3
321,CNTN1
322,WWTR1
323,AGPS
324,CXorf56
325,TTC27
326,ZNF582
327,VSIG2
328,PHLDB1
329,PRDM11
330,SNAI2
331,HGF
332,ZRANB1
333,NCDN
334,ADGRA2
335,ZFP64
336,MNAT1
337,SAMD4A
338,RUNX3
339,MRE11
340,PLEKHB1
341,SERPINB1
342,SPAST
343,NRXN3
344,OSBPL5
345,AQR
346,CPS1
347,FHL1
348,RTF2
349,NLRP2
350,SLC45A4
351,RNF10
352,ZNF839
353,ZDHHC6
354,GRAMD1B
355,RNH1
356,NDUFS1
357,RB1CC1
358,ERP44
359,ALAS1
360,BIRC3
361,AKAP11
362,GLRX2
363,SNAPC1
364,DERA
365,STRAP
366,ABCC2
367,DEF6
368,PLEKHO1
369,GCLM
370,UBR2
371,EHD2
372,DEPDC1
373,CCDC28A
374,RRAGD
375,HSF2
376,PHF20
377,HSD17B6
378,NR1H3
379,TYMP
380,NCAPH2
381,TOMM34
382,SEC63
383,KPNA6
384,VIM
385,FAS
386,RNASET2
387,CD44
388,KCNG1
389,AGPAT4
390,BTN3A1
391,MIPEP
392,PRKCH
393,IFNGR1
394,B4GALT7
395,VRK2
396,VEZT
397,POU2F2
398,BRD9
399,SNX1
400,TBPL1
401,ARNTL2
402,BCLAF1
403,SLC39A9
404,ANK1
405,TFB1M
406,RABEP1
407,HMGB3
408,NUP160
409,BAK1
410,IKZF2
411,GRN
412,FAM13B
413,ARHGAP31
414,CENPQ
415,SARS
416,RANBP3
417,ARID4A
418,EIPR1
419,PNPLA6
420,IFT88
421,ALG1
422,ZCCHC8
423,ABCF2
424,CHPF2
425,LRRC7
426,FUT8
427,UBA6
428,GAB2
429,ATP6V0A1
430,PIAS1
431,SLC4A7
432,APBA2
433,MAP2K3
434,TMSB10
435,ASTE1
436,RNF19A
437,PEX3
438,GABARAPL2
439,SH3YL1
440,FAM136A
441,VCL
442,DEPDC1B
443,DAPK2
444,NSMAF
445,ADSS
446,TIMP2
447,RFC1
448,TBC1D23
449,CUL3
450,MYOM2
451,CYP46A1
452,AC118549.1
453,USP2
454,TUBG2
455,RPL26L1
456,FLT4
457,NSUN2
458,FBXO42
459,MFAP3
460,MRI1
461,METTL1
462,HOXC8
463,AGA
464,PI4K2B
465,BOD1L1
466,MAT2B
467,TLL1
468,EDC4
469,TRIO
470,VCAN
471,CLEC16A
472,MSR1
473,CDH1
474,MTREX
475,ZFYVE16
476,RIPOR1
477,RAI14
478,SOX30
479,PNKP
480,BEST2
481,PHLPP2
482,SPDL1
483,STAU2
484,PQLC2
485,CTNS
486,RTN4R
487,PHF23
488,INPP4A
489,RAB27B
490,PSMA4
491,LSG1
492,PARP3
493,TNC
494,THAP3
495,TDP1
496,AIFM2
497,SPATA7
498,MED17
499,RETSAT
500,CAPG
501,AP2S1
502,BARX2
503,DCUN1D1
504,JADE2
505,ZIC2
506,TRIT1
507,ADRB1
508,CUL7
509,CTNNA1
510,PHKA2
511,CNTLN
512,EPHA3
513,HSPA5
514,DSG2
515,GEMIN8
516,OFD1
517,GPM6B
518,PREX2
519,WDR37
520,YTHDC2
521,CTPS2
522,ATP6V1H
523,POLR2B
524,FAM214A
525,ARAP2
526,TPR
527,CP
528,KIAA0556
529,DTNBP1
530,XK
531,ANO2
532,C12orf4
533,SCML1
534,WWC3
535,ARHGAP6
536,MAP4
537,GOPC
538,USP28
539,HDAC9
540,TSPAN17
541,NOP16
542,CC2D2A
543,RRM2B
544,ZNF800
545,SNX29
546,MRPS10
547,RSF1
548,VPS13D
549,CELF2
550,FAM120A
551,R3HDM1
552,COL9A2
553,KITLG
554,ERCC8
555,H6PD
556,VAMP3
557,PER3
558,TNFRSF9
559,LTBP1
560,RCN1
561,RFC2
562,ARID1B
563,CLPTM1L
564,NEDD4L
565,FOXP3
566,PPP1R3F
567,HEXB
568,PTCD2
569,JKAMP
570,DKK3
571,ARHGEF5
572,NFE2L3
573,MCUR1
574,LIMA1
575,LETMD1
576,SLC4A8
577,LAMC3
578,TNIP3
579,MAPK9
580,COL23A1
581,BCAR1
582,FAM160A2
583,HERPUD1
584,HOMER3
585,RAD51
586,POLQ
587,PIK3CB
588,CYBA
589,THOC3
590,HEBP2
591,MPHOSPH9
592,PLEKHA5
593,PRSS8
594,SIKE1
595,RRP12
596,FNIP2
597,MSMO1
598,TTC17
599,ALX4
600,FSTL4
601,FOXN3
602,AKR7A2
603,MRTO4
604,NNAT
605,USE1
606,MCF2L2
607,NRIP2
608,LAMA3
609,AP5M1
610,ANAPC4
611,KCNQ1
612,TRAPPC3
613,THRAP3
614,PHPT1
615,ENTPD2
616,ARID4B
617,OPN3
618,SDCCAG8
619,HHAT
620,KIF1B
621,FOXC1
622,TBC1D22A
623,SYNE2
624,PLEKHH1
625,ATP9A
626,FAM168A
627,RELT
628,GALC
629,NOP58
630,SZRD1
631,KCNH2
632,CUL1
633,FAM114A2
634,CYFIP2
635,TAB2
636,GINM1
637,EIF2AK2
638,USP36
639,KMT2C
640,MCOLN3
641,CCDC85A
642,PUM2
643,MRPL43
644,ITIH4
645,HPF1
646,ZFR
647,ZNF280C
648,PHF21B
649,RC3H2
650,IL17RB
651,TRAF3IP2
652,GYG2
653,DCBLD2
654,SOAT1
655,PKP2
656,MSH4
657,GDI2
658,PRDM1
659,ATG5
660,TMCC3
661,PITHD1
662,MTA3
663,USP13
664,ATP11B
665,LAMC2
666,CDK14
667,SEC61A1
668,PPP1R12A
669,CAMK2B
670,CROCC
671,POLR3E
672,ATP2B4
673,ZC3H11A
674,RIOK2
675,YIPF1
676,NDC1
677,FLYWCH1
678,UNKL
679,TBXAS1
680,PARP12
681,ALDH18A1
