regressor,time
adaboost,210.6496889591
adaboost,152.9370214939
adaboost,206.3724973202
adaboost,81.865540266
adaboost,113.141430378
random forest,2915.9376912117
random forest,2967.8736240864
random forest,2871.1883611679
random forest,2787.8412179947
random forest,2868.7425215244
svm deg=3,18.5844695568
svm deg=3,25.6661984921
svm deg=3,17.5015330315
svm deg=3,27.2215738297
svm deg=3,24.1024496555
svm deg=4,30.8949122429
svm deg=4,37.8618884087
svm deg=4,17.4580738544
svm deg=4,26.4884812832
svm deg=4,26.2587423325
svm rbf,51544.8745093346
svm rbf,46705.1482992172
svm rbf,47809.7211556435
svm rbf,52574.734847784
svm rbf,51617.8147585392
svm sigmoid,59518.2729799747
svm sigmoid,54109.6354091167
svm sigmoid,55452.9005718231
svm sigmoid,74506.4300231934
svm sigmoid,28503.7275760174
