,genes
0,PLEKHH2
1,RAD9A
2,ATF4
3,KLHL13
4,SULT2B1
5,SMARCB1
6,PRPS1
7,MOBP
8,SLC26A1
9,PANK3
10,WDR62
11,HIPK1
12,STAM2
13,DPYSL5
14,MACC1
15,DSC2
16,CLDN6
17,ZNF706
18,KCNK9
19,TIPIN
20,ZNF205
21,EFNA4
22,MSR1
23,CNGB1
24,CD2
25,NELFCD
26,SLC12A8
27,TUBAL3
28,COBL
29,OTOP3
30,RGS11
31,MYH11
32,ZNF500
33,GPR89A
34,TRIP13
35,SLC27A1
36,RP1L1
37,TBX1
38,KMO
39,CALCRL
40,TRAM1L1
41,AGTPBP1
42,CKMT2
43,PPP2R5E
44,ABCA10
45,ZNF530
46,SOX13
47,NHLRC1
48,ITGA11
49,NCLN
50,CAMKK2
51,GCM2
52,UBXN11
53,HNF4G
54,INHBA
55,DYM
56,TNPO3
57,RTP4
58,CHST15
59,CDK1
60,MZT1
61,STMN4
62,SNRNP40
63,CRLF1
64,MLLT3
65,TRIM37
66,MCM4
67,DDX24
68,TPST1
69,NGEF
70,TNFAIP6
71,GPR152
72,ZNF24
73,TPRKB
74,XXYLT1
75,MAPKAPK2
76,RPS6KA3
77,CHSY1
78,ZFP91
79,PLEKHG1
80,MYL12A
81,UTP6
82,IRF4
83,MC1R
84,FSCN1
85,GAS8
86,GADD45A
87,ARHGEF1
88,ZNF558
89,KLK5
90,SLC25A6
91,CCDC22
92,CHL1
93,DHX9
94,EIF3E
95,ASH2L
96,CDHR1
97,TNFRSF10D
98,POLR1A
99,TDRD5
100,LPAR3
101,TBX4
102,IL13RA1
103,HEATR3
104,ZBED1
105,RAC3
106,VPS51
107,LONRF1
108,S1PR3
109,SOD2
110,PALB2
111,CDKN1C
112,NCBP1
113,CXADR
114,SMC1B
115,XPR1
116,NLRP12
117,GCC1
118,ISCA2
119,AKAP12
120,LGALS4
121,CYP24A1
122,HMGB4
123,PEX13
124,FBXL6
125,NFYA
126,RBM10
127,CALCOCO2
128,COASY
129,EED
130,HIVEP1
131,AUTS2
132,USP33
133,TLR9
134,ZNF214
135,CD22
136,AP3B1
137,DDX18
138,GALT
139,ZNF34
140,UXS1
141,DAPK3
142,POLQ
143,CHST8
144,PDXK
145,CYB5B
146,ARPP21
147,ZNF320
148,AMOT
149,GJB3
150,FUOM
151,DDOST
152,SLC38A10
153,GTPBP6
154,CABLES1
155,ANK3
156,TOMM6
157,RBBP8
158,ZNF787
159,COL14A1
160,KLHL9
161,CCDC88C
162,HMGN1
163,CCNT1
164,MLH3
165,OMA1
166,RHOQ
167,FOXD4
168,ST6GAL2
169,SHB
170,ASS1
171,ZFR
172,COG4
173,GNG12
174,KLK9
175,PAPSS1
176,SIX2
177,UNC13D
178,FAT3
179,GPR161
180,BTN3A3
181,ERCC8
182,EXOC6
183,NR4A2
184,THAP2
185,KCNN4
186,CYP26B1
187,ZFYVE16
188,ROCK1
189,FGF12
190,AGK
191,SLC10A7
192,PTBP2
193,UHMK1
194,STRAP
195,MTDH
196,PAIP2B
197,PNP
198,KCNQ4
199,EML4
200,TUBGCP2
201,AFF1
202,SEC23IP
203,CDC73
204,NME1
205,AXL
206,TOP1MT
207,LYL1
208,DNAJC16
209,INTS9
210,SLC5A5
211,ORC6
212,ZNF473
213,MAPRE1
214,PARM1
215,ZBTB12
216,ZNF804A
217,DMRTC2
218,MST1R
219,PMPCB
220,PWWP2A
221,CDK12
222,ABCA6
223,ZFAND1
224,GEMIN8
225,NKTR
226,ESYT3
227,INPPL1
228,HOXA1
229,RUFY2
230,PIH1D1
231,UCK2
232,ARHGAP12
233,PRKCI
234,UBXN10
235,RAB40C
236,B4GALT4
237,FAM13A
238,RPTN
239,CAPN10
240,KLHL24
241,ERBB3
242,RRP1
243,TFDP2
244,SMIM1
245,TWF2
246,ZNF266
247,A2M
248,ASIC4
249,SP140L
250,NDEL1
251,MTHFD1
252,SH3RF1
253,BCKDHB
254,PYGL
255,GALNT4
256,TRAK2
257,CEBPB
258,DIDO1
259,AHR
260,PRKAB2
261,RAB37
262,ABCG5
263,HBQ1
264,AGXT2
265,ABCC2
266,TGFBR1
267,ZNF536
268,CMBL
269,GCC2
270,CYTIP
271,ZNF419
272,GNAO1
273,MMP27
274,LTBP2
275,FOXS1
276,CNTNAP2
277,SLC25A3
278,PPM1G
279,CDK2AP1
280,AMPD1
281,LMOD3
282,SASH3
283,CXXC1
284,KIFC2
