,genes,avg_scores,syngo,syndb,synsysnet,cortex,striatum,fetal,ngn2,Lit Sum,Exp Sum,All Sum,SynSig,Synapse_Status,Synapse Percentile
478,APP,5.848907342172894,1,0,1,1,1,1,1,2,4,6,yes,old,100.0
3681,HSP90AB1,5.619268639752511,0,1,0,1,1,1,1,1,4,5,yes,old,99.99010684606253
3692,HSPA8,5.474444701058316,1,1,1,1,1,1,1,3,4,7,yes,old,99.98021369212505
2388,EGFR,5.469595538688706,0,0,0,1,0,0,0,0,1,1,yes,new,99.97032053818758
8843,TP53,5.4616215808544135,0,0,0,0,0,0,0,0,0,0,yes,new,99.9604273842501
3680,HSP90AA1,5.447978091295072,0,1,1,1,1,1,1,2,4,6,yes,old,99.95053423031263
7894,SMARCA2,5.408466694236755,0,0,0,0,0,0,0,0,0,0,yes,new,99.94064107637514
2522,EP300,5.385630308050923,0,0,0,0,0,0,1,0,1,1,yes,new,99.93074792243767
368,ANK2,5.383963499736277,0,1,1,1,1,1,1,2,4,6,yes,old,99.92085476850019
902,BRCA1,5.373136400119599,0,0,0,0,0,0,0,0,0,0,yes,new,99.91096161456272
9510,XPO1,5.369208126842711,0,1,0,0,0,0,1,1,1,2,yes,old,99.90106846062525
4725,MCM2,5.36533288297495,0,0,0,0,0,0,1,0,1,1,yes,new,99.89117530668777
2589,ESR1,5.344574865282458,0,0,0,0,0,0,0,0,0,0,yes,new,99.8812821527503
6173,PKM,5.335809712810883,0,0,0,1,1,1,1,0,4,4,yes,new,99.87138899881282
1757,CREBBP,5.335751958545134,0,0,0,0,0,0,0,0,0,0,yes,new,99.86149584487535
2371,EEF1A1,5.31995943915534,0,1,1,1,1,1,1,2,4,6,yes,old,99.85160269093787
7895,SMARCA4,5.2752897121889815,0,0,0,0,0,0,1,0,1,1,yes,new,99.8417095370004
4531,LRRK2,5.238314112714275,1,0,0,0,0,0,0,1,0,1,yes,old,99.83181638306291
3501,HERC2,5.2322959587362305,0,0,0,0,0,0,1,0,1,1,yes,new,99.82192322912545
9144,UBC,5.2064388237295685,0,1,0,0,0,1,1,1,2,3,yes,old,99.81203007518798
3215,GNAS,5.204955560382751,0,1,1,1,1,1,1,2,4,6,yes,old,99.8021369212505
9555,YWHAZ,5.1959446006036965,1,1,1,1,1,1,1,3,4,7,yes,old,99.79224376731302
5112,MYC,5.195577259940623,0,0,0,0,0,0,0,0,0,0,yes,new,99.78235061337554
3023,GABARAPL2,5.191573334208008,0,1,1,1,1,1,0,2,3,5,yes,old,99.77245745943807
1863,CUL3,5.176184975874559,0,0,0,1,1,0,1,0,3,3,yes,new,99.76256430550059
3981,ITPR1,5.16878063005486,1,0,0,1,1,0,0,1,2,3,yes,old,99.75267115156312
3690,HSPA5,5.154490525103953,0,1,1,0,0,1,1,2,2,4,yes,old,99.74277799762564
5376,NFKB1,5.1506419135096975,0,0,0,0,0,0,0,0,0,0,yes,new,99.73288484368817
2898,FN1,5.146347023923593,0,0,0,0,0,1,1,0,2,2,yes,new,99.7229916897507
1020,CALM3,5.139163085487945,0,0,1,0,0,0,0,1,0,1,yes,old,99.71309853581322
3603,HNRNPU,5.1384563165095525,0,0,0,1,0,1,1,0,3,3,yes,new,99.70320538187575
2309,DYNC1H1,5.135711830445792,0,1,1,1,1,1,1,2,4,6,yes,old,99.69331222793826
4747,MDM2,5.134048762596263,0,0,0,0,0,0,0,0,0,0,yes,new,99.6834190740008
1804,CSNK2A1,5.1231737973980565,0,1,1,1,1,1,1,2,4,6,yes,old,99.67352592006331
3333,GRB2,5.11072257813418,0,1,1,1,0,0,1,2,2,4,yes,old,99.66363276612584
7233,RPS4X,5.106817187882873,1,0,0,1,1,1,1,1,4,5,yes,old,99.65373961218836
3905,IQGAP1,5.0985720569363115,0,1,0,0,0,0,1,1,1,2,yes,old,99.64384645825089
6899,RBFOX1,5.0961639455705345,0,0,0,0,0,0,1,0,1,1,yes,new,99.63395330431341
2784,FBXW11,5.095974636918738,0,0,0,0,0,0,1,0,1,1,yes,new,99.62406015037594
1891,CYLD,5.094272125098803,0,1,0,0,1,0,0,1,1,2,yes,old,99.61416699643847
9067,TUBA1A,5.0885566419602215,0,1,1,1,1,1,1,2,4,6,yes,old,99.60427384250099
9324,UTRN,5.086628459224729,0,0,0,0,0,0,0,0,0,0,yes,new,99.59438068856352
1838,CTNNB1,5.082820474258418,1,1,1,1,1,1,1,3,4,7,yes,old,99.58448753462604
4014,JUN,5.0821096139517925,0,0,0,0,0,0,0,0,0,0,yes,new,99.57459438068857
698,ATP2B1,5.081296572319791,1,1,1,0,0,1,1,3,2,5,yes,old,99.56470122675108
2523,EPB41,5.075050549655146,0,1,0,1,0,1,1,1,3,4,yes,old,99.55480807281361
1440,CHD4,5.067796621565091,0,0,0,0,0,0,1,0,1,1,yes,new,99.54491491887613
59,ABL1,5.0629513235922206,1,0,0,0,0,0,1,1,1,2,yes,old,99.53502176493866
4630,MAP1LC3A,5.062512729019491,1,0,0,1,0,1,1,1,3,4,yes,old,99.5251286110012
1321,CDK2,5.0620695349381055,0,0,0,0,0,0,1,0,1,1,yes,new,99.51523545706371
8008,SORBS2,5.058202662021633,0,1,0,1,1,1,1,1,4,5,yes,old,99.50534230312624
9068,TUBA1B,5.052291430691911,0,1,0,0,0,0,0,1,0,1,yes,old,99.49544914918876
9553,YWHAH,5.043014156066255,1,1,1,1,1,1,1,3,4,7,yes,old,99.48555599525129
5511,NPM1,5.040674537432339,0,1,0,1,0,1,1,1,3,4,yes,old,99.4756628413138
5132,MYH9,5.039448537003373,0,0,1,1,1,1,1,1,4,5,yes,old,99.46576968737634
5637,NXF1,5.037620386405601,0,0,0,0,0,0,0,0,0,0,yes,new,99.45587653343885
2874,FLNA,5.036940199650838,1,0,0,1,0,1,1,1,3,4,yes,old,99.44598337950139
9554,YWHAQ,5.036323794995094,1,1,1,1,1,1,1,3,4,7,yes,old,99.43609022556392
3589,HNRNPA1,5.033932801497701,0,1,0,1,1,1,1,1,4,5,yes,old,99.42619707162643
3551,HLA-B,5.033572764476104,0,0,0,0,0,0,0,0,0,0,yes,new,99.41630391768896
8268,STXBP1,5.028600058874732,0,1,1,1,1,1,1,2,4,6,yes,old,99.40641076375148
1096,CBL,5.022649169340808,0,0,0,1,0,0,1,0,2,2,yes,new,99.39651760981401
2557,ERBB4,5.022565946060623,1,0,0,0,0,0,0,1,0,1,yes,old,99.38662445587653
4698,MATR3,5.022559022796305,0,0,0,1,1,1,1,0,4,4,yes,new,99.37673130193906
