,genes
0,LRRC47
1,KCNAB2
2,VAMP3
3,ENO1
4,PINK1
5,ALPL
6,RUNX3
7,EPB41
8,DEM1
9,UQCRH
10,EPS15
11,DNAJC6
12,GNAI3
13,KCNA3
14,ATP5F1
15,ATP1A1
16,SV2A
17,HORMAD1
18,S100A13
19,S100A1
20,ATP1A2
21,NDUFS2
22,MGST3
23,ATP1B1
24,TNR
25,RASAL2
26,GLUL
27,ASPM
28,CSRP1
29,SYT2
30,PPFIA4
31,NFASC
32,SERTAD4
33,ARF1
34,ACTA1
35,ACTN2
36,FH
37,YWHAQ
38,HPCAL1
39,VSNL1
40,GDF7
41,HADHB
42,MAPRE3
43,EHD3
44,NRXN1
45,SPTBN1
46,RTN4
47,RAB1A
48,AAK1
49,ATP6V1B1
50,ACTG2
51,IMMT
52,DPP4
53,SCN2A
54,SCN1A
55,SLC25A12
56,ADAM23
57,MAP2
58,ARPC2
59,WNT10A
60,NDUFA10
61,IL5RA
62,ARPC4
63,SLC6A1
64,SYN2
65,DYNC1LI1
66,CTNNB1
67,UQCRC1
68,BSN
69,GNAI2
70,TKT
71,ERC2
72,PDHB
73,ATP6V1A
74,NDUFB4
75,ALDH1L1
76,KCNAB1
77,AP2M1
78,OPA1
79,DLG1
80,GAK
81,CTBP1
82,ADD1
83,SLC4A4
84,SNCA
85,PPP3CA
86,ANK2
87,ANXA5
88,SLC25A4
89,GOLPH3
90,RAB3C
91,SNCAIP
92,ACSL6
93,VDAC1
94,PPP2CA
95,NDUFA2
96,CAMK2A
97,ANXA6
98,CPLX2
99,CANX
100,TUBB2A
101,SOX4
102,DDR1
103,HSPA1B
104,PACSIN1
105,CPNE5
106,HSP90AB1
107,RIMS1
108,GNA12
109,ACTB
110,RAC1
111,AMPH
112,DBNL
113,OGDH
114,PPIA
115,STX1A
116,MDH2
117,GNAI1
118,PCLO
119,ADAM22
120,GNB2
121,VGF
122,DLD
123,NRCAM
124,CAV1
125,WASL
126,CHCHD3
127,EXOC4
128,CDK5
129,ATP6V1B2
130,PPP3CC
131,NEFL
132,DPYSL2
133,VDAC3
134,SDCBP
135,WWP1
136,UQCRB
137,YWHAZ
138,ATP6V1C1
139,RIMS2
140,SYBU
141,PTK2
142,CYC1
143,SH3GL2
144,VCP
145,TLN1
146,CLTA
147,HSPA5
148,STXBP1
149,DNM1
150,SPTAN1
151,PFKP
152,ATP5C1
153,KIF5B
154,OGDHL
155,PRKG1
156,HK1
157,PPP3CB
158,VDAC2
159,GLUD1
160,SFXN3
161,INA
162,DPYSL4
163,AP2A2
164,BRSK2
165,HBB
166,HBD
167,LDHA
168,MAPK8IP1
169,NDUFS3
170,MTCH2
171,NRXN2
172,SF3B2
173,RAB1B
174,DPP3
175,ACTN3
176,SPTBN2
177,PC
178,PPFIA1
179,MAP6
180,NDUFC2
181,ME3
182,DLAT
183,NCAM1
184,ATP5L
185,THY1
186,HSPA8
187,NDUFA9
188,KCNA1
189,VAMP1
190,GAPDH
191,TPI1
192,ENO2
193,PHB2
194,CNTN1
195,PFKM
196,AMHR2
197,CS
198,ATP5B
199,DCTN2
200,SYT1
201,GIT2
202,ATP2A2
203,RPH3A
204,ARHGEF7
205,STXBP6
206,RTN1
207,GPHN
208,ACTN1
209,PAPLN
210,STON2
211,CALM1
212,DYNC1H1
213,HSP90AA1
214,RAGE
215,CKB
216,CYFIP1
217,MAP1A
218,MYO5A
219,TLN2
220,TPM1
221,PKM2
222,NPTN
223,COX5A
224,IDH3A
225,SNRPA1
226,HBA2
227,HBA1
228,MAPK8IP3
229,CASKIN1
230,XYLT1
231,UQCRC2
232,TUFM
233,ALDOA
234,STX4
235,VPS35
236,GNAO1
237,ATP6V0D1
238,LCAT
239,AP1G1
240,TUBB3
241,YWHAE
242,PFN1
243,C1QBP
244,EIF5A
245,VAMP2
246,UBB
247,EPN2
248,KCNJ12
249,ALDOC
250,GIT1
251,AP2B1
252,JUP
253,CNP
254,ATP6V0A1
255,MPP2
256,GFAP
257,NSF
258,COL1A1
259,CLTC
260,GNA13
261,PRKCA
262,ATP5H
263,GRB2
264,ACTG1
265,HGS
266,EPB41L3
267,NDUFV2
268,NAPG
269,AQP4
270,CDH2
271,ATP5A1
272,WDR7
273,MBP
274,BSG
275,SGTA
276,PIP5K1C
277,EEF2
278,TUBB4
279,STXBP2
280,COL5A3
281,DNM2
282,PRDX2
283,CALR
284,PRKACA
285,UNC13A
286,RAB3A
287,UQCRFS1
288,POP4
289,SPTBN4
290,RABAC1
291,ATP1A3
292,NAPA
293,SPHK2
294,PPFIA3
295,AP2A1
296,PPP2R1A
297,PRKCG
298,CSNK2A1
299,SNPH
300,PLCB1
301,SNAP25
302,NAPB
303,SRC
304,YWHAB
305,GNAS
306,TUBB1
307,DNAJC5
308,ATP5J
309,SYNJ1
310,ATP5O
311,NDUFV3
312,PFKL
313,S100B
314,SLC25A18
315,ATP6V1E1
316,TUBA8
317,SNAP29
318,MAPK1
319,AP1B1
320,YWHAH
321,SYN3
322,ACO2
323,NDUFA6
324,SAMM50
325,PDHA1
326,CASK
327,SYN1
328,SYP
329,DLG3
330,PRPS1
331,SLC25A5
332,MAGEA5
333,L1CAM
334,GDI1
335,Symbol
336,VAMP3
337,ENO1
338,STX12
339,PGM1
340,SLC6A17
341,SV2A
342,SCAMP3
343,RABGAP1L
344,STX6
345,ATP6V1G3
346,SYT2
347,SNAP47
348,ACTA1
349,HPCAL1
350,ATP6V1C2
351,VSNL1
352,SLC30A3
353,ATP6V1E2
354,CALM2
355,RTN4
356,AAK1
357,ATP6V1B1
358,DCTN1
359,RAB3GAP1
360,PDK1
361,ARPC2
362,KIF1A
363,SYN2
364,ATP6V1A
365,RAP1GDS1
366,CLCN3
367,SV2C
368,TMED9
369,ATP6V1G2
370,EEF1A1
371,STX7
372,STXBP5
373,SYNJ2
374,AMPH
375,RALA
376,STX1A
377,ATP6V1F
378,ATP6V1B2
379,ATP6V1H
380,ATP6V0D2
381,ATP6V1C1
382,CLTA
383,ATP6V1G1
384,DNM1
385,SPTAN1
386,SLC18A3
387,ACTA2
388,INA
389,VTI1A
390,SLC18A2
391,LDHA
392,SLC17A6
393,RTN3
394,SYT12
395,MAP6
396,PICALM
397,THY1
398,HSPA8
399,VAMP1
400,GAPDH
401,CAPZA3
402,KRAS
403,PFKM
404,RACGAP1
405,SYT1
406,ARPC3
407,RPH3A
408,RTN1
409,ATP6V1D
410,HSP90AA1
411,MYO5A
412,SV2B
413,SYNGR3
414,ATP6V0C
415,SYT17
416,ALDOA
417,ATP6V0D1
418,PFN1
419,VAMP2
420,ATP6V0A1
421,VAT1
422,NSF
423,VAPA
424,WDR7
425,STXBP2
426,GPI
427,AP2A1
428,SYT5
429,SNAP25
430,SLC32A1
431,STX16
432,TUBB1
433,EEF1A2
434,SYNJ1
435,ATP6V1E1
436,SNAP29
437,AP1B1
438,SYN3
439,SYNGR1
440,SYN1
441,SYP
442,PGK1
443,Symbol
444,ENO1
445,CDC42
446,OSCP1
447,PRDX1
448,SLC6A17
449,ATP5F1
450,ATP1A1
451,PPIAL4B
452,SV2A
453,IGSF8
454,ATP1A2
455,ATP1A4
456,ATP1B1
457,GLUL
458,ATP2B4
459,NFASC
460,PLXNA2
461,ARF1
462,ACTA1
463,YWHAQ
464,ATP6V1C2
465,VSNL1
466,SLC30A3
467,ATP6V1E2
468,SPTBN1
469,MDH1
470,RAB1A
471,ATP6V1B1
472,COX5B
473,DPP10
474,DPP4
475,PRKAG3
476,NDUFA10
477,ARPC4
478,ATP2B2
479,SLC6A11
480,SLC6A1
481,SYN2
482,RAB5A
483,UQCRC1
484,BSN
485,GNAI2
486,PDHB
487,ALCAM
488,CD47
489,NDUFB4
490,RAB7A
491,RAB6B
492,KCNAB1
493,AP2M1
494,QDPR
495,UCHL1
496,ANXA5
497,GPM6A
498,SLC25A4
499,BASP1
500,SLC1A3
501,RAB3C
502,SV2C
503,UQCRQ
504,VDAC1
505,CAMK2A
506,ANXA6
507,SFXN1
508,CPLX2
509,TUBB2A
510,TUBB2B
511,PGK2
512,ACTB
513,RAC1
514,GBAS
515,STX1A
516,GNAI1
517,CACNA2D1
518,PCLO
519,HEPACAM2
520,GNB2
521,PLXNA4
522,ATP6V1B2
523,NEFL
524,VDAC3
525,RAB2A
526,PDP1
527,YWHAZ
528,ATP6V1C1
529,TMEM65
530,LY6H
531,PLEC
532,CYC1
533,SLC1A1
534,GNAQ
535,RAB14
536,HSPA5
537,STXBP1
538,DNM1
539,SPTAN1
540,TUBB2C
541,ATP5C1
542,CHAT
543,CISD1
544,HK1
545,VDAC2
546,LGI1
547,PGAM1
548,GOT1
549,INA
550,HRAS
551,CD81
552,SLC1A2
553,SLC3A2
554,RTN3
555,RAB1B
556,GSTP1
557,NDUFV1
558,NCAM1
559,FXYD2
560,FXYD6
561,ATP5L
562,THY1
563,HSPA8
564,NTM
565,NDUFA9
566,VAMP1
567,GAPDH
568,TPI1
569,ENO2
570,PHB2
571,LDHB
572,KRAS
573,DNM1L
574,CNTN1
575,TUBA1B
576,TUBA1A
