Parent	Child	EdgeType
ATP metabolic process in the postsynapse	regulation of ATP metabolic process in the postsynapse	Child-Parent
ATP metabolic process in the presynapse	regulation of ATP metabolic process in the presynapse	Child-Parent
anterograde axonal transport	anterograde axonal protein transport	Child-Parent
anterograde axonal transport	anterograde neuronal dense core vesicle transport	Child-Parent
anterograde dendritic transport	anterograde dendritic transport of neurotransmitter receptor complex	Child-Parent
anterograde synaptic vesicle transport	regulation of anterograde synaptic vesicle transport	Child-Parent
axo-dendritic transport	axo-dendritic protein transport	Child-Parent
axo-dendritic transport	axonal transport	Child-Parent
axo-dendritic transport	dendritic transport	Child-Parent
axonal transport	anterograde axonal transport	Child-Parent
axonal transport	axonal transport of messenger ribonucleoprotein complex	Child-Parent
axonal transport	axonal transport of mitochondrion	Child-Parent
axonal transport	retrograde axonal transport	Child-Parent
axonal transport of messenger ribonucleoprotein complex	anterograde axonal transport of messenger ribonucleoprotein complex	Child-Parent
axonal transport of mitochondrion	anterograde axonal transport of mitochondrion	Child-Parent
axonal transport of mitochondrion	retrograde axonal transport of mitochondrion	Child-Parent
calcium-dependent activation of synaptic vesicle fusion	regulation of calcium-dependent activation of synaptic vesicle fusion	Child-Parent
chemical synaptic transmission	modulation of chemical synaptic transmission	Child-Parent
chemical synaptic transmission	presynaptic process involved in chemical synaptic transmission	Child-Parent
chemical synaptic transmission	postsynaptic process involved in chemical synaptic transmission	Child-Parent
dendritic transport	anterograde dendritic transport	Child-Parent
dendritic transport	dendritic transport of mitochondrion	Child-Parent
dendritic transport	dendritic transport of ribonucleoprotein complex	Child-Parent
dendritic transport	retrograde dendritic transport	Child-Parent
dendritic transport of messenger ribonucleoprotein complex	anterograde dendritic transport of messenger ribonucleoprotein complex	Child-Parent
dendritic transport of mitochondrion	anterograde dendritic transport of mitochondrion	Child-Parent
dendritic transport of mitochondrion	retrograde dendritic transport of mitochondrion	Child-Parent
dendritic transport of ribonucleoprotein complex	dendritic transport of messenger ribonucleoprotein complex	Child-Parent
exocytic insertion of neurotransmitter receptor to postsynaptic membrane	regulation of exocytic insertion of neurotransmitter receptor to postsynaptic membrane	Child-Parent
maintenance of postsynaptic specialization structure	maintenance of postsynaptic density structure	Child-Parent
maintenance of synapse structure	maintenance of alignment of postsynaptic density and presynaptic active zone	Child-Parent
maintenance of synapse structure	maintenance of postsynaptic specialization structure	Child-Parent
maintenance of synapse structure	maintenance of presynaptic active zone structure	Child-Parent
metabolism	ATP metabolic process in the presynapse	Child-Parent
metabolism	ATP metabolic process in the postsynapse	Child-Parent
metabolism	protein catabolic process, modulating synaptic transmission	Child-Parent
metabolism	regulation of protein catabolic process at synapse, modulating synaptic transmission	Child-Parent
metabolism	regulation of translation at synapse, modulating synaptic transmission	Child-Parent
metabolism	neurotransmitter catabolic process	Child-Parent
metabolism	protein catabolic process at synapse	Child-Parent
metabolism	neurotransmitter biosynthetic process	Child-Parent
metabolism	protein translation at synapse	Child-Parent
