Parent	Child	EdgeType
synapse	synaptic membrane	Child-Parent
synaptic membrane	anchored component of synaptic membrane	Child-Parent
synaptic membrane	extrinsic component of synaptic membrane	Child-Parent
synaptic membrane	integral component of synaptic membrane	Child-Parent
synapse	presynapse	Child-Parent
presynapse	presynaptic cytosol	Child-Parent
presynapse	presynaptic cytoskeleton	Child-Parent
presynaptic cytoskeleton	presynaptic intermediate filament cytoskeleton	Child-Parent
presynaptic cytoskeleton	presynaptic actin cytoskeleton	Child-Parent
presynapse	presynaptic active zone	Child-Parent
presynaptic active zone	presynaptic active zone cytoplasmic component	Child-Parent
presynaptic active zone	presynaptic active zone membrane	Child-Parent
presynaptic active zone membrane	anchored component of presynaptic active zone membrane	Child-Parent
presynaptic active zone membrane	extrinsic component of presynaptic active zone membrane	Child-Parent
presynaptic active zone membrane	integral component of presynaptic active zone membrane	Child-Parent
presynapse	presynaptic endocytic zone	Child-Parent
presynaptic endocytic zone	presynaptic endocytic zone cytoplasmic component	Child-Parent
presynaptic endocytic zone	presynaptic endocytic zone membrane	Child-Parent
presynaptic endocytic zone membrane	anchored component of presynaptic endocytic zone membrane	Child-Parent
presynaptic endocytic zone membrane	extrinsic component of presynaptic endocytic zone membrane	Child-Parent
presynaptic endocytic zone membrane	integral component of presynaptic endocytic zone membrane	Child-Parent
presynapse	presynaptic endosome	Child-Parent
presynaptic endosome	presynaptic endosome membrane	Child-Parent
presynaptic endosome membrane	anchored component of presynaptic endosome membrane	Child-Parent
presynaptic endosome membrane	extrinsic component of presynaptic endosome membrane	Child-Parent
presynaptic endosome membrane	integral component of presynaptic endosome membrane	Child-Parent
presynapse	synaptic vesicle	Child-Parent
synaptic vesicle	synaptic vesicle lumen	Child-Parent
synaptic vesicle	synaptic vesicle membrane	Child-Parent
synaptic vesicle membrane	anchored component of synaptic vesicle membrane	Child-Parent
synaptic vesicle membrane	extrinsic component of synaptic vesicle membrane	Child-Parent
synaptic vesicle membrane	integral component of synaptic vesicle membrane	Child-Parent
presynapse	neuronal dense core vesicle	Child-Parent
neuronal dense core vesicle	neuronal dense core vesicle lumen	Child-Parent
neuronal dense core vesicle	neuronal dense core vesicle membrane	Child-Parent
neuronal dense core vesicle membrane	anchored component of neuronal dense core vesicle membrane	Child-Parent
neuronal dense core vesicle membrane	extrinsic component of neuronal dense core vesicle membrane	Child-Parent
neuronal dense core vesicle membrane	integral component of neuronal dense core vesicle membrane	Child-Parent
presynapse	presynaptic membrane	Child-Parent
presynaptic membrane	anchored component of presynaptic membrane	Child-Parent
presynaptic membrane	extrinsic component of presynaptic membrane	Child-Parent
presynaptic membrane	integral component of presynaptic membrane	Child-Parent
presynapse	presynaptic ribosome	Child-Parent
presynapse	presynaptic mitochondria	Child-Parent
presynaptic mitochondria	presynaptic mitochondrial matrix	Child-Parent
presynaptic mitochondria	presynaptic mitochondrial membrane	Child-Parent
presynaptic mitochondrial membrane	integral component of presynaptic mitochondrial membrane	Child-Parent
presynapse	presynaptic ER	Child-Parent
presynaptic ER	presynaptic ER lumen	Child-Parent
presynaptic ER	presynaptic ER membrane	Child-Parent
presynaptic ER membrane	anchored component of presynaptic ER membrane	Child-Parent
presynaptic ER membrane	extrinsic component of presynaptic ER membrane	Child-Parent
presynaptic ER membrane	integral component of presynaptic ER membrane	Child-Parent
presynaptic ER	presynaptic SER	Child-Parent
presynaptic SER	presynaptic SER lumen	Child-Parent
presynaptic SER	presynaptic SER membrane	Child-Parent
presynaptic SER membrane	anchored component of presynaptic SER membrane	Child-Parent
presynaptic SER membrane	extrinsic component of presynaptic SER membrane	Child-Parent
presynaptic SER membrane	integral component of presynaptic SER membrane	Child-Parent
presynaptic ER	presynaptic RER	Child-Parent
presynaptic RER	presynaptic RER lumen	Child-Parent
presynaptic RER	presynaptic RER membrane	Child-Parent
presynaptic RER membrane	anchored component of presynaptic RER membrane	Child-Parent
presynaptic RER membrane	extrinsic component of presynaptic RER membrane	Child-Parent
presynaptic RER membrane	integral component of presynaptic RER membrane	Child-Parent
synapse	synaptic cleft	Child-Parent
synaptic cleft	extracellular matrix of synaptic cleft	Child-Parent
synapse	postsynapse	Child-Parent
postsynapse	postsynaptic cytosol	Child-Parent
postsynapse	postsynaptic cytoskeleton	Child-Parent
postsynaptic cytoskeleton	postsynaptic intermediate filament cytoskeleton	Child-Parent
postsynaptic cytoskeleton	postsynaptic actin cytoskeleton	Child-Parent
postsynaptic cytoskeleton	postsynaptic septin cytoskeleton	Child-Parent
postsynaptic cytoskeleton	postsynaptic spectrin-associated cytoskeleton	Child-Parent
postsynapse	spine apparatus	Child-Parent
spine apparatus	spine apparatus lumen	Child-Parent
spine apparatus	spine apparatus membrane	Child-Parent
spine apparatus membrane	anchored component of spine apparatus membrane	Child-Parent
spine apparatus membrane	extrinsic component of spine apparatus membrane	Child-Parent
spine apparatus membrane	integral component of spine apparatus membrane	Child-Parent
postsynapse	postsynaptic Golgi apparatus	Child-Parent
postsynapse	postsynaptic specialization	Child-Parent
postsynaptic specialization	postsynaptic specialization, intracellular component	Child-Parent
postsynaptic specialization	postsynaptic specialization membrane	Child-Parent
postsynaptic specialization membrane	anchored component of postsynaptic specialization membrane	Child-Parent
postsynaptic specialization membrane	extrinsic component of postsynaptic specialization membrane	Child-Parent
postsynaptic specialization membrane	integral component of postsynaptic specialization membrane	Child-Parent
postsynaptic specialization	postsynaptic density	Child-Parent
postsynaptic density	postsynaptic density, intracellular component	Child-Parent
postsynaptic density	postsynaptic density membrane	Child-Parent
postsynaptic density membrane	anchored component of postsynaptic density membrane	Child-Parent
postsynaptic density membrane	extrinsic component of postsynaptic density membrane	Child-Parent
postsynaptic density membrane	integral component of postsynaptic density membrane	Child-Parent
postsynaptic specialization	postsynaptic specialization of symmetric synapse	Child-Parent
postsynaptic specialization of symmetric synapse	postsynaptic specialization of symmetric synapse, intracellular component	Child-Parent
postsynaptic specialization of symmetric synapse	postsynaptic specialization membrane of symmetric synapse	Child-Parent
postsynaptic specialization membrane of symmetric synapse	anchored component of postsynaptic specialization membrane of symmetric synapse	Child-Parent
postsynaptic specialization membrane of symmetric synapse	extrinsic component of postsynaptic specialization membrane of symmetric synapse	Child-Parent
postsynaptic specialization membrane of symmetric synapse	integral component of postsynaptic specialization membrane of symmetric synapse	Child-Parent
postsynapse	postsynaptic endocytic zone	Child-Parent
postsynaptic endocytic zone	postsynaptic endocytic zone cytoplasmic component	Child-Parent
postsynaptic endocytic zone	postsynaptic endocytic zone membrane	Child-Parent
postsynaptic endocytic zone membrane	anchored component of postynaptic endocytic zone membrane	Child-Parent
postsynaptic endocytic zone membrane	extrinsic component of postsynaptic endocytic zone	Child-Parent
postsynaptic endocytic zone membrane	integral component of postsynaptic endocytic zone membrane	Child-Parent
postsynapse	postsynaptic endosome	Child-Parent
postsynaptic endosome	postsynaptic endosome membrane	Child-Parent
postsynaptic endosome membrane	anchored component of postsynaptic endosome membrane	Child-Parent
postsynaptic endosome membrane	extrinsic component of postsynaptic endosome membrane	Child-Parent
postsynaptic endosome membrane	integral component of postsynaptic endosome membrane	Child-Parent
postsynaptic endosome	postsynaptic early endosome	Child-Parent
postsynaptic early endosome	postsynaptic early endosome membrane	Child-Parent
postsynaptic early endosome membrane	anchored component of postsynaptic early endosome membrane	Child-Parent
postsynaptic early endosome membrane	extrinsic component of postsynaptic early endosome membrane	Child-Parent
postsynaptic early endosome membrane	integral component of postsynaptic early endosome membrane	Child-Parent
postsynaptic endosome	postsynaptic recycling endosome	Child-Parent
postsynaptic recycling endosome	postsynaptic recycling endosome membrane	Child-Parent
postsynaptic recycling endosome membrane	anchored component of postsynaptic recycling endosome membrane	Child-Parent
postsynaptic recycling endosome membrane	extrinsic component of postsynaptic recycling endosome membrane	Child-Parent
postsynaptic recycling endosome membrane	integral component of postsynaptic recycling endosome membrane	Child-Parent
postsynapse	postsynaptic membrane	Child-Parent
postsynaptic membrane	anchored component of postsynaptic membrane	Child-Parent
postsynaptic membrane	extrinsic component of postsynaptic membrane	Child-Parent
postsynaptic membrane	integral component of postsynaptic membrane	Child-Parent
postsynapse	postsynaptic ribosome	Child-Parent
postsynapse	postsynaptic mitochondria	Child-Parent
postsynaptic mitochondria	postsynaptic mitochondrial matrix	Child-Parent
postsynaptic mitochondria	postsynaptic mitochondrial membrane	Child-Parent
postsynaptic mitochondrial membrane	integral component of postsynaptic mitochondrial membrane	Child-Parent
postsynapse	postsynaptic ER	Child-Parent
postsynaptic ER	postsynaptic ER lumen	Child-Parent
postsynaptic ER	postsynaptic ER membrane	Child-Parent
postsynaptic ER membrane	anchored component of postsynaptic ER membrane	Child-Parent
postsynaptic ER membrane	extrinsic component of postsynaptic ER membrane	Child-Parent
