,genes
0,AADACL1
1,AAK1
2,ABHD12
3,ABI1
4,ABI2
5,ABLIM1
6,ACSL1
7,ACSL3
8,ACTB
9,ACTG1
10,ACTN1
11,ACTR2
12,ACTR3
13,ADAM22
14,ADAM23
15,ADCY1
16,ADCY2
17,ADCY3
18,ADCY4
19,ADCY5
20,ADCY8
21,ADCY9
22,ADD1
23,ADD2
24,ADD3
25,ADORA1
26,ADORA2A
27,ADRA1A
28,ADRA2A
29,ADRB2
30,ADRB3
31,AGAP2
32,AGK
33,AGRN
34,AHSA1
35,ALCAM
36,ALG2
37,AMPH
38,ANK2
39,ANK3
40,ANXA1
41,ANXA11
42,ANXA2
43,ANXA5
44,ANXA6
45,ANXA7
46,AP1B1
47,AP1M1
48,AP1M2
49,AP2A1
50,AP2A2
51,AP2B1
52,AP2M1
53,AP2S1
54,AP3D1
55,AP3M2
56,AP3S2
57,APBA1
58,APBA2
59,APBA3
60,APH1A
61,APH1B
62,APOE
63,APP
64,APPBP2
65,AQP4
66,ARF4
67,ARFGAP1
68,ARFIP2
69,ARHGAP1
70,ARHGDIA
71,ARL6IP5
72,ARL8B
73,ARPC1A
74,ARPC3
75,ARPC4
76,ARPC5
77,ASTN1
78,ATCAY
79,ATM
80,ATP1A1
81,ATP1A2
82,ATP1A3
83,ATP1B1
84,ATP1B2
85,ATP2A2
86,ATP2B1
87,ATP2B2
88,ATP2B3
89,ATP2B4
90,ATP6AP1
91,ATP6V0A1
92,ATP6V0C
93,ATP6V0D1
94,ATP6V1A
95,ATP6V1B1
96,ATP6V1B2
97,ATP6V1C1
98,ATP6V1D
99,ATP6V1E1
100,ATP6V1F
101,ATP6V1G2
102,ATP6V1H
103,ATP8A1
104,AVP
105,BAI3
106,BAIAP2
107,BASP1
108,BCAN
109,BCAP31
110,BCAS1
111,BDNF
112,BEGAIN
113,BRSK1
114,BSG
115,BSN
116,BZRAP1
117,C10orf58
118,C1orf142
119,C1QBP
120,C2orf55
121,C6orf174
122,C9orf126
123,CA2
124,CACNA1A
125,CACNA1B
126,CACNA1C
127,CACNA1D
128,CACNA1E
129,CACNA1F
130,CACNA2D1
131,CACNA2D2
132,CACNA2D3
133,CACNA2D4
134,CACNB1
135,CACNB3
136,CACNB4
137,CACNG2
138,CACNG3
139,CACNG4
140,CACNG5
141,CACNG8
142,CADM1
143,CADM2
144,CADM4
145,CADPS
146,CALM1
147,CALM2
148,CALM3
149,CALML3
150,CALML4
151,CALR
152,CAMK1
153,CAMK1D
154,CAMK1G
155,CAMK2A
156,CAMK2B
157,CAMK2D
158,CAMK2G
159,CAMK2N1
160,CAMK4
161,CAND1
162,CANX
163,CAP1
164,CAP2
165,CAPN5
166,CAPZA2
167,CAPZB
168,CASK
169,CASKIN1
170,CASKIN2
171,CCK
172,CCT2
173,CCT3
174,CCT4
175,CCT6A
176,CCT7
177,CCT8
178,CD200
179,CD47
180,CDC42
181,CDH1
182,CDH10
183,CDH11
184,CDH12
185,CDH13
186,CDH15
187,CDH16
188,CDH18
189,CDH19
190,CDH2
191,CDH20
192,CDH22
193,CDH23
194,CDH26
195,CDH3
196,CDH4
197,CDH5
198,CDH6
199,CDH7
200,CDH8
201,CDH9
202,CEND1
203,CFL1
204,CHAT
205,CHGA
206,CHP
207,CHRM1
208,CHRM2
209,CHRNA4
210,CHRNA6
211,CHRNA7
212,CHRNB2
213,CIT
214,CKB
215,CLASP2
216,CLTC
217,CNKSR2
218,CNP
219,CNR1
220,CNR2
221,CNRIP1
222,CNTN1
223,CNTN2
224,CNTN3
225,CNTN4
226,CNTN5
227,CNTN6
228,CNTNAP1
229,CNTNAP2
230,CORO1A
231,CORO2B
232,COTL1
233,CPLX1
234,CPLX2
235,CPNE4
236,CPNE6
237,CRH
238,CRHBP
239,CRHR1
240,CRHR2
241,CRMP1
242,CRYM
243,CSNK2A1
244,CSNK2B
245,CSPG5
246,CSRP1
247,CST3
248,CTBP1
249,CTBP2
250,CTNNA1
251,CTNNA2
252,CTNNB1
253,CTNND1
254,CTNND2
255,CTTN
256,CYFIP1
257,DAPK1
258,DBC1
259,DBH
260,DBI
261,DBN1
262,DBNL
263,DCHS1
264,DCHS2
265,DCLK1
266,DCTN1
267,DCTN2
268,DDAH1
269,DIRAS2
270,DLG1
271,DLG2
272,DLG3
273,DLG4
274,DLGAP1
275,DLGAP2
276,DLGAP3
277,DLGAP4
278,DMXL2
279,DNAJA1
280,DNAJC11
281,DNAJC5
282,DNAJC6
283,DNM1
284,DNM1L
285,DNM2
286,DNM3
287,DOC2A
288,DOC2B
289,DOCK4
290,DPP6
291,DPYSL2
292,DPYSL3
293,DPYSL4
294,DPYSL5
295,DRD1
296,DRD2
297,DSTN
298,DVL1
299,DYNC1H1
300,DYNC1I1
301,DYNC2H1
302,DYNLL1
303,DYNLL2
304,DYNLT1
305,EEF1A1
306,EEF1A2
307,EEF2
308,EHD3
309,EIF4B
310,ENDOD1
311,ENO1
312,ENO2
313,ENSA
314,EPB41L1
315,EPB41L2
316,EPB41L3
317,EPHA4
318,ERBB2
319,ERBB2IP
320,ERC1
321,ERC2
322,EXOC1
323,EXOC2
324,EXOC3
325,EXOC4
326,EXOC5
327,EXOC6
328,EXOC7
329,EXOC8
330,EZR
331,FASN
332,FBXO41
333,FGF1
334,FKBP1A
335,FLJ45455
336,FLOT1
337,FLOT2
338,FRMPD4
339,FSCN1
340,GABARAPL2
341,GABBR1
342,GABBR2
343,GABRA1
344,GABRA2
345,GABRA3
346,GABRA4
347,GABRA5
348,GABRA6
349,GABRB1
350,GABRB2
351,GABRB3
352,GABRE
353,GABRG1
354,GABRG2
355,GANAB
356,GAP43
357,GAPDH
358,GAS7
359,GBAS
360,GDA
361,GDAP1
362,GDAP1L1
363,GDI1
364,GDI2
365,GIT1
366,GJA1
367,GK
368,GLO1
369,GLS
370,GNA11
371,GNA12
372,GNA13
373,GNA14
374,GNA15
375,GNAI1
376,GNAI2
377,GNAI3
378,GNAL
379,GNAO1
380,GNAQ
381,GNAS
382,GNAT1
383,GNAZ
384,GNB1
385,GNB2
386,GNB3
387,GNB4
388,GNB5
389,GNG10
390,GNG11
391,GNG12
392,GNG2
393,GNG3
394,GNG4
395,GNG5
396,GNG7
397,GOLSYN
398,GOT1
399,GPC1
400,GPD1
401,GPM6A
402,GPM6B
403,GPR158
404,GPRIN1
405,GRB2
406,GRIA1
407,GRIA2
408,GRIA3
409,GRIA4
410,GRIK1
411,GRIK2
412,GRIK3
413,GRIK4
414,GRIK5
415,GRIN1
416,GRIN2A
417,GRIN2B
418,GRIN2C
419,GRIN2D
420,GRM1
421,GRM3
422,GRM4
423,GRM5
424,GRM7
425,GRM8
426,GSK3B
427,GSTM3
428,GSTM5
429,GSTP1
430,GUCY1A2
431,GUCY1A3
432,GUCY1B3
433,HAPLN1
434,HAPLN4
435,HBA2
436,HBG1
437,HCN1
438,HINT1
439,HK1
440,HNT
441,HOMER1
442,HOMER3
443,HPCA
444,HPCAL1
445,HPCAL4
446,HRAS
447,HRB
448,HSD17B4
449,HSP90AA1
450,HSP90B1
451,HSPA12A
452,HSPA4
453,HSPA4L
454,HSPA5
455,HSPA8
456,HSPH1
457,HTR1A
458,HTR1B
459,HTR1D
460,HTR2A
461,HTR2B
462,HTR3A
463,HTR3B
464,HTR7
465,ICAM5
466,IDH1
467,IGSF8
468,INA
469,INPP4A
470,IQSEC1
471,IQSEC2
472,ITPKA
473,KCNA1
474,KCNA2
475,KCNA4
476,KCNAB1
477,KCNAB2
478,KCNC1
479,KCNC2
480,KCNC4
481,KCND2
482,KCNE1
483,KCNE1L
484,KCNE2
485,KCNE3
486,KCNE4
487,KCNJ10
488,KCNJ12
489,KCNJ15
490,KCNJ3
491,KCNJ4
492,KCNJ5
493,KCNJ6
494,KCNJ8
495,KCNJ9
496,KCNMA1
497,KCNMB1
498,KCNMB2
499,KCNMB4
500,KCTD12
501,KCTD16
502,KIAA0513
503,KIAA1045
504,KIAA1688
505,KIDINS220
506,KIF1A
507,KIF1B
508,KIF2A
509,KIF2B
510,KIF4A
511,KIF5B
512,KIF5C
513,KLC1
514,KLC2
515,KLC4
516,KPNB1
517,KRAS
518,KTN1
519,L1CAM
520,LAMP1
521,LAMP2
522,LANCL1
523,LANCL2
524,LASP1
525,LDHA
526,LGI1
527,LIN7A
528,LIN7B
529,LINGO1
530,LOC389813
531,LPHN1
532,LPPR4
533,LRP1
534,LRRC7
535,LRRTM1
536,LSAMP
537,LY6H
538,MACF1
539,MAL2
540,MAOA
541,MAOB
542,MAP1A
543,MAP1B
544,MAP2
545,MAP2K1
546,MAP6
547,MAPK1
548,MAPK3
549,MAPK8IP1
550,MAPK8IP2
551,MAPK8IP3
552,MAPRE3
553,MAPT
554,MARCKS
555,MARCKSL1
556,MBP
557,MDH1
558,MGLL
559,MGST3
560,MIF
561,MINK1
562,MOG
563,MOXD1
564,MPP2
565,MPP3
566,MPP4
567,MPP5
568,MPP6
569,MRAS
570,MYH10
571,MYH9
572,MYL6
573,MYL9
574,MYO5A
575,MYRIP
576,NAPA
577,NAPB
578,NAPG
579,NBEA
580,NCALD
581,NCAM1
582,NCAM2
583,NCAN
584,NCDN
585,NCKAP1
586,NCKIPSD
587,NCSTN
588,NDRG2
589,NEBL
590,NECAP1
591,NEDD8
592,NEFH
593,NEFL
594,NEFM
595,NEO1
596,NF1
597,NFASC
598,NIPSNAP1
599,NLGN1
600,NLGN2
601,NLGN3
602,NLGN4X
603,NME1
604,NME2
605,NPEPPS
606,NPTN
607,NPTX1
608,NPTXR
609,NPY
610,NRG1
611,NRG2
612,NRG3
613,NRG4
614,NRGN
615,NRXN1
616,NRXN2
617,NRXN3
618,NSF
619,NSFL1C
620,NT5DC3
621,NTRK2
622,NTS
623,NUMBL
624,OLFM1
625,OMG
626,OPCML
627,OPRD1
628,OPRK1
629,OPRM1
630,OTUB1
631,OXT
632,P2RX1
633,P2RX3
634,P2RX6
635,P2RX7
636,P2RY1
637,P2RY2
638,P4HB
639,PACS1
640,PACSIN1
641,PAFAH1B1
642,PAFAH1B2
643,PALM
644,PALM2
645,PCDH1
646,PCLO
647,PCP4
648,PCSK1
649,PCSK2
650,PDE2A
651,PDIA3
652,PDIA6
653,PDXP
654,PDYN
655,PEBP1
656,PENK
657,PFKL
658,PFKM
659,PFKP
660,PFN1
661,PFN2
662,PGAM1
663,PGK1
664,PGM2
665,PGRMC1
666,PHB
667,PHGDH
668,PHYHIP
669,PI4KA
670,PICALM
671,PICK1
672,PIP4K2B
673,PIP4K2C
674,PIP5K1C
675,PITPNA
676,PKP4
677,PLCB1
678,PLCB3
679,PLCB4
680,PLCG1
681,PLD1
682,PLEC1
683,PLP1
684,POR
685,PPAP2B
686,PPFIA1
687,PPFIA2
688,PPFIA3
689,PPFIA4
690,PPFIBP1
691,PPFIBP2
692,PPIA
693,PPIB
694,PPP1CB
695,PPP1R1B
696,PPP1R9B
697,PPP2CB
698,PPP2R1A
699,PPP2R4
700,PPP3CA
701,PPP3CB
702,PPP3CC
703,PPP3R1
704,PRDX1
705,PRDX2
706,PRICKLE2
707,PRKACA
708,PRKACB
709,PRKAR1A
710,PRKAR1B
711,PRKAR2A
712,PRKAR2B
713,PRKCA
714,PRKCB1
715,PRKCD
716,PRKCE
717,PRKCG
718,PRKCZ
719,PRNP
720,PRRT1
721,PRRT3
722,PSD3
723,PSEN1
724,PSEN2
725,PSENEN
726,PTPN9
727,PTPRA
728,PTPRG
729,PTPRN2
730,PTPRS
731,PURA
732,PVRL1
733,PYGB
734,QDPR
735,RAB10
736,RAB11B
737,RAB12
738,RAB14
739,RAB15
740,RAB18
741,RAB1A
742,RAB1B
743,RAB21
744,RAB24
745,RAB25
746,RAB26
747,RAB27B
748,RAB2A
749,RAB30
750,RAB31
751,RAB33A
752,RAB35
753,RAB3A
754,RAB3B
755,RAB3C
756,RAB3D
757,RAB3GAP1
758,RAB4A
759,RAB4B
760,RAB5A
761,RAB5B
762,RAB5C
763,RAB6A
764,RAB6B
765,RAB6IP1
766,RAB7A
767,RAB8A
768,RAB8B
769,RAB9B
770,RABAC1
771,RABEP1
772,RABEP2
773,RABGEF1
774,RABIF
775,RAC1
776,RALA
777,RAP1B
778,RAP1GDS1
779,RAP2A
780,RAP2B
781,RAPGEF4
782,RASAL1
783,RGS7
784,RHOA
785,RHOB
786,RIMBP2
787,RIMS1
788,RIMS2
789,RIMS3
790,ROBO1
791,ROBO2
792,ROCK1
793,ROCK2
794,RPH3A
795,RPH3AL
796,RPL10
797,RPL13
798,RPL29
799,RPL4
800,RPL6
801,RPS16
802,RPS18
803,RPS27A
804,RPS3A
805,RPS9
806,RRBP1
807,RTN1
808,RTN3
809,RTN4
810,RYR1
811,RYR2
812,RYR3
813,SACS
814,SAMM50
815,SBF1
816,SCAMP1
817,SCAMP2
818,SCAMP3
819,SCAMP5
820,SCCPDH
821,SCG2
822,SCG5
823,SCN1A
824,SCN1B
825,SCN2A
826,SCN2B
827,SCN3A
828,SCN3B
829,SCN4B
830,SCN5A
831,SCN8A
832,SCN9A
833,SCRN1
834,SEC22C
835,SEPT11
836,SEPT2
837,SEPT3
838,SEPT5
839,SEPT6
840,SEPT7
841,SEPT8
842,SEPT9
843,SH3GL2
844,SH3GLB1
845,SH3GLB2
846,SHANK2
847,SHANK3
848,SIRPA
849,SIRT2
850,SKP1
851,SLC12A5
852,SLC17A6
853,SLC17A7
854,SLC17A8
855,SLC18A1
856,SLC18A2
857,SLC18A3
858,SLC1A1
859,SLC1A2
