,genes
0,VAMP5
1,GAL
2,PLEKHM3
3,ITGA5
4,RP2
5,RAB2B
6,SCAMP2
7,TAF11
8,CD33
9,XYLT2
10,FUT3
11,SDC2
12,FZD9
13,CHST13
14,DCN
15,AP1S3
16,DAG1
17,DENND5A
18,PLK3
19,IFT20
20,SLC33A1
21,FUT2
22,ZDHHC23
23,TAPBPL
24,PDE9A
25,CLCN5
26,USP33
27,CNST
28,CLTC
29,YIPF5
30,F8
31,FUT11
32,FGFR3
33,TMED6
34,TRIM3
35,TRIM22
36,UBAC1
37,CLN3
38,TGOLN2
39,GORASP1
40,PKD2
41,DHCR24
42,HABP4
43,PRDM2
44,CSPG4
45,GPR143
46,EI24
47,NTSR1
48,AP1S2
49,SERINC3
50,PARP10
51,RAB31
52,GOPC
53,USE1
54,SOD3
55,PKHD1
56,CALU
57,VPS41
58,PTGFRN
59,RAB8A
60,RAB41
61,EXTL1
62,RRAS2
63,WDR77
64,PRKCI
65,STX4
66,SEC16B
67,SMAD6
68,TOM1L1
69,MYO6
70,TM9SF2
71,SLC35C2
72,ASAP2
73,PREPL
74,WNT3A
75,F2
76,ATP7A
77,ATP7B
78,TMED2
79,PI4K2A
80,NBEA
81,CAMK1G
82,CHEK2
83,RASIP1
84,SLC35G2
85,ZDHHC6
86,PODXL2
87,RAC1
88,KCNA5
89,ATF6
90,CTSC
91,ARSB
92,TNKS
93,CDH1
94,ASH1L
95,NOTCH2
96,OSBP
97,TRAPPC2L
98,VPS52
99,ST3GAL3
100,RBFOX1
101,BICD1
102,IFNGR2
103,BAIAP2
104,GALNT9
105,TPPP
106,FGD5
107,CAMKMT
108,RHEB
109,GABARAPL2
110,GBA2
111,CAV1
112,CHST7
113,AQP2
114,LGR6
115,PI4K2B
116,ZDHHC14
117,CAMSAP2
118,ENTPD4
119,AP3B1
120,CANT1
121,SREBF2
122,USO1
123,UBIAD1
124,ROCK1
125,YIPF4
126,HEPACAM2
127,RASGRP1
128,CD74
129,BICD2
130,OCRL
131,RND3
132,RHBDD2
133,FGD1
134,SEC14L1
135,SEMA6D
136,M6PR
137,SLC29A3
138,SULF2
139,TRAPPC1
140,ESR1
141,TM9SF4
142,FZD5
143,GGA1
144,LAP3
145,TBC1D5
146,PICALM
147,GALNT2
148,RAB10
149,CHSY1
150,CBY1
151,OSBPL11
152,MMP14
153,ATP2C1
154,ADAM10
155,CAT
156,CLEC18A
157,AP1B1
158,MAN2A2
159,STK25
160,UXS1
161,TDRD3
162,MAPRE1
163,RAB1A
164,TSC2
165,CNGA2
166,MMGT1
167,ATP11A
168,ATP8A2
169,F9
170,PCSK7
171,SEC24C
172,SYT1
173,TRAPPC11
174,PSKH1
175,WNT7B
176,SDC3
177,TLR6
178,HYAL2
179,ABCA7
180,BCL9
181,LST1
182,B4GALT3
183,ST6GALNAC6
184,MAN1A1
185,FMNL3
186,MMP16
187,AMFR
188,PLD3
189,RAB43
190,GCC2
191,CHPF2
192,FNDC3A
193,LMTK3
194,MANEAL
195,GIMAP1
196,SEC24A
197,TNFRSF10A
198,GOSR2
199,HERC1
200,PITPNB
201,RAB21
202,DBNL
203,ARFGAP2
204,PAX2
205,SLC2A1
206,PNRC2
207,TMED3
208,POFUT2
209,SH3GL2
210,ATR
211,SCYL1
212,GALNT10
213,NUCB2
214,ICA1L
215,BEND5
216,GDI2
217,A4GALT
218,VPS45
219,ATP11C
220,ZDHHC17
221,TMEM132A
222,STC2
223,MGAT5
224,ABCC5
225,FZD8
226,DUSP10
227,PRKAA2
228,AZIN2
229,CBFA2T3
230,B3GNT2
231,SEC13
232,CLU
233,NCAM1
234,PRKD2
235,RAB11FIP5
236,MSH6
237,MUC16
238,VAC14
239,WDR44
240,VAMP2
241,VAMP4
242,ERMAP
243,CTSZ
244,GALNT12
245,PYCARD
246,FAM20C
247,VPS33B
248,CYTH2
249,MBTPS1
250,SERPINA1
251,ALB
252,DAPK2
253,UNC45A
254,SEC23B
255,HOOK3
256,TBC1D14
257,LMF1
258,WNT1
259,GNPNAT1
260,HSPG2
261,KDR
262,ABCB6
263,RAB6B
264,GNAI3
265,DYSF
266,SEC23A
267,ST6GAL2
268,CHST1
269,CYTH1
270,TLR3
271,SLC2A4
272,STEAP2
273,CHST15
274,CHAC1
275,CRYAB
276,FGD3
277,GAK
278,PITPNM1
279,HLA-DQB1
280,GALNT7
281,GALNT4
282,FIG4
283,SULF1
284,AKAP8
285,FGFR2
286,COG6
287,GLG1
288,AVPR1B
289,LMAN2
290,CHID1
291,HRAS
292,SEC16A
293,ACO1
294,TRAPPC4
295,PTGES2
296,NDFIP2
297,PARM1
298,SNAPIN
299,UNC50
300,AP1AR
301,TRAPPC3L
302,TRAPPC8
303,DLG1
304,NFKBIE
305,GGA3
306,RAB27B
307,ARRB1
308,SYN1
309,SURF4
310,PLEKHA8
311,TMC6
312,PPHLN1
313,PIDD1
314,STX8
315,SYT4
316,LAPTM4A
317,ATP1A1
318,GBP1
319,TAPBP
320,STX16
321,CHP1
322,TRAPPC5
323,WHAMM
324,RPGR
325,VPS53
326,COPB1
327,DNMBP
328,ABCG1
329,RAB3B
330,ZDHHC13
331,TMEM115
332,NDST1
333,HACE1
334,TJAP1
335,ATAT1
336,STX6
337,SLC39A7
338,INPP5B
339,KLHL20
340,AIMP1
341,RHO
342,TVP23B
343,PSEN1
344,WWOX
345,DRAM2
346,PCSK5
347,TPTE2
348,GALNT1
349,HPD
350,NAA25
351,FURIN
352,APOO
353,AP3D1
354,SIPA1L3
355,CEPT1
356,SLC10A7
357,PACS1
358,TVP23C
359,ALKBH5
360,EXOC3
361,RAB12
362,SCAMP3
363,SDE2
364,ARL5A
365,XPR1
366,MAP2K2
367,SLC35B2
368,SGSM1
369,CAPN2
370,GALNT8
371,RAB18
372,CST3
373,TGFBI
374,NDST2
375,GAS6
376,RAF1
377,VAPA
378,STX12
379,B3GALNT1
380,SEC24B
381,GALT
382,MUC5B
383,MTTP
384,SLC30A5
385,LALBA
386,HS3ST1
387,MGAT4B
388,BLZF1
389,HS2ST1
390,ARHGAP32
391,GAS8
392,YIPF2
393,ESCO2
394,COG8
395,RAB2A
396,F5
397,GRB2
398,XYLT1
399,ATF6B
400,AP2A1
401,RER1
402,STRN3
403,GFRA1
404,SCAP
405,IL15
406,AGTRAP
407,IGFBP1
408,TMEM214
409,GCNT3
410,GPR89B
411,MAP2K1
412,ARFRP1
413,FASN
414,GCC1
415,SH3GLB1
416,WNT4
417,RUSC1
418,AP3M2
419,UNC13B
420,COG1
421,ST8SIA3
422,DENND4B
423,PDGFA
424,CLTB
425,GCNT1
426,SLC35B1
427,TRIP10
428,CUBN
429,APC2
430,ST6GAL1
431,RAB20
432,MME
433,KPNA2
434,MUC13
435,SYT11
436,BST2
437,PRKD1
438,UBXN2A
439,PDCD10
440,RGP1
441,B4GALNT2
442,FGD6
443,MGAT5B
444,CUX1
445,FGD4
446,RAB32
447,SVIP
448,FBXW7
449,IGF2R
450,TLR8
451,VPS54
452,PTGS1
453,SAR1B
454,GNAQ
455,HDAC5
456,YIPF1
457,VPS13A
458,ARHGAP21
459,RHOBTB3
460,WNT5A
461,MYO1B
462,ERGIC3
463,ZDHHC15
464,LRPAP1
465,SPP1
466,B4GALNT4
467,GALNT14
468,PLIN3
469,FAM20B
470,KIF20A
471,CHST14
472,NFE2L2
473,HLA-B
474,QSOX2
475,CHSY3
476,TNKS2
477,SREBF1
478,ERGIC2
479,STX18
480,GLIPR2
481,SLC35C1
482,B4GALT4
483,ZMYND8
484,SDC4
485,AP3S1
486,CAND1
487,POMGNT1
488,OPRM1
489,HSPD1
490,VCAM1
491,TICAM2
492,PPP6C
493,DDX54
494,AGPAT3
495,GALNT18
496,DNM1
497,PTCH1
498,GALNT3
499,NDFIP1
500,ARF6
501,GOLPH3
502,B3GALT1
503,LRP1
504,GRN
505,HLA-DRB1
506,COG3
507,GNPTG
508,ATP6V0A1
509,TMEM30A
510,TMEM87A
511,HCK
512,HS6ST2
513,SLC9A8
514,STMN4
515,RNF215
516,HUWE1
517,RAB14
518,PLEKHA3
519,DENND4C
520,CYTH4
521,LRP6
522,B3GALT6
523,SYBU
524,LPCAT2
525,EPHA4
526,NPC1
527,MLANA
528,RAB38
529,CLASP2
530,RAB6C
531,MPP5
532,BAIAP3
533,KCNJ6
534,MINK1
535,STX11
536,LDLR
537,G2E3
538,KDELR3
539,MPL
540,BCAN
541,GPR89A
542,SDF4
543,GOSR1
544,CYBA
545,PRKG1
546,SLC39A11
547,PIKFYVE
548,CD1E
549,SPRY1
550,PCSK6
551,OBSL1
552,COPG1
553,FUT8
554,CTLA4
555,YES1
556,PAK4
557,MAPK15
558,SCARA3
559,COPA
560,TBC1D23
561,SLC26A11
562,PIK3R1
563,GLA
564,CREB3L4
565,COL1A1
566,CLCC1
567,RPS12
568,ELF3
569,CHST6
570,HLA-F
571,AP4B1
572,TLR2
573,NLGN1
574,SLC9A7
575,AKAP9
576,SAR1A
577,SPG21
578,AP4M1
579,FYCO1
580,ATP9A
581,GBF1
582,ST6GALNAC4
583,GAL3ST4
584,ING2
585,TSNAX
586,MAPK1
587,NAPA
588,PDGFD
589,COL7A1
590,B4GALT5
591,STMN3
592,GLB1
593,GLYCTK
594,ADAM19
595,SERPINB9
596,GPSM1
597,PPP6R1
598,FGD2
599,ZNF622
600,LZTR1
601,FTCD
602,MAPKAP1
603,GPC6
604,NLRP2
605,LDLRAD4
606,CBL
607,DNM2
608,NCAN
609,CLINT1
610,RABEPK
611,USP32
612,UBXN2B
613,PSMG1
614,TRAPPC9
615,RTN3
616,GRIA1
617,EXT1
618,NOTCH4
619,SLC1A6
620,HS3ST3B1
621,MTOR
622,SCARB2
623,CUL3
624,SDC1
625,GALNT16
626,JAM3
627,GSAP
628,SMO
629,RIC3
630,SLC30A1
631,NEDD4L
632,MUC1
633,SLC35B4
634,ARF5
635,LLGL1
636,STX10
637,AP1G1
638,TRIM68
639,SPEF2
640,APH1A
641,GAD2
642,CD55
643,GLCE
644,ACSL3
645,ATP8B2
646,DYNC2H1
647,NMT2
648,B3GALT2
649,FAM91A1
650,TMEM230
651,PSEN2
652,HS3ST3A1
653,RAB37
654,B4GALNT1
655,YIPF6
656,PKN3
657,ST6GALNAC5
658,SACM1L
659,ARFIP1
660,MIF4GD
661,DCLRE1C
662,PDGFC
663,SRCAP
664,F2RL1
665,SCYL2
666,TFG
