,genes
0,ASL
1,PRRC2C
2,NAPA
3,EXOC8
4,RIPK2
5,ASGR2
6,CLDN7
7,ATG16L1
8,STON1
9,FAAH
10,CASD1
11,BTBD10
12,AQP5
13,SDK1
14,CASQ1
15,F2R
16,PARG
17,SLC37A3
18,LSS
19,GK2
20,OPHN1
21,SLC4A2
22,MAP2K1
23,TUBA8
24,YKT6
25,RLF
26,PPM1F
27,SH3GL2
28,SRSF4
29,SEMA6D
30,NUP54
31,NFKBIA
32,GH2
33,PRDX4
34,SOCS5
35,ZFYVE9
36,CDK2
37,NCR3LG1
38,RFPL4A
39,SENP2
40,HEPACAM2
41,MARK1
42,CADPS2
43,CD200R1L
44,SCARB1
45,STX3
46,AKAP1
47,POLR2I
48,EDC3
49,IER5
50,SOX10
51,NFRKB
52,MTFR1
53,BRDT
54,CMC1
55,SARS2
56,RNF17
57,RTP4
58,USP19
59,DEPDC7
60,STC2
61,USP17L2
62,MYL5
63,GPR89B
64,DICER1
65,USP5
66,RMND1
67,ZNF77
68,PSMA1
69,CTPS2
70,STRBP
71,TIMELESS
72,DGKE
73,ZNF692
74,CCND3
75,E2F6
76,CYP4A11
77,KLHL7
78,MARK2
79,LMO4
80,MRPL1
81,ZNF134
82,SLC16A6
83,LRIG1
84,ATP1A3
85,CNBP
86,PGM2
87,GSG1L
88,LTK
89,TMUB1
90,BDH1
91,CYP2A6
92,ZNF391
93,ZNF497
94,ALKBH2
95,DYNC1I1
96,CAV1
97,TNNC1
98,KCTD3
99,NKX3-1
100,KRT28
101,SLC38A2
102,RGS14
103,ABCG1
104,ZBTB41
105,ADAM9
106,SLC4A3
107,SMAP1
108,B4GALT3
109,DSC3
110,KCNK3
111,COLEC12
112,YIPF6
113,NUSAP1
114,SDC3
115,PPP1R13L
116,VPS53
117,ZBTB14
118,CLEC10A
119,GALK1
120,AGAP4
121,ARHGEF6
122,CXXC1
123,WDR43
124,ATP6V0D1
125,TFDP1
126,ZNF276
127,TBCCD1
128,RALGPS1
129,HMGN2
130,LETM2
131,TM9SF2
132,PLXNC1
133,SHC4
134,MBD5
135,ZBP1
136,RPL10L
137,MYL12A
138,GSTK1
139,ZEB2
140,MYLPF
141,DDX3X
142,KLC1
143,UGT3A2
144,COL18A1
145,SUDS3
146,KCTD16
147,HSBP1
148,EHD2
149,ATP13A2
150,DTNA
151,RPSA
152,SMC3
153,TNFRSF8
154,WNT1
155,DYRK2
156,LST1
157,UTF1
158,ZNF496
159,GLS2
