,Node1,Node2
0,DLG4,ABLIM1
1,DLG4,ABR
2,DLG4,ADAM22
3,DLG4,ANKS1
4,DLG4,ANKS1B
5,DLG4,ARC
6,DLG4,ARF3
7,DLG4,ARPC4
8,DLG4,BAIAP2
9,DLG4,BASP1
10,DLG4,BEGAIN
11,DLG4,BTBD11
12,DLG4,CACNG2
13,DLG4,CAMK2A
14,DLG4,CAMK2B
15,DLG4,CAMK2D
16,DLG4,CAND1
17,DLG4,CAPZA2
18,DLG4,CDK5
19,DLG4,CFL1
20,DLG4,CIT
21,DLG4,CLTC
22,DLG4,CLU
23,DLG4,CNP
24,DLG4,CNTN1
25,DLG4,CNTNAP1
26,DLG4,CYFIP1
27,DLG4,CYFIP2
28,DLG4,DIP2B
29,DLG4,DLG1
30,DLG4,DLG2
31,DLG4,DLG3
32,DLG4,DLGAP1
33,DLG4,DLGAP2
34,DLG4,DLGAP3
35,DLG4,DLGAP4
36,DLG4,DSTN
37,DLG4,EEF1A1
38,DLG4,ENO1
39,DLG4,FAM81A
40,DLG4,FRMPD3
41,DLG4,FSCN1
42,DLG4,GDA
43,DLG4,GDI1
44,DLG4,GDI2
45,DLG4,GLUL
46,DLG4,GNAI1
47,DLG4,GNAO1
48,DLG4,GNB1
49,DLG4,GPM6A
50,DLG4,GPR123
51,DLG4,GRIA1
52,DLG4,GRIA2
53,DLG4,GRIA3
54,DLG4,GRIA4
55,DLG4,GRIK2
56,DLG4,GRIK5
57,DLG4,GRIN1
58,DLG4,GRIN2A
59,DLG4,GRIN2B
60,DLG4,GRIN2D
61,DLG4,GRM3
62,DLG4,IQSEC1
63,DLG4,IQSEC2
64,DLG4,KALRN
65,DLG4,KCNA1
66,DLG4,KCNA2
67,DLG4,KCNA3
68,DLG4,KCNA4
69,DLG4,KCNAB1
70,DLG4,KCNAB2
71,DLG4,KCNJ10
72,DLG4,KCNJ16
73,DLG4,KCNJ4
74,DLG4,LGI1
75,DLG4,LRP1
76,DLG4,LRPPRC
77,DLG4,MACF1
78,DLG4,MAPK1
79,DLG4,NBEA
80,DLG4,NCAM1
81,DLG4,NCKAP1
82,DLG4,NEFL
83,DLG4,NETO1
84,DLG4,NLGN2
85,DLG4,NLGN3
86,DLG4,NRXN1
87,DLG4,NSF
88,DLG4,PARK7
89,DLG4,PDE2A
90,DLG4,PGAM5
91,DLG4,PHB2
92,DLG4,PLP1
93,DLG4,PPAP2B
94,DLG4,PPIA
95,DLG4,PPIB
96,DLG4,PPP1CA
97,DLG4,PPP1CB
98,DLG4,PPP2CB
99,DLG4,PPP3CA
100,DLG4,PPP3CB
101,DLG4,PRDX1
102,DLG4,PRDX2
103,DLG4,PRKACB
104,DLG4,PRKCB
105,DLG4,PRRT1
106,DLG4,RAB10
107,DLG4,RAB14
108,DLG4,RAB3B
109,DLG4,RAB3C
110,DLG4,RAC1
111,DLG4,RAP2B
112,DLG4,RASAL1
113,DLG4,ROCK2
114,DLG4,SEPT11
115,DLG4,SEPT5
116,DLG4,SFXN3
117,DLG4,SHANK1
118,DLG4,SHANK2
119,DLG4,SHANK3
120,DLG4,SLC1A2
121,DLG4,SPNB2
122,DLG4,SYNGAP1
123,DLG4,SYNJ1
124,DLG4,SYT1
125,DLG4,TRAF3
126,DLG4,TUBB2B
127,DLG4,TUBB6
128,DLG4,UBA1
129,DLG4,UBE2V1
130,DLG4,UBE2V2
131,DLG4,YWHAB
132,DLG4,YWHAE
133,DLG4,ABLIM1
134,DLG4,ADAM22
135,DLG4,ARGLU1
136,DLG4,ARHGEF26
137,DLG4,CAMK2D
138,DLG4,CNKSR3
139,DLG4,CNTN1
140,DLG4,CNTNAP1
141,DLG4,CTNNB1
142,DLG4,CYFIP1
143,DLG4,DBN1
144,DLG4,DCAF7
145,DLG4,DCX
146,DLG4,DLG1
147,DLG4,DLG2
148,DLG4,DLG3
149,DLG4,DLGAP2
150,DLG4,DLGAP3
151,DLG4,DLGAP4
152,DLG4,DLGAP5
153,DLG4,DPYSL2
154,DLG4,FMR1
155,DLG4,GRIN1
156,DLG4,GRIN2B
157,DLG4,GRIN2D
158,DLG4,INA
159,DLG4,IQSEC1
160,DLG4,IQSEC1
161,DLG4,KIF13B
162,DLG4,KIF2A
163,DLG4,KIF3A
164,DLG4,LRFN1
165,DLG4,MAPK1
166,DLG4,MPP2
167,DLG4,NBEA
168,DLG4,NEDD4L
169,DLG4,PRKACB
170,DLG4,TJAP1
171,DLG4,ABLIM1
172,DLG4,ADAM22
173,DLG4,AGAP2
174,DLG4,ANK3
175,DLG4,ANKS1
176,DLG4,ANKS1B
177,DLG4,ARC
178,DLG4,ARF3
179,DLG4,ARF5
180,DLG4,BAIAP2
181,DLG4,BASP1
182,DLG4,BEGAIN
183,DLG4,BTBD11
184,DLG4,CACNG2
185,DLG4,CAMK2A
186,DLG4,CAMK2B
187,DLG4,CAMK2D
188,DLG4,CAPZA2
189,DLG4,CDK5
190,DLG4,CIT
191,DLG4,CLTC
192,DLG4,CLU
193,DLG4,CNP
194,DLG4,CNTN1
195,DLG4,CNTNAP1
196,DLG4,CYFIP1
197,DLG4,CYFIP2
198,DLG4,DIP2B
199,DLG4,DLG1
200,DLG4,DLG2
201,DLG4,DLG3
202,DLG4,DLGAP1
203,DLG4,DLGAP2
204,DLG4,DLGAP3
205,DLG4,DLGAP4
206,DLG4,DSTN
207,DLG4,EEF1A1
208,DLG4,ENO1
209,DLG4,GDA
210,DLG4,GDI1
211,DLG4,GDI2
212,DLG4,GIT1
213,DLG4,GLUL
214,DLG4,GNAI1
215,DLG4,GNAO1
216,DLG4,GNB1
217,DLG4,GRIA1
218,DLG4,GRIA2
219,DLG4,GRIA3
220,DLG4,GRIK2
221,DLG4,GRIN1
222,DLG4,GRIN2A
223,DLG4,GRIN2B
224,DLG4,GRIN2D
225,DLG4,GRM3
226,DLG4,IQSEC1
227,DLG4,IQSEC2
228,DLG4,KALRN
229,DLG4,KCNA1
230,DLG4,KCNA3
231,DLG4,KCNA4
232,DLG4,KCNAB1
233,DLG4,KCNJ10
234,DLG4,KCNJ16
235,DLG4,KCNJ4
236,DLG4,LGI1
237,DLG4,LRP1
238,DLG4,LRPPRC
239,DLG4,MACF1
240,DLG4,MAPK1
241,DLG4,NBEA
242,DLG4,NCAM1
243,DLG4,NCKAP1
244,DLG4,NEFL
245,DLG4,NETO1
246,DLG4,NLGN2
247,DLG4,NLGN3
248,DLG4,NRXN1
249,DLG4,NSF
250,DLG4,PARK7
251,DLG4,PDE2A
252,DLG4,PGAM5
253,DLG4,PHB2
254,DLG4,PLP1
255,DLG4,PPAP2B
256,DLG4,PPIA
257,DLG4,PPIB
258,DLG4,PPP1CA
259,DLG4,PPP1CB
260,DLG4,PPP1R9B
261,DLG4,PPP3CA
262,DLG4,PPP3CB
263,DLG4,PRKACB
264,DLG4,PRKAR2B
265,DLG4,PRKCB
266,DLG4,PRKCE
267,DLG4,PRKCG
268,DLG4,PTK2
269,DLG4,RAB3B
270,DLG4,RAC1
271,DLG4,RAP2B
272,DLG4,RASAL1
273,DLG4,ROCK2
274,DLG4,SEPT2
275,DLG4,SFXN3
276,DLG4,SHANK1
277,DLG4,SHANK2
278,DLG4,SHANK3
279,DLG4,SORBS2
280,DLG4,SPNB2
281,DLG4,SYNE1
282,DLG4,SYNGAP1
283,DLG4,SYNJ1
284,DLG4,SYT1
285,DLG4,TRAF3
286,DLG4,TUBB2B
287,DLG4,TUBB6
288,DLG4,UBA1
289,DLG4,UBE2V1
290,DLG4,UBE2V2
291,DLG4,YWHAB
292,DLG4,YWHAE
293,DLG4,YWHAG
294,DLG4,ABLIM1
295,DLG4,ADAM22
296,DLG4,AGAP2
297,DLG4,ANK2
298,DLG4,ANK3
299,DLG4,ARF3
300,DLG4,ARF5
301,DLG4,ARHGAP32
302,DLG4,BAI3
303,DLG4,BAIAP2
304,DLG4,BEGAIN
305,DLG4,CAMK2A
306,DLG4,CAMK2B
307,DLG4,CAMK2D
308,DLG4,CAPZA2
309,DLG4,CIT
310,DLG4,CNTN1
311,DLG4,CNTNAP1
312,DLG4,CTNNB1
313,DLG4,CYFIP1
314,DLG4,CYFIP2
315,DLG4,DBN1
316,DLG4,DCX
317,DLG4,DIP2B
318,DLG4,DLG1
319,DLG4,DLG2
320,DLG4,DLG3
321,DLG4,DLGAP2
322,DLG4,DLGAP3
323,DLG4,DLGAP4
324,DLG4,DPYSL2
325,DLG4,DSTN
326,DLG4,GDA
327,DLG4,GIT1
328,DLG4,GNAO1
329,DLG4,GNB1
330,DLG4,GRIA2
331,DLG4,GRIA3
332,DLG4,GRIN1
333,DLG4,GRIN2B
334,DLG4,GRIN2D
335,DLG4,IQGAP2
336,DLG4,IQSEC1
337,DLG4,KCNJ1
338,DLG4,KCNJ4
339,DLG4,KIF2A
340,DLG4,KIF5A
341,DLG4,LGI1
342,DLG4,MACF1
343,DLG4,MAPK1
344,DLG4,NBEA
345,DLG4,NCAM1
346,DLG4,NCKAP1
347,DLG4,NEFH
348,DLG4,NEFL
349,DLG4,NLGN3
350,DLG4,NRXN1
351,DLG4,NSF
352,DLG4,PPIB
353,DLG4,PPP1CA
354,DLG4,PPP1CB
355,DLG4,PPP1R9B
356,DLG4,PPP3CA
357,DLG4,PPP3CB
358,DLG4,PRKACB
359,DLG4,PRKAR2B
360,DLG4,PRKCB
361,DLG4,PRKCE
362,DLG4,PRKCG
363,DLG4,PTK2
364,DLG4,RAC1
365,DLG4,RAP2B
366,DLG4,SHANK1
367,DLG4,SHANK2
368,DLG4,SORBS1
369,DLG4,SORBS2
370,DLG4,SYNE1
371,DLG4,SYNE2
372,DLG4,SYNGAP1
373,DLG4,SYNJ1
374,DLG4,YWHAB
375,DLG4,YWHAE
376,DLG4,YWHAG
377,DLG4,YWHAZ
378,DLGAP1,ABLIM1
379,DLGAP1,ADAM22
380,DLGAP1,AGAP2
381,DLGAP1,ARC
382,DLGAP1,ARF3
383,DLGAP1,ARF5
384,DLGAP1,ARHGAP32
385,DLGAP1,ARHGAP39
386,DLGAP1,ARVCF
387,DLGAP1,BAI2
388,DLGAP1,BAI3
389,DLGAP1,BAIAP2
