,genes
0,LAMC1
1,TNR
2,MYO5A
3,ANO1
4,FGA
5,PRKAR2A
6,PIN1
7,LZTS1
8,VPS33B
9,GRIA4
10,PCLO
11,JAK2
12,RPL10
13,DRP2
14,PPP3CA
15,CHRM3
16,GABRA6
17,CHRNA3
18,TIAM1
19,CACNA1A
20,RPL7
21,EPS8
22,PTPRT
23,SNCA
24,RPL27A
25,CLSTN3
26,GRIN2B
27,CACNA1E
28,SV2C
29,ATP6V0A4
30,SLC2A3
31,HNRNPH2
32,PARN
33,RAB7A
34,CACNA2D1
35,ITPKA
36,NETO1
37,GRM3
38,RPL35A
39,RPS25
40,DNAJB1
41,RAB3B
42,WASF2
43,NPY1R
44,PSEN1
45,FGB
46,ARHGEF9
47,RAB27B
48,ACTG1
49,C1QBP
50,STX1A
51,LRRC7
52,SPTAN1
53,SH3GL2
54,RPS11
55,ABHD17A
56,RPL36
57,PPFIA3
58,HOMER2
59,EPHA3
60,USP8
61,HNRNPA2B1
62,SNAP91
63,ARPC2
64,DGKI
65,RELA
66,DYNLL2
67,EIF4G1
68,CHRNA9
69,RAB18
70,NRGN
71,BIN1
72,ATP6V1F
73,GSG1L
74,PRKACA
75,PLD1
76,CADM3
77,GRIA2
78,RAB3A
79,GIPC1
80,SNCB
81,CDH1
82,RAB26
83,HNRNPM
84,RAB11B
85,DMXL2
86,RPL28
87,STX12
88,RPL13
89,GAD1
90,NR3C2
91,SV2A
92,RPL22
93,ZDHHC5
94,GRM4
95,RIMS1
96,ELAVL1
97,GDI2
98,DAGLA
99,DGCR8
100,DBNL
101,AKAP1
102,RPL36A
103,RTN4
104,TAOK2
105,PCDH8
106,ATP2B2
107,BCL11A
108,SLC18A1
109,CDH6
110,CLTC
111,AMPH
112,STXBP5L
113,STAT3
114,SLC29A1
115,LPAR2
116,PTK2B
117,GABBR1
118,PSEN2
119,EIF4E
120,DRD3
121,SLC6A4
122,RPL14
123,MYH10
124,RNF10
125,FZD9
126,NRXN1
127,PPFIA2
128,SCN2A
129,RPS26
130,ITSN1
131,ATP6V1H
132,HIP1R
133,SLC8A2
134,CAMK2A
135,PIP5K1C
136,SPTB
137,RPS15A
138,HPCA
139,DGKB
140,ELAVL2
141,ACTR2
142,FXR1
143,CAMK2B
144,DVL1
145,KCNJ11
146,CSPG5
147,STON2
148,NAPG
149,TANC2
150,TSC2
151,CLSTN1
152,DTNBP1
153,AP3D1
154,RIMBP2
155,RPS19
156,PUM1
157,VAMP4
158,UNC13B
159,ADRA2A
160,STX16
161,RPS2
162,SLITRK3
163,RPL30
164,SNAPIN
165,CANX
166,SLC2A4
167,SORCS3
168,KCNH1
169,SGTA
170,ALDOC
171,RPS23
172,ADD1
173,DLG1
174,DAPK1
175,CASKIN1
176,PENK
177,DOC2A
178,ARHGEF2
179,ADD2
180,RAB1A
181,NAPB
182,RPS6KC1
183,SLC6A9
184,ATP2B3
185,DVL3
186,ATP6AP1
187,STX4
188,ITGB1
189,NGDN
190,CYTH1
191,RPLP2
192,PPP2R1B
193,PABPC1
194,ANKS1B
195,SNX1
196,RPL7A
197,TPD52
198,DLGAP1
199,VCP
200,KALRN
201,PAK2
202,RGS7
203,CSNK2B
204,SRC
205,ARHGAP44
206,CNTNAP4
207,CPEB1
208,IL1RAPL1
209,PTPRN2
210,VCAN
211,CAMK4
212,NPTN
213,CTNND1
214,ACTC1
215,PAK3
216,MAGI3
217,RGS14
218,STXBP3
219,GRIN2D
220,SH3GLB2
221,LIN7A
222,RPL18
223,CNR1
224,RAB8A
225,ACTBL2
226,NUMB
227,ATP6V1C1
228,SCRIB
229,RPS5
230,RPLP0
231,GABRA5
232,CDKL5
233,EIF4G2
234,PHB
235,ITGB4
236,SYT5
237,RPS28
238,CDH9
239,VAMP2
240,ROR2
241,MARCKSL1
242,SLC3A2
243,SYT2
244,DGKQ
245,HOMER3
246,COMT
247,RPL26
248,EEF1A2
249,SV2B
250,KCNQ5
251,RAB8B
252,AGRN
253,LRRTM2
254,MTOR
255,APBA1
256,CPSF2
257,NRCAM
258,ARPC5L
259,YWHAG
260,CNTNAP1
261,NRG1
262,PTPRD
263,SGIP1
264,AAK1
265,SLC6A1
266,PPFIA4
267,SYNJ1
268,GRIN3A
269,RPL34
270,APOE
271,MARK2
272,DCC
273,ATP8A1
274,SLC6A3
275,ACTN2
276,RAB35
277,MPP2
278,TRIM9
279,ABI1
280,DPYSL3
281,TACC3
282,ABHD17B
283,CACNA1D
284,SYNE1
285,CAMKV
286,DLG5
287,GRIA3
288,GABRA4
289,DACT1
290,CACNA1H
291,SLC6A8
292,LRRC4B
293,ATP6V1G1
294,RPS15
295,SLC10A4
296,NTNG1
297,RPS17
298,EXOC4
299,CDK5
300,ITGA3
301,CAMK1
302,CNTN1
303,GABRA3
304,ADAM22
305,ANXA1
306,ADAM23
307,CACNB4
308,HTR7
309,CDH23
310,PPP2CA
311,SYNJ2
312,PCBP2
313,DAG1
314,PAK1
315,GABRB2
316,NTRK2
317,NAPA
318,ADCY8
319,MYO9A
320,KCNJ6
321,PFN2
322,ITGB3
323,GRID1
324,HNRNPAB
325,EPN1
326,ITPR3
327,HAP1
328,NSF
329,EFNB3
330,STXBP5
331,DROSHA
332,DBN1
333,SH3GL1
334,FRMPD4
335,SLC6A5
336,CACNG2
337,PTPRS
338,GLRA4
339,RPS6KB1
340,ABI2
341,SLC6A6
342,ATP6V0D1
343,RGS9
344,CRIPT
345,CRTC1
346,LRFN4
347,SNAP23
348,RAPSN
349,TANC1
350,RPL24
351,LPAR1
352,RAPGEF4
353,ADAM10
354,SLC32A1
355,OPRM1
356,YWHAE
357,ATP6V0C
358,STX2
359,CLCN3
360,SYT11
361,DLG4
362,FZD5
363,ATAD1
364,VAMP3
365,ARHGAP39
366,SYDE2
367,KCNC2
368,RPS20
369,ADD3
370,SLC16A1
371,RPL27
372,NCAN
373,FGG
374,KCNC1
375,AKR1A1
376,CLU
377,DLGAP4
378,PTPRA
379,CPLX2
380,SLC6A17
381,DNM1L
382,ARFGAP1
383,APH1A
384,RHEB
385,EIF5A
386,EIF4EBP1
387,OPRD1
388,SYT6
389,LZTS3
390,CTBP1
391,RPS7
392,RAB5A
393,RPL23
394,RPL37
395,EPS15
396,PTK2
397,PPP1R9A
398,NCS1
399,CRKL
400,KCNC4
401,INA
402,ATP6V1B2
403,PTPRO
404,GRIN3B
405,GABRB1
406,PACSIN1
407,PCDH17
408,ANXA5
409,SLC8A3
410,PPP1R1B
411,VAMP1
412,PICK1
413,CADPS2
414,AGAP3
415,DGKZ
416,P2RX6
417,YES1
418,DLG3
419,GABRA1
420,RHOA
421,RAB17
422,EEF1D
423,EPHA4
424,GIT1
425,RPH3A
426,HTR3A
427,STX6
428,DOCK10
429,ANO2
430,OLFM1
431,CADPS
432,RPL18A
433,LAMA5
434,LYN
435,SLC18A2
436,CACNA1B
437,CYFIP2
438,NOS1AP
439,STX3
440,PHB2
441,PTEN
442,FKBP1A
443,EEF2K
444,HTR2A
445,SEMA4B
446,ARHGDIA
447,MAP2K1
448,PRRT2
449,CDH2
450,PLEKHA5
451,GSK3B
452,TNC
453,CADM1
454,PUM2
455,ATP6V0A1
456,ARC
457,LRRC4
458,PRKCA
459,RPS24
460,CYTH2
461,FYN
462,P2RX1
463,SYN3
464,GPHN
465,SYP
466,RPS27A
467,VPS16
468,DMD
469,GRM7
470,KLHL17
471,SPTBN2
472,PFN1
473,RPL21
474,EPS15L1
475,RAB6A
476,GRM5
477,KCNAB2
478,SCN11A
479,GRID2
480,KCNMA1
481,RPL3
482,RPSA
483,RPL31
484,CORO1A
485,RPL10A
486,FILIP1
