Genes,Chromosome,Norm_Symbol
IGHV3-64,14,IGHV3-64
MORC4,X,MORC4
ILK,11,ILK
VIM,10,VIM
TEF,22,TEF
PHF23,17,PHF23
ITM2B,13,ITM2B
DNAJC21,5,DNAJC21
SLC39A13,11,SLC39A13
IGF2BP1,17,IGF2BP1
OR2J3,6,OR2J3
OR2T29,1,OR2T29
OR52B2,11,OR52B2
TRBV7-4,7,TRBV7-4
CPSF6,12,CPSF6
RIMBP2,12,RIMBP2
LMBR1L,12,LMBR1L
CAPN12,19,CAPN12
DCTPP1,16,DCTPP1
SLC25A37,8,SLC25A37
MALL,2,MALL
CAPN7,3,CAPN7
NHLRC3,13,NHLRC3
SLC16A12,10,SLC16A12
CDK11A,1,CDK11A
GZMA,5,GZMA
OR52K2,11,OR52K2
ALKBH7,19,ALKBH7
FANCI,15,FANCI
GALNT7,4,GALNT7
ACTR6,12,ACTR6
DDX3Y,Y,DDX3Y
ALS2CL,3,ALS2CL
CDT1,16,CDT1
NHEJ1,2,NHEJ1
TCF21,6,TCF21
KRT31,17,KRT31
GPR142,17,GPR142
TRAK2,2,TRAK2
COMMD4,15,COMMD4
ZNF74,22,ZNF74
VPS33A,12,VPS33A
LAMB2,3,LAMB2
TBX22,X,TBX22
OR2D2,11,OR2D2
CSRP3,11,CSRP3
COX6B2,19,COX6B2
DLL4,15,DLL4
SYBU,8,SYBU
KRTAP10-2,21,KRTAP10-2
NKIRAS1,3,NKIRAS1
ZBTB16,11,ZBTB16
MTRNR2L10,X,MTRNR2L10
SPATS2L,2,SPATS2L
LAMP3,3,LAMP3
SOCS3,17,SOCS3
PRSS56,2,PRSS56
B3GNT6,11,B3GNT6
PRPF4,9,PRPF4
ATP6AP1,X,ATP6AP1
CDK5RAP3,17,CDK5RAP3
IFT80,3,IFT80
SLC7A3,X,SLC7A3
GBE1,3,GBE1
CSRNP3,2,CSRNP3
IAPP,12,IAPP
NRIP2,12,NRIP2
PSMC1,14,PSMC1
CSNK1G3,5,CSNK1G3
JADE1,4,JADE1
TTC21B,2,TTC21B
TENM3,4,TENM3
AC124312.1,NAN,AC124312.1
ZNF350,19,ZNF350
CAP1,1,CAP1
UTP14C,13,UTP14C
TELO2,16,TELO2
FBXW7,4,FBXW7
HOXD3,2,HOXD3
SLC22A11,11,SLC22A11
NT5C1A,1,NT5C1A
YBEY,21,YBEY
BRINP2,1,BRINP2
IL37,2,IL37
ARHGEF10,8,ARHGEF10
SH3KBP1,X,SH3KBP1
HSPE1-MOB4,2,HSPE1-MOB4
TBX10,11,TBX10
LST1,6,LST1
PURA,5,PURA
CARD11,7,CARD11
SARM1,17,SARM1
DR1,1,DR1
NT5C1B,2,NT5C1B
PDPR,16,PDPR
TMEM237,2,TMEM237
SPATA6,1,SPATA6
AMD1,6,AMD1
GPER1,7,GPER1
OVOL3,19,OVOL3
GRIK2,6,GRIK2
OR2T8,1,OR2T8
ERN2,16,ERN2
THUMPD3,3,THUMPD3
UAP1,1,UAP1
ZNF534,19,ZNF534
GABRR2,6,GABRR2
APPL1,3,APPL1
CDCP1,3,CDCP1
ACADVL,17,ACADVL
PHOSPHO1,17,PHOSPHO1
DNAAF2,14,DNAAF2
BRF2,8,BRF2
FBXO38,5,FBXO38
HMGB3,X,HMGB3
KRTAP10-8,21,KRTAP10-8
POU4F3,5,POU4F3
SLC6A19,5,SLC6A19
NCBP1,9,NCBP1
TCEANC,X,TCEANC
PHF7,3,PHF7
RPP14,3,RPP14
ESF1,20,ESF1
TTLL4,2,TTLL4
ELK1,X,ELK1
DMBX1,1,DMBX1
DNAJB4,1,DNAJB4
FBXW4,10,FBXW4
OTOA,16,OTOA
NOC4L,12,NOC4L
MAATS1,3,MAATS1
OR4N4,15,OR4N4
TRAM1,8,TRAM1
ZNF382,19,ZNF382
HCRTR1,1,HCRTR1
DCST1,1,DCST1
TCERG1,5,TCERG1
FCRL6,1,FCRL6
B9D1,17,B9D1
LIG1,19,LIG1
NUP188,9,NUP188
FAM83D,20,FAM83D
TM7SF2,11,TM7SF2
UBE2O,17,UBE2O
ASB8,12,ASB8
EMP1,12,EMP1
OR1Q1,9,OR1Q1
CRYGC,2,CRYGC
VPS28,8,VPS28
MOCS2,5,MOCS2
AL359922.1,NAN,AL359922.1
NSDHL,X,NSDHL
CNTN3,3,CNTN3
GSTM2,1,GSTM2
ZNF680,7,ZNF680
ELF4,X,ELF4
ITGA4,2,ITGA4
GUCA1B,6,GUCA1B
MFHAS1,8,MFHAS1
PKD1L1,7,PKD1L1
POR,7,POR
GDPD1,17,GDPD1
TRBV6-5,7,TRBV6-5
GAS2,11,GAS2
SLC6A11,3,SLC6A11
PIGS,17,PIGS
CCND1,11,CCND1
RTTN,18,RTTN
PCDHGC3,5,PCDHGC3
AHCYL1,1,AHCYL1
ADAM30,1,ADAM30
TIGD2,4,TIGD2
C1orf198,1,C1orf198
MYBL1,8,MYBL1
KLF13,15,KLF13
HNRNPM,19,HNRNPM
PDE6D,2,PDE6D
ZNF296,19,ZNF296
MLF2,12,MLF2
KDM2A,11,KDM2A
OR4F21,8,OR4F21
APLP1,19,APLP1
ABCC6,16,ABCC6
RELL2,5,RELL2
CABIN1,22,CABIN1
TRIO,5,TRIO
MUC17,7,MUC17
SERPINB12,18,SERPINB12
CHID1,11,CHID1
PCDHGA6,5,PCDHGA6
ANKRD6,6,ANKRD6
