Genes,Average_GC,Norm_Symbol
DYTN,38.44,DYTN
CD79A,59.02,CD79A
BORA,36.79,BORA
OR4F21,45.63,OR4F21
CYP51A1,38.25,CYP51A1
GPR89B,39.86,GPR89B
RBM48,40.17,RBM48
CYP2D6,62.70800000000001,CYP2D6
LRRC29,53.46,LRRC29
COPG1,48.18,COPG1
LYPD6,39.87,LYPD6
POMT1,53.31000000000001,POMT1
SDHD,41.76,SDHD
RHCG,52.18,RHCG
OR2A4,45.22,OR2A4
IQCA1,42.77,IQCA1
UBXN10,47.2,UBXN10
CT476828.14,73.35,CT476828.14
INTS8,40.21,INTS8
PC,51.93999999999999,PC
CLCN5,39.57,CLCN5
MKRN2,45.07,MKRN2
SLC22A7,53.71,SLC22A7
DEPDC1,34.94,DEPDC1
EPHX2,47.540000000000006,EPHX2
HLA-DPB1,48.01999999999998,HLA-DPB1
MOBP,40.07,MOBP
POU1F1,32.39,POU1F1
SLC2A6,61.25,SLC2A6
DCTN1,49.96,DCTN1
C8orf34,36.7,C8orf34
DRG2,53.56,DRG2
CCDC154,63.98,CCDC154
PHF12,46.18,PHF12
POLR3F,40.36,POLR3F
CHRM2,37.16,CHRM2
PTBP1,61.16999999999999,PTBP1
ZMYND10,58.49,ZMYND10
RUNX1,41.54,RUNX1
SLC6A8,65.01,SLC6A8
SYT16,39.31,SYT16
TRIP11,37.97,TRIP11
CDKL3,40.16,CDKL3
C4A,52.2875,C4A
ARMT1,39.28,ARMT1
GABRR1,43.42,GABRR1
HSPD1,42.79,HSPD1
PTPRF,55.69,PTPRF
CLEC12A,39.56,CLEC12A
TRPV2,53.24,TRPV2
POGLUT1,41.15,POGLUT1
CAVIN1,52.49,CAVIN1
PAIP2B,40.16,PAIP2B
NECAB1,37.01,NECAB1
VPS8,38.45,VPS8
STK16,53.11999999999999,STK16
AP003419.1,56.56,AP003419.1
CDX2,55.71,CDX2
CENPA,48.97,CENPA
THEGL,40.67,THEGL
AC009070.1,41.43,AC009070.1
PLD2,54.15,PLD2
B3GNT7,62.73,B3GNT7
SMUG1,50.76,SMUG1
TTC9B,63.92,TTC9B
UFSP2,38.42,UFSP2
AC025283.2,45.34,AC025283.2
CCNG1,37.5,CCNG1
CLEC4A,41.21,CLEC4A
SCN3A,35.07,SCN3A
TICAM2,38.26,TICAM2
DESI2,40.31,DESI2
TERF1,36.98,TERF1
DDR1,55.635905511811025,DDR1
MT-ATP6,44.2,MT-ATP6
SNX13,35.09,SNX13
BOK,58.28,BOK
AL159163.1,45.36,AL159163.1
WDR48,39.95,WDR48
HIGD2B,43.96,HIGD2B
TGDS,36.97,TGDS
LHFPL4,46.69,LHFPL4
AAMP,56.53,AAMP
ZMYND12,42.82,ZMYND12
ZNF506,40.49,ZNF506
SERPINB9,43.78,SERPINB9
NAALAD2,34.980000000000004,NAALAD2
AC080038.1,52.16,AC080038.1
STAT2,47.76,STAT2
AC068580.4,58.87,AC068580.4
LRCH4,60.34,LRCH4
SPIRE1,40.66,SPIRE1
KIDINS220,38.38999999999999,KIDINS220
ENGASE,58.4,ENGASE
TPGS1,61.72,TPGS1
GLI3,41.71,GLI3
PRRC2C,38.3,PRRC2C
USP17L4,51.195,USP17L4
MT-CO1,46.24,MT-CO1
SVIP,36.62,SVIP
HPCAL4,52.5,HPCAL4
LNP1,39.21,LNP1
SALL1,44.46,SALL1
CLEC10A,53.21,CLEC10A
NRL,49.83000000000001,NRL
AURKA,42.92999999999999,AURKA
DHPS,54.72,DHPS
HIF3A,50.2,HIF3A
IL21,36.97,IL21
RABGAP1L,37.91,RABGAP1L
ZNF85,37.87,ZNF85
LPAR3,41.6,LPAR3
PHACTR2,40.02,PHACTR2
ZNF57,46.27,ZNF57
IRF2,45.42000000000001,IRF2
ARHGEF18,51.44,ARHGEF18
ESYT2,43.39,ESYT2
KIFAP3,34.27,KIFAP3
METTL4,36.78,METTL4
RPL39L,41.84,RPL39L
SPINT1,53.63,SPINT1
KIAA1147,43.52,KIAA1147
TK1,53.19,TK1
TPCN2,56.48,TPCN2
PSD4,51.01,PSD4
AC270285.6,53.05,AC270285.6
BEND3,47.45,BEND3
GPR85,38.41,GPR85
CIDEA,49.14,CIDEA
CHN1,37.22000000000001,CHN1
SLC4A8,42.72,SLC4A8
HELZ,38.17,HELZ
SPOCK1,42.8,SPOCK1
MAP1LC3C,49.02,MAP1LC3C
FUT2,51.56,FUT2
FAM153B,45.36000000000001,FAM153B
VSIG2,53.76,VSIG2
MTMR2,36.56,MTMR2
MGAT2,47.6,MGAT2
COL14A1,38.77,COL14A1
CHP2,52.48,CHP2
REEP1,46.05,REEP1
NAV3,35.89,NAV3
FGF8,60.26000000000001,FGF8
GU182357.5,48.11,GU182357.5
PCDHA5,40.23,PCDHA5
PRR20E,49.77,PRR20E
TMEM147,58.54,TMEM147
KALRN,42.68,KALRN
MALT1,38.93,MALT1
AWAT1,48.7,AWAT1
ZNF738,40.08,ZNF738
TCHH,51.46,TCHH
OR2G6,38.23,OR2G6
KBTBD8,36.69,KBTBD8
KIAA1324L,37.29,KIAA1324L
COPS7A,50.43,COPS7A
TMEM184A,62.84000000000001,TMEM184A
RPS9,51.205588235294115,RPS9
POLR2J3,49.79,POLR2J3
SETD5,39.13,SETD5
PMCH,32.95,PMCH
ATE1,39.1,ATE1
MSH6,44.64999999999999,MSH6
GAD1,45.82,GAD1
TAS2R4,41.46,TAS2R4
SMYD3,40.6,SMYD3
HOXA5,53.38,HOXA5
SULT2A1,46.68,SULT2A1
AMH,71.68,AMH
LAMTOR2,50.94,LAMTOR2
RPS14,48.3,RPS14
LDAH,38.21,LDAH
SSU72P8,48.72,SSU72P8
RFWD3,43.53,RFWD3
ADAMTS5,38.46,ADAMTS5
ATP6V0A4,45.87,ATP6V0A4
PDHB,43.56,PDHB
PRKCA,43.87,PRKCA
PRKAG1,45.22000000000001,PRKAG1
ADARB1,45.43,ADARB1
DHDH,52.54,DHDH
FCGR2B,47.24,FCGR2B
LRP5,54.62,LRP5
FTCDNL1,40.08,FTCDNL1
OR7G1,45.51,OR7G1
ZNF783,51.5,ZNF783
PARP6,43.94,PARP6
KSR1,49.31,KSR1
FLOT2,54.43,FLOT2
PRPF38A,41.36,PRPF38A
NPB,65.62,NPB
UPK1B,41.88,UPK1B
UVSSA,56.55,UVSSA
SCNN1G,47.5,SCNN1G
USP12,38.81,USP12
ZNF484,39.07,ZNF484
ZNF430,39.98,ZNF430
MEA1,54.79,MEA1
ZFP90,44.63999999999999,ZFP90
HK3,54.27,HK3
BET1,35.67,BET1
SLC5A1,43.23,SLC5A1
TMEM217,43.72000000000001,TMEM217
SH3D19,40.79,SH3D19
HIST2H2AB,57.17,HIST2H2AB
CBLL2,42.07,CBLL2
AC104452.1,53.4,AC104452.1
ADAM21,39.74,ADAM21
IVNS1ABP,37.25,IVNS1ABP
EI24,43.38,EI24
WDR6,56.28,WDR6
SLC31A1,41.29,SLC31A1
FBXO42,43.85999999999999,FBXO42
HBB,37.64,HBB
LILRB2,57.66423076923078,LILRB2
CIAO3,60.84000000000001,CIAO3
EFCAB6,42.97,EFCAB6
PPAN,58.5,PPAN
TBCD,53.79900000000002,TBCD
CST6,61.28,CST6
LRRC3C,56.27,LRRC3C
CCDC51,51.92000000000001,CCDC51
OR2H1,41.35875,OR2H1
FAM81A,42.37,FAM81A
KRTAP10-7,63.43,KRTAP10-7
GJA10,43.01,GJA10
VAMP7,38.75,VAMP7
SENP8,40.36,SENP8
CARD9,64.46,CARD9
OR8G1,34.26,OR8G1
CNFN,58.25,CNFN
OLR1,38.78,OLR1
COG3,39.14,COG3
ANXA11,50.38999999999999,ANXA11
FLT1,41.61,FLT1
C16orf96,50.9,C16orf96
IL36G,43.28,IL36G
NRG2,46.42000000000001,NRG2
TOMM6,50.87,TOMM6
TBCC,54.33,TBCC
BAG5,46.41,BAG5
SETBP1,42.22,SETBP1
ATP1A2,50.38,ATP1A2
GLYATL3,39.08,GLYATL3
DAZL,39.13,DAZL
ZNF684,40.31,ZNF684
PRSS2,49.60000000000001,PRSS2
FCRL1,41.03,FCRL1
PIK3CG,39.23,PIK3CG
ODF4,47.29,ODF4
SGSM3,47.84,SGSM3
HEXIM2,53.43,HEXIM2
NFYC,42.65,NFYC
BCL2,42.74,BCL2
GRB14,37.18,GRB14
