Entry,Entry name,Status,Protein names,Gene names,Organism,Length,Features,Annotation
Q7Z769,S35E3_HUMAN,reviewed,Solute carrier family 35 member E3 (Bladder cancer-overexpressed gene 1 protein),SLC35E3 BLOV1 UNQ3043/PRO9859,Homo sapiens (Human),313,Chain (1); Compositional bias (1); Frameshift (1); Sequence conflict (3); Transmembrane (9),5 out of 5
Q12981,SEC20_HUMAN,reviewed,Vesicle transport protein SEC20 (BCL2/adenovirus E1B 19 kDa protein-interacting protein 1) (Transformation-related gene 8 protein) (TRG-8),BNIP1 NIP1 SEC20L TRG8,Homo sapiens (Human),228,Alternative sequence (2); Chain (1); Coiled coil (1); Mutagenesis (1); Natural variant (1); Sequence conflict (4); Topological domain (2); Transmembrane (1),5 out of 5
B4DS77,SHSA9_HUMAN,reviewed,Protein shisa-9,SHISA9,Homo sapiens (Human),424,Alternative sequence (3); Chain (1); Glycosylation (3); Signal peptide (1); Topological domain (2); Transmembrane (1),4 out of 5
Q96IW7,SC22A_HUMAN,reviewed,Vesicle-trafficking protein SEC22a (SEC22 vesicle-trafficking protein homolog A) (SEC22 vesicle-trafficking protein-like 2),SEC22A SEC22L2,Homo sapiens (Human),307,Chain (1); Domain (1); Frameshift (1); Initiator methionine (1); Modified residue (3); Sequence conflict (4); Topological domain (5); Transmembrane (4),5 out of 5
Q8WWX8,SC5AB_HUMAN,reviewed,Sodium/myo-inositol cotransporter 2 (Na(+)/myo-inositol cotransporter 2) (Sodium-dependent glucose cotransporter) (Sodium/glucose cotransporter KST1) (Sodium/myo-inositol transporter 2) (SMIT2) (Solute carrier family 5 member 11),SLC5A11 KST1 SLGTX SMIT2,Homo sapiens (Human),675,Alternative sequence (6); Chain (1); Natural variant (6); Sequence conflict (3); Topological domain (14); Transmembrane (14),5 out of 5
P51170,SCNNG_HUMAN,reviewed,Amiloride-sensitive sodium channel subunit gamma (Epithelial Na(+) channel subunit gamma) (ENaCG) (Gamma-ENaC) (Gamma-NaCH) (Nonvoltage-gated sodium channel 1 subunit gamma) (SCNEG),SCNN1G,Homo sapiens (Human),649,Chain (1); Glycosylation (2); Natural variant (8); Sequence conflict (6); Topological domain (3); Transmembrane (2),5 out of 5
Q01118,SCN7A_HUMAN,reviewed,Sodium channel protein type 7 subunit alpha (Putative voltage-gated sodium channel subunit alpha Nax) (Sodium channel protein cardiac and skeletal muscle subunit alpha) (Sodium channel protein type VII subunit alpha),SCN7A SCN6A,Homo sapiens (Human),1682,Chain (1); Disulfide bond (2); Glycosylation (5); Intramembrane (4); Modified residue (5); Natural variant (8); Repeat (4); Sequence conflict (1); Topological domain (29); Transmembrane (24),5 out of 5
Q96PX8,SLIK1_HUMAN,reviewed,SLIT and NTRK-like protein 1 (Leucine-rich repeat-containing protein 12),SLITRK1 KIAA1910 LRRC12 UNQ233/PRO266,Homo sapiens (Human),696,Beta strand (23); Chain (1); Domain (4); Erroneous initiation (1); Helix (13); Modified residue (1); Mutagenesis (3); Natural variant (5); Repeat (12); Signal peptide (1); Topological domain (2); Transmembrane (1); Turn (10),5 out of 5
P61647,SIA8F_HUMAN,reviewed,"Alpha-2,8-sialyltransferase 8F (EC 2.4.99.-) (Sialyltransferase 8F) (SIAT8-F) (Sialyltransferase St8Sia VI) (ST8SiaVI)",ST8SIA6 SIAT8F,Homo sapiens (Human),398,Active site (1); Binding site (1); Chain (1); Disulfide bond (2); Glycosylation (4); Region (2); Topological domain (2); Transmembrane (1),5 out of 5
Q9C0H2,TTYH3_HUMAN,reviewed,Protein tweety homolog 3 (hTTY3),TTYH3 KIAA1691,Homo sapiens (Human),523,Alternative sequence (3); Chain (1); Erroneous gene model prediction (1); Erroneous initiation (1); Glycosylation (3); Modified residue (3); Mutagenesis (5); Sequence conflict (3); Topological domain (6); Transmembrane (5),5 out of 5
O15400,STX7_HUMAN,reviewed,Syntaxin-7,STX7,Homo sapiens (Human),261,Alternative sequence (1); Chain (1); Coiled coil (1); Domain (1); Initiator methionine (1); Modified residue (9); Sequence conflict (1); Topological domain (2); Transmembrane (1),5 out of 5
Q96DZ7,T4S19_HUMAN,reviewed,Transmembrane 4 L6 family member 19 (Osteoclast maturation-associated gene 4 protein) (Tetraspan membrane protein OCTM4),TM4SF19 OCTM4,Homo sapiens (Human),209,Alternative sequence (1); Chain (1); Glycosylation (1); Natural variant (2); Topological domain (5); Transmembrane (4),5 out of 5
Q9NYW3,TA2R7_HUMAN,reviewed,Taste receptor type 2 member 7 (T2R7) (Taste receptor family B member 4) (TRB4),TAS2R7,Homo sapiens (Human),318,Chain (1); Glycosylation (2); Natural variant (3); Topological domain (8); Transmembrane (7),4 out of 5
Q8IXX5,T183A_HUMAN,reviewed,Transmembrane protein 183A,TMEM183A C1orf37,Homo sapiens (Human),376,Alternative sequence (1); Chain (1); Natural variant (2); Sequence conflict (1); Transmembrane (1),2 out of 5
Q8IY95,TM192_HUMAN,reviewed,Transmembrane protein 192,TMEM192,Homo sapiens (Human),271,Alternative sequence (1); Chain (1); Erroneous initiation (1); Modified residue (6); Sequence conflict (3); Topological domain (5); Transmembrane (4),5 out of 5
Q969S6,TM203_HUMAN,reviewed,Transmembrane protein 203,TMEM203,Homo sapiens (Human),136,Chain (1); Sequence conflict (1); Transmembrane (4),5 out of 5
Q9BSN7,TM204_HUMAN,reviewed,Transmembrane protein 204 (Claudin-like protein 24),TMEM204 C16orf30 CLP24 UNQ6509/PRO21434,Homo sapiens (Human),226,Chain (1); Frameshift (1); Glycosylation (1); Natural variant (1); Topological domain (5); Transmembrane (4),4 out of 5
P56557,TM50B_HUMAN,reviewed,Transmembrane protein 50B (HCV p7-trans-regulated protein 3),TMEM50B C21orf4 UNQ167/PRO193,Homo sapiens (Human),158,Chain (1); Initiator methionine (1); Modified residue (1); Transmembrane (4),5 out of 5
A0A1B0GVZ9,TM269_HUMAN,reviewed,Transmembrane protein 269,TMEM269,Homo sapiens (Human),245,Chain (1); Transmembrane (5),1 out of 5
Q9NRS4,TMPS4_HUMAN,reviewed,Transmembrane protease serine 4 (EC 3.4.21.-) (Channel-activating protease 2) (CAPH2) (Membrane-type serine protease 2) (MT-SP2) [Cleaved into: Transmembrane protease serine 4 catalytic chain],TMPRSS4 TMPRSS3 UNQ776/PRO1570,Homo sapiens (Human),437,Active site (3); Alternative sequence (3); Chain (2); Disulfide bond (8); Domain (3); Frameshift (1); Glycosylation (2); Mutagenesis (2); Natural variant (3); Sequence conflict (1); Site (1); Topological domain (2); Transmembrane (1),5 out of 5
Q9BXS4,TMM59_HUMAN,reviewed,Transmembrane protein 59 (Liver membrane-bound protein),TMEM59 C1orf8 HSPC001 UNQ169/PRO195,Homo sapiens (Human),323,Chain (1); Erroneous initiation (1); Frameshift (1); Glycosylation (1); Modified residue (1); Motif (1); Mutagenesis (9); Natural variant (1); Sequence conflict (1); Signal peptide (1); Topological domain (2); Transmembrane (1),5 out of 5
