Genes,Protein_Mass (Daltons),Norm_Symbol
BARHL1,35074,BARHL1
PCDHGC3,101077,PCDHGC3
DPPA4,33541,DPPA4
FAM227A,66188,FAM227A
KRT84,64842,KRT84
ALG3,50126,ALG3
MATN2,106837,MATN2
MEGF11,110844,MEGF11
ADAR,136066,ADAR
ORM1,23512,ORM1
DDAH1,31122,DDAH1
PINX1,37035,PINX1
ARFRP1,22614,ARFRP1
CENPA,15991,CENPA
UROS,28628,UROS
CRHR1,50719,CRHR1
FBXO48,18241,FBXO48
ZRANB1,80967,ZRANB1
OSBPL8,101196,OSBPL8
OR56B4,35454,OR56B4
ZNF280C,83096,ZNF280C
RIPPLY3,20368,RIPPLY3
OR51I2,35002,OR51I2
NQO1,30868,NQO1
TCEAL3,22502,TCEAL3
MYADML2,32967,MYADML2
IGHA2,36591,IGHA2
DND1,38687,DND1
KIAA0355,116020,KIAA0355
GLIS2,55689,GLIS2
ABCF3,79745,ABCF3
FSCN1,54530,FSCN1
MGP,12353,MGP
SLX4IP,45552,SLX4IP
SLC39A4,68408,SLC39A4
TRAV9-2,12289,TRAV9-2
KLB,119808,KLB
SH3BGRL,12774,SH3BGRL
CLDN15,24356,CLDN15
STEAP4,51981,STEAP4
LRCH4,73450,LRCH4
HSP90AA1,84660,HSP90AA1
OR2AJ1,37063,OR2AJ1
TREML2,35127,TREML2
DVL3,78055,DVL3
CAB39L,39088,CAB39L
ATP5S,24866,ATP5S
KHDC3L,24306,KHDC3L
TBC1D3,62187,TBC1D3
FLCN,64473,FLCN
GCM1,49268,GCM1
FGGY,59993,FGGY
TGFBI,74681,TGFBI
NAGPA,56073,NAGPA
KCNK2,47093,KCNK2
SLC35A3,35985,SLC35A3
CAPRIN1,78366,CAPRIN1
MINDY2,67106,MINDY2
ROCK1,158175,ROCK1
DEFB135,8754,DEFB135
PAX4,37833,PAX4
C2CD4A,39744,C2CD4A
PFAS,144734,PFAS
IGKV1D-33,12848,IGKV1D-33
OTUD1,51063,OTUD1
IGLV5-52,13446,IGLV5-52
PFN3,14596,PFN3
ZNF25,53545,ZNF25
ZBTB8A,50141,ZBTB8A
IFITM2,14632,IFITM2
SLC39A13,39011,SLC39A13
C1orf35,29412,C1orf35
RPL10L,24519,RPL10L
TARS2,81036,TARS2
MAPK6,82681,MAPK6
NNT,113896,NNT
OSMR,110509,OSMR
PSMA4,29484,PSMA4
PRR19,38716,PRR19
SIAH3,30660,SIAH3
CCR7,42874,CCR7
TRMT2A,68726,TRMT2A
MT-ND4L,10741,MT-ND4L
ZBTB11,119384,ZBTB11
MBLAC2,31372,MBLAC2
RNF186,24145,RNF186
ZFP82,62578,ZFP82
LRRC42,48571,LRRC42
LILRB2,65039,LILRB2
MUC12,558164,MUC12
PTBP1,57221,PTBP1
PYHIN1,55065,PYHIN1
ZNF350,60011,ZNF350
ATP6V0A2,98082,ATP6V0A2
GPRC5D,38791,GPRC5D
AMOTL1,106574,AMOTL1
DCAF8L1,67373,DCAF8L1
KCNN4,47696,KCNN4
DHX35,78910,DHX35
VWF,309265,VWF
SAT1,20024,SAT1
CNN1,33170,CNN1
TMEM38A,33260,TMEM38A
ARL5C,20591,ARL5C
ABR,97598,ABR
CLN6,35919,CLN6
CC2D2B,122955,CC2D2B
AMELY,23250,AMELY
HPDL,39386,HPDL
RNASE3,18385,RNASE3
OR10A3,35535,OR10A3
CTAGE6,87900,CTAGE6
RERG,22608,RERG
UMPS,52222,UMPS
DCTN1,141695,DCTN1
CCDC62,77748,CCDC62
PROB1,106917,PROB1
TENM2,307787,TENM2
FREM3,238179,FREM3
CT47B1,31319,CT47B1
RGS5,20946,RGS5
ZNF644,149565,ZNF644
BLK,57706,BLK
RRP1,52839,RRP1
HTR2A,52603,HTR2A
LAX1,44085,LAX1
INTS6,100390,INTS6
MAP4K2,91556,MAP4K2
PPM1D,66675,PPM1D
ASIC4,70105,ASIC4
ISM1,52107,ISM1
RABGAP1L,29038,RABGAP1L
ZNF212,55447,ZNF212
SNX21,41365,SNX21
ACACA,265554,ACACA
RSPO2,28315,RSPO2
WDCP,79136,WDCP
PPP1R3G,38019,PPP1R3G
ZCWPW2,41376,ZCWPW2
FOXE1,38076,FOXE1
GDNF,23720,GDNF
ZNF705D,34712,ZNF705D
DPP3,82589,DPP3
BIRC8,27089,BIRC8
CDIP1,21892,CDIP1
CNKSR2,117535,CNKSR2
EFR3B,92487,EFR3B
UHRF1BP1L,164199,UHRF1BP1L
MFSD9,50619,MFSD9
OR4C6,34558,OR4C6
PPP2R2A,51692,PPP2R2A
PPP1R35,27953,PPP1R35
SLA,31156,SLA
SENP3,65010,SENP3
FNBP4,110266,FNBP4
FGF14,27702,FGF14
YWHAQ,27764,YWHAQ
ALDH1L1,98829,ALDH1L1
MGAM2,277990,MGAM2
EDA2R,32759,EDA2R
FAM110D,28710,FAM110D
HPF1,39436,HPF1
SMOC2,49674,SMOC2
SLC25A40,38125,SLC25A40
CHRM2,51715,CHRM2
DENND2C,106865,DENND2C
NT5DC1,51845,NT5DC1
PARP4,192595,PARP4
TSPY3,35101,TSPY3
ZNF850,125431,ZNF850
MYOZ2,29898,MYOZ2
PPFIA3,133496,PPFIA3
MSANTD2,61319,MSANTD2
ATXN7,95451,ATXN7
VPS35,91707,VPS35
OR51F2,38518,OR51F2
TPST2,41912,TPST2
SPATA25,23834,SPATA25
WIZ,178674,WIZ
USP8,127523,USP8
USP6NL,94104,USP6NL
LIPF,45238,LIPF
ELF1,67498,ELF1
JADE2,87466,JADE2
HSPBAP1,55167,HSPBAP1
PPP1R3B,32695,PPP1R3B
FAM107B,15558,FAM107B
COMTD1,28809,COMTD1
C1orf112,96554,C1orf112
RTN4,129931,RTN4
CNTNAP3B,140415,CNTNAP3B
TSPAN6,27563,TSPAN6
TRIM49B,52747,TRIM49B
OR2C1,34412,OR2C1
BMP8A,44798,BMP8A
FN3KRP,34412,FN3KRP
PRSS33,29787,PRSS33
FITM2,29855,FITM2
UTRN,394466,UTRN
LAMB2,195981,LAMB2
SPOUT1,42009,SPOUT1
STON1,83141,STON1
TNFRSF19,46015,TNFRSF19
ANO9,90333,ANO9
MAP3K7CL,27248,MAP3K7CL
CLK3,73515,CLK3
CLK2,60090,CLK2
RSPH10B2,100547,RSPH10B2
UBAC2,38964,UBAC2
IL9R,57147,IL9R
IFNL1,21898,IFNL1
CNTN6,113956,CNTN6
RFPL3,35386,RFPL3
FAM131B,35769,FAM131B
FAM43B,36776,FAM43B
MAGED2,64954,MAGED2
DMTF1,84471,DMTF1
PPP2R5C,61061,PPP2R5C
OR10G6,36823,OR10G6
AGXT2,57156,AGXT2
ZNF292,304816,ZNF292
MEPCE,74355,MEPCE
DHRS9,35227,DHRS9
KCTD8,52440,KCTD8
ADAM8,88771,ADAM8
OR9G9,34020,OR9G9
SLC22A25,61008,SLC22A25
ZC3H7A,110538,ZC3H7A
PKP2,97415,PKP2
MAZ,48608,MAZ
CR1,223663,CR1
CCDC188,43548,CCDC188
GIMAP8,74890,GIMAP8
GPANK1,39314,GPANK1
DNAL4,12009,DNAL4
NAA11,25979,NAA11
C2orf88,10970,C2orf88
OR51A2,35078,OR51A2
MUSK,97056,MUSK
KLHL8,68802,KLHL8
NUMA1,238260,NUMA1
CLIC2,28356,CLIC2
TVP23B,23576,TVP23B
PSG7,47027,PSG7
SLURP1,11186,SLURP1
SLC38A1,54048,SLC38A1
NDUFB3,11402,NDUFB3
AP5M1,54767,AP5M1
ADH1A,39859,ADH1A
PRKCI,68262,PRKCI
KMT2A,431764,KMT2A
CASP1,45159,CASP1
KCNN1,59987,KCNN1
LALBA,16225,LALBA
GPCPD1,76035,GPCPD1
RFX1,104758,RFX1
DXO,44929,DXO
ATAD3C,46380,ATAD3C
OR51L1,35369,OR51L1
GNA12,44279,GNA12
ZRANB2,37404,ZRANB2
BCL2L12,36821,BCL2L12
OR52L1,36221,OR52L1
GOLM1,45333,GOLM1
FUCA2,54067,FUCA2
LDB2,42793,LDB2
GLIS3,83636,GLIS3
SMIM35,9379,SMIM35
IL17B,20437,IL17B
TMEM92,17229,TMEM92
TMEM187,29148,TMEM187
ERMAP,52605,ERMAP
TCEANC2,24150,TCEANC2
TRBV5-6,12565,TRBV5-6
FNDC5,23659,FNDC5
ERGIC1,32592,ERGIC1
OCRL,104205,OCRL
GGN,66699,GGN
RBMX2,37336,RBMX2
NEFL,61517,NEFL
GHRL,12911,GHRL
SH3TC1,146961,SH3TC1
SETD4,50416,SETD4
CLRN1,25719,CLRN1
ART5,32054,ART5
NHLH1,14618,NHLH1
TRDN,81595,TRDN
TINF2,50023,TINF2
MRPL18,20577,MRPL18
GHITM,37205,GHITM
RNLS,37847,RNLS
WDR97,180307,WDR97
NANOG,34620,NANOG
DGUOK,32056,DGUOK
IGKV1-17,12779,IGKV1-17
MIOS,98584,MIOS
STARD8,112601,STARD8
CCL3L1,10161,CCL3L1
LSMEM2,17868,LSMEM2
HDGF,26788,HDGF
ADGRE5,91869,ADGRE5
MIA,14509,MIA
PDIA4,72932,PDIA4
ST3GAL2,40173,ST3GAL2
GATA2,50500,GATA2
LIN7B,22896,LIN7B
LETM1,83354,LETM1
RPS18,17719,RPS18
AMY1A,57768,AMY1A
LPO,80288,LPO
CPSF4,30255,CPSF4
ARMC10,37540,ARMC10
GTPBP1,72454,GTPBP1
GPN3,32761,GPN3
MRPL58,23630,MRPL58
PPAN,53194,PPAN
SPOP,42132,SPOP
NDC80,73913,NDC80
FXYD5,19472,FXYD5
PIP,16572,PIP
AKAP6,256720,AKAP6
FCGR2A,35001,FCGR2A
TRIM28,88550,TRIM28
GPHA2,14163,GPHA2
OR5K3,36711,OR5K3
ZBP1,46343,ZBP1
URGCP,104987,URGCP
DNAJC5,22149,DNAJC5
IGLC3,11266,IGLC3
AGAP3,95044,AGAP3
OR7D2,34747,OR7D2
SRP68,70730,SRP68
LMX1B,44917,LMX1B
SCML2,77257,SCML2
DCAF4L2,43747,DCAF4L2
CETN2,19738,CETN2
RHCE,45560,RHCE
ISCU,17999,ISCU
ARAF,67585,ARAF
ENPP5,54666,ENPP5
C12orf57,13178,C12orf57
TUBB8,49776,TUBB8
ZNF777,93762,ZNF777
PROS1,75123,PROS1
PGF,24789,PGF
VWCE,99915,VWCE
FERD3L,19017,FERD3L
LSM3,11845,LSM3
OR4F21,35094,OR4F21
SHARPIN,39949,SHARPIN
SLC2A4,54787,SLC2A4
RTL5,64711,RTL5
SLC35C2,40432,SLC35C2
GABRR2,54151,GABRR2
PPIAL4F,18197,PPIAL4F
DUS3L,72594,DUS3L
PNLIP,51157,PNLIP
FXYD1,10441,FXYD1
ST7L,64779,ST7L
ADCY7,120308,ADCY7
PXYLP1,55240,PXYLP1
MRPL38,44597,MRPL38
BBOF1,61987,BBOF1
TBC1D13,46554,TBC1D13
OXER1,45811,OXER1
OR1I1,39297,OR1I1
FAT3,501978,FAT3
ALAS2,64633,ALAS2
MEGF9,62984,MEGF9
APEX2,57401,APEX2
LAPTM5,29937,LAPTM5
LDHC,36311,LDHC
TRIM64,51566,TRIM64
TMEM87A,63430,TMEM87A
STOM,31731,STOM
KIAA0319,117763,KIAA0319
ST20,9024,ST20
RAB3IL1,42637,RAB3IL1
PDS5B,164667,PDS5B
HFE,40108,HFE
HIST2H2AC,13988,HIST2H2AC
GJA5,40380,GJA5
OR4K17,35312,OR4K17
RSPH1,35124,RSPH1
ZNF66,65874,ZNF66
STK11IP,120259,STK11IP
MRPL51,15095,MRPL51
ABHD6,38331,ABHD6
NDUFB4,15209,NDUFB4
FAM118B,39499,FAM118B
VN1R2,44476,VN1R2
DCHS1,346181,DCHS1
TGM7,79941,TGM7
MRGPRD,36118,MRGPRD
EVC,111990,EVC
LRRC10B,32714,LRRC10B
AKAP9,452987,AKAP9
UCN2,12146,UCN2
SUMF2,33843,SUMF2
NSD1,296652,NSD1
CRYGS,21007,CRYGS
RORC,58195,RORC
NYNRIN,208366,NYNRIN
C18orf21,24827,C18orf21
ZNF511,28265,ZNF511
M1AP,59386,M1AP
CEP57,57089,CEP57
VASH2,40450,VASH2
KIAA1755,130846,KIAA1755
ELOC,12473,ELOC
ARL14,21588,ARL14
ABHD12B,40776,ABHD12B
TOX2,51604,TOX2
CENPK,31655,CENPK
PRDM8,71663,PRDM8
PPM1B,52643,PPM1B
TRIM51,52285,TRIM51
HR,127495,HR
KLRC2,26072,KLRC2
OR2D2,34172,OR2D2
CTNNB1,85497,CTNNB1
WDR91,83344,WDR91
ATG7,77960,ATG7
MVB12B,35620,MVB12B
CLK4,57492,CLK4
MRPL24,24915,MRPL24
MAOA,59682,MAOA
CNTRL,268886,CNTRL
LPIN2,99399,LPIN2
SLC26A11,65299,SLC26A11
ECT2L,104880,ECT2L
NPHP1,83299,NPHP1
CADM2,47554,CADM2
CDC40,65521,CDC40
SH3GLB1,40796,SH3GLB1
ZNF845,113133,ZNF845
SCGB1D1,9898,SCGB1D1
CHMP2A,25104,CHMP2A
BRICD5,28486,BRICD5
AQP6,29370,AQP6
FAR1,59357,FAR1
MXRA8,49132,MXRA8
TRPC7,99562,TRPC7
ZNF540,77094,ZNF540
TLCD2,28733,TLCD2
NFIA,55944,NFIA
FKBP11,22180,FKBP11
BICDL2,56834,BICDL2
NADK2,49433,NADK2
TMEM68,37425,TMEM68
DCD,11284,DCD
ARMT1,51172,ARMT1
QKI,37671,QKI
TRNAU1AP,32499,TRNAU1AP
ZBED5,78911,ZBED5
ZNF718,55359,ZNF718
TAS2R10,35365,TAS2R10
JOSD2,20756,JOSD2
MARC2,38023,MARC2
GOT1L1,47305,GOT1L1
ACSL6,77752,ACSL6
CORO6,52762,CORO6
ITGA3,116612,ITGA3
SCUBE1,107910,SCUBE1
SHMT1,53083,SHMT1
AFF2,144771,AFF2
SEC24D,113010,SEC24D
NUDCD2,17676,NUDCD2
ZIC4,36567,ZIC4
HSPB3,16966,HSPB3
GGA3,78315,GGA3
HCFC2,86779,HCFC2
DSCR3,33010,DSCR3
CCDC142,81643,CCDC142
USP10,87134,USP10
GIGYF1,114601,GIGYF1
ASPG,60883,ASPG
ANKRD31,210816,ANKRD31
ARPC1B,40950,ARPC1B
