Genes,Domain Number,Norm_Symbol
MT-ND1,1,MT-ND1
MT-ND2,2,MT-ND2
MT-CO1,1,MT-CO1
MT-CO2,2,MT-CO2
MT-ATP8,1,MT-ATP8
MT-ATP6,1,MT-ATP6
MT-CO3,1,MT-CO3
MT-ND3,1,MT-ND3
MT-ND4L,1,MT-ND4L
MT-ND4,2,MT-ND4
MT-ND5,3,MT-ND5
MT-ND6,1,MT-ND6
MT-CYB,2,MT-CYB
CDKN1C,1,CDKN1C
KLF13,1,KLF13
MPV17L,1,MPV17L
KCNE1B,1,KCNE1B
CNOT3,2,CNOT3
LENG1,1,LENG1
MARF1,3,MARF1
DNAJA3,3,DNAJA3
CHGA,1,CHGA
PDK3,2,PDK3
TTYH1,1,TTYH1
BMERB1,1,BMERB1
OR2AG2,1,OR2AG2
CDH9,2,CDH9
OR2AG1,1,OR2AG1
TMC4,1,TMC4
TMEM106B,1,TMEM106B
DNAJC27,2,DNAJC27
OTUD7A,3,OTUD7A
ARMC10,1,ARMC10
IAH1,2,IAH1
C21orf62,1,C21orf62
OR11A1,1,OR11A1
GABRA5,2,GABRA5
TRIM26,4,TRIM26
OR10C1,1,OR10C1
OR5V1,1,OR5V1
OR12D3,1,OR12D3
OR12D2,1,OR12D2
OR6A2,1,OR6A2
FP565260.3,2,FP565260.3
NAPEPLD,1,NAPEPLD
ZNF214,2,ZNF214
FP565260.2,1,FP565260.2
SLC23A2,1,SLC23A2
OR2D3,1,OR2D3
NME8,2,NME8
ADAM17,4,ADAM17
ZNF215,3,ZNF215
GABRB3,2,GABRB3
SLC22A18,1,SLC22A18
OR10A5,1,OR10A5
OR2D2,1,OR2D2
SFRP4,2,SFRP4
OR10A4,1,OR10A4
OR10A2,1,OR10A2
EPDR1,1,EPDR1
HIST1H2BL,1,HIST1H2BL
FAM8A1,1,FAM8A1
HIST1H2AI,2,HIST1H2AI
FP565260.1,2,FP565260.1
HIST1H3H,1,HIST1H3H
GPR141,1,GPR141
HIST1H1B,1,HIST1H1B
HIST1H2AL,2,HIST1H2AL
HIST1H4K,1,HIST1H4K
HIST1H3I,1,HIST1H3I
HIST1H2AK,2,HIST1H2AK
DUOXA1,1,DUOXA1
HIST1H2BM,1,HIST1H2BM
HIST1H2AM,2,HIST1H2AM
HIST1H4J,1,HIST1H4J
HIST1H3J,1,HIST1H3J
HIST1H4L,1,HIST1H4L
HIST1H2AJ,2,HIST1H2AJ
VWDE,3,VWDE
RGN,1,RGN
HIST1H2BN,1,HIST1H2BN
CPXM1,3,CPXM1
KLHL7,3,KLHL7
ITPRID1,2,ITPRID1
SHF,1,SHF
ITPK1,2,ITPK1
FYB1,2,FYB1
CDK7,1,CDK7
OR2H1,1,OR2H1
DUOXA2,1,DUOXA2
MYL9,3,MYL9
SERPINA10,1,SERPINA10
NMRAL1,1,NMRAL1
DUOX2,5,DUOX2
MBOAT7,1,MBOAT7
DLGAP4,1,DLGAP4
RPAP1,2,RPAP1
KHK,1,KHK
HIST1H2BO,1,HIST1H2BO
OR2B2,1,OR2B2
SIGIRR,1,SIGIRR
MOAP1,1,MOAP1
ANKRD33B,1,ANKRD33B
IFT88,5,IFT88
OR2B6,1,OR2B6
APOL5,1,APOL5
TRIM39-RPP21,4,TRIM39-RPP21
TRIM44,1,TRIM44
TRIM39,4,TRIM39
FKBP6,1,FKBP6
SHROOM4,2,SHROOM4
