Genes,CDS_Length,Norm_Symbol
ARSD,1104.4736842105262,ARSD
IL11,459.5294117647058,IL11
SNRNP27,411.1428571428572,SNRNP27
KRT24,1578.0,KRT24
PPM1D,1311.2727272727273,PPM1D
SLC25A12,982.2115384615383,SLC25A12
TMEM59,634.0,TMEM59
KCTD5,721.3636363636364,KCTD5
TMEM120B,844.2439024390244,TMEM120B
RAET1E,557.0416666666666,RAET1E
ACRBP,1184.3235294117646,ACRBP
TTC22,1219.7647058823532,TTC22
CNOT6L,1219.553846153846,CNOT6L
MAP3K2,1674.3783783783786,MAP3K2
IFRD1,895.0253164556963,IFRD1
GLT6D1,881.7272727272727,GLT6D1
TBX4,1401.0,TBX4
IFNG,501.0,IFNG
ZER1,1726.1304347826087,ZER1
ANGPT1,1150.8055555555557,ANGPT1
STARD3NL,633.4081632653061,STARD3NL
PRRG1,526.7741935483872,PRRG1
SH2B2,1276.875,SH2B2
RASL10A,506.4,RASL10A
NRBF2,851.1428571428571,NRBF2
AL117339.5,363.0,AL117339.5
WFIKKN1,1647.0,WFIKKN1
SFXN3,884.4,SFXN3
ENY2,221.75,ENY2
KLHL41,1821.0,KLHL41
DKK4,675.0,DKK4
AC084121.5,1395.0,AC084121.5
INO80B-WBP1,942.0,INO80B-WBP1
ANKFY1,2759.25,ANKFY1
COX4I2,516.0,COX4I2
CT83,342.0,CT83
OR10P1,942.0,OR10P1
NIN,5041.933823529413,NIN
CDRT1,1501.3863636363635,CDRT1
GABRA2,920.191304347826,GABRA2
GAREM1,2125.6,GAREM1
NRROS,2079.0,NRROS
PSMC3IP,410.01818181818186,PSMC3IP
AK1,440.2,AK1
C6orf47,885.0,C6orf47
FAM229B,243.0,FAM229B
MIB1,3021.0,MIB1
DGAT2,764.7894736842105,DGAT2
RABIF,372.0,RABIF
PRKAR1A,774.6496350364963,PRKAR1A
CD1D,1008.0,CD1D
LILRB4,1234.3014925373136,LILRB4
YY2,1119.0,YY2
MT1H,214.8,MT1H
NPIPA3,1042.695652173913,NPIPA3
ETV1,1161.418918918919,ETV1
KDM8,963.0769230769232,KDM8
ZEB1,2079.7625,ZEB1
USP29,1105.3076923076924,USP29
SKOR2,2707.421052631579,SKOR2
AC209539.2,525.0,AC209539.2
TCTEX1D1,359.75,TCTEX1D1
INIP,248.25,INIP
SMIM10L2B,237.0,SMIM10L2B
MARS,922.2714285714287,MARS
LYSMD3,487.07142857142856,LYSMD3
ARMH4,1918.6,ARMH4
SMG7,2738.295597484277,SMG7
AQP6,622.7647058823529,AQP6
DLX6,728.4,DLX6
FASN,6447.1287128712875,FASN
TRIQK,220.7088607594937,TRIQK
SIX1,595.5,SIX1
RNF185,520.6666666666666,RNF185
FAM3C,497.18518518518516,FAM3C
MAPK11,899.4324324324324,MAPK11
ERICH5,743.4,ERICH5
ALPL,1415.3061224489795,ALPL
CHST14,1081.0,CHST14
NCMAP,309.0,NCMAP
SMARCC1,2876.181818181818,SMARCC1
OR4F16,939.0,OR4F16
ASPHD2,1110.0,ASPHD2
NDST3,2622.0,NDST3
PHLDB2,3061.777027027027,PHLDB2
NTF3,800.0,NTF3
WDR45,758.7400881057267,WDR45
CYFIP2,3017.004545454545,CYFIP2
MSH3,2996.8217821782177,MSH3
THG1L,529.4,THG1L
AFAP1L1,2244.2432432432433,AFAP1L1
PSMD3,829.8275862068965,PSMD3
STX1B,851.3684210526317,STX1B
SHLD2,2298.2727272727275,SHLD2
C16orf87,427.58333333333326,C16orf87
SERPINA11,1269.0,SERPINA11
C9orf78,870.0,C9orf78
SLC11A1,710.8301886792453,SLC11A1
LRRC8B,1854.078947368421,LRRC8B
CLCA4,2760.0,CLCA4
GLRX,321.0,GLRX
NRBP2,1128.0625,NRBP2
TSPAN3,454.81578947368416,TSPAN3
GPANK1,795.4655172413792,GPANK1
PAPPA,4884.0,PAPPA
WWC1,2987.729166666666,WWC1
TUBD1,901.7763157894735,TUBD1
SIM1,2301.0,SIM1
RPL7L1,574.6666666666666,RPL7L1
USP17L2,1593.0,USP17L2
RHBDD3,644.1818181818181,RHBDD3
CDK7,457.6435643564357,CDK7
DOCK2,3423.197080291971,DOCK2
OR9Q1,933.0,OR9Q1
TMPRSS12,1009.6666666666665,TMPRSS12
DEPTOR,1097.4375,DEPTOR
EMILIN2,3162.0,EMILIN2
RAB5A,390.32,RAB5A
FBXO22,602.7906976744188,FBXO22
NUDT16L1,604.9285714285714,NUDT16L1
DDX3Y,1584.0980392156864,DDX3Y
CT47A12,867.0,CT47A12
CBWD6,688.4745762711865,CBWD6
THUMPD2,893.5263157894735,THUMPD2
SLC12A2,3534.22641509434,SLC12A2
DUSP19,588.4285714285714,DUSP19
CST2,426.0,CST2
PPIL4,1273.6875,PPIL4
TRIM66,3290.1234567901233,TRIM66
TBC1D20,1212.0,TBC1D20
ARF5,500.7272727272728,ARF5
FGL1,939.0,FGL1
AP004243.1,586.5555555555555,AP004243.1
MTMR2,1747.6962025316454,MTMR2
VAMP8,278.4,VAMP8
CCN4,668.6470588235294,CCN4
FGF18,624.0,FGF18
IL6R,997.2954545454544,IL6R
TYW5,568.4347826086956,TYW5
