Genes,Transcript_Count,Norm_Symbol
DYTN,2.0,DYTN
CD79A,3.0,CD79A
BORA,10.0,BORA
OR4F21,1.0,OR4F21
CYP51A1,4.0,CYP51A1
GPR89B,8.0,GPR89B
RBM48,3.0,RBM48
CYP2D6,4.666666666666667,CYP2D6
LRRC29,12.0,LRRC29
COPG1,10.0,COPG1
LYPD6,6.0,LYPD6
POMT1,16.0,POMT1
SDHD,10.0,SDHD
RHCG,7.0,RHCG
OR2A4,1.0,OR2A4
IQCA1,10.0,IQCA1
UBXN10,1.0,UBXN10
CT476828.14,2.0,CT476828.14
INTS8,20.0,INTS8
PC,19.0,PC
CLCN5,9.0,CLCN5
MKRN2,3.0,MKRN2
SLC22A7,9.0,SLC22A7
DEPDC1,5.0,DEPDC1
EPHX2,12.0,EPHX2
HLA-DPB1,8.903225806451612,HLA-DPB1
MOBP,13.0,MOBP
POU1F1,4.0,POU1F1
SLC2A6,5.0,SLC2A6
DCTN1,27.0,DCTN1
C8orf34,8.0,C8orf34
DRG2,21.0,DRG2
CCDC154,4.0,CCDC154
PHF12,17.0,PHF12
POLR3F,6.0,POLR3F
CHRM2,7.0,CHRM2
PTBP1,21.0,PTBP1
ZMYND10,9.0,ZMYND10
RUNX1,17.0,RUNX1
SLC6A8,10.0,SLC6A8
SYT16,7.0,SYT16
TRIP11,5.0,TRIP11
CDKL3,10.0,CDKL3
C4A,14.75,C4A
ARMT1,4.0,ARMT1
GABRR1,7.0,GABRR1
HSPD1,14.0,HSPD1
PTPRF,16.0,PTPRF
CLEC12A,7.0,CLEC12A
TRPV2,9.0,TRPV2
POGLUT1,9.0,POGLUT1
CAVIN1,1.0,CAVIN1
PAIP2B,1.0,PAIP2B
NECAB1,6.0,NECAB1
VPS8,28.0,VPS8
STK16,13.0,STK16
AP003419.1,1.0,AP003419.1
CDX2,2.0,CDX2
CENPA,6.0,CENPA
THEGL,2.0,THEGL
AC009070.1,7.0,AC009070.1
PLD2,15.0,PLD2
B3GNT7,2.0,B3GNT7
SMUG1,25.0,SMUG1
TTC9B,2.0,TTC9B
UFSP2,9.0,UFSP2
AC025283.2,1.0,AC025283.2
CCNG1,13.0,CCNG1
CLEC4A,5.0,CLEC4A
SCN3A,12.0,SCN3A
TICAM2,2.0,TICAM2
DESI2,4.0,DESI2
TERF1,8.0,TERF1
DDR1,32.67716535433071,DDR1
MT-ATP6,1.0,MT-ATP6
SNX13,13.0,SNX13
BOK,2.0,BOK
AL159163.1,1.0,AL159163.1
WDR48,10.0,WDR48
HIGD2B,1.0,HIGD2B
TGDS,3.0,TGDS
LHFPL4,3.0,LHFPL4
AAMP,10.0,AAMP
ZMYND12,4.0,ZMYND12
ZNF506,12.0,ZNF506
SERPINB9,1.0,SERPINB9
NAALAD2,10.0,NAALAD2
