Genes,Transcript_Length,Norm_Symbol
DYTN,2051.0,DYTN
CD79A,875.3333333333335,CD79A
BORA,2264.333333333333,BORA
OR4F21,995.0,OR4F21
CYP51A1,1877.0,CYP51A1
GPR89B,1342.0,GPR89B
RBM48,3158.333333333333,RBM48
CYP2D6,1570.7333333333331,CYP2D6
LRRC29,1385.5,LRRC29
COPG1,1838.5,COPG1
LYPD6,2357.5,LYPD6
POMT1,1933.090909090909,POMT1
SDHD,891.2857142857142,SDHD
RHCG,1483.0,RHCG
OR2A4,1758.0,OR2A4
IQCA1,2761.25,IQCA1
UBXN10,5562.0,UBXN10
CT476828.14,1272.0,CT476828.14
INTS8,1449.2857142857142,INTS8
PC,3293.909090909091,PC
CLCN5,4472.142857142857,CLCN5
MKRN2,1963.333333333333,MKRN2
SLC22A7,1560.5,SLC22A7
DEPDC1,3489.0,DEPDC1
EPHX2,1758.571428571429,EPHX2
HLA-DPB1,1331.3225806451612,HLA-DPB1
MOBP,1227.888888888889,MOBP
POU1F1,984.25,POU1F1
SLC2A6,1526.75,SLC2A6
DCTN1,2432.6875,DCTN1
C8orf34,2780.8,C8orf34
DRG2,1125.4,DRG2
CCDC154,2386.5,CCDC154
PHF12,2104.777777777778,PHF12
POLR3F,2156.0,POLR3F
CHRM2,3049.25,CHRM2
PTBP1,1795.416666666667,PTBP1
ZMYND10,1534.333333333333,ZMYND10
RUNX1,3014.777777777778,RUNX1
SLC6A8,1235.6666666666667,SLC6A8
SYT16,5582.333333333332,SYT16
TRIP11,5268.666666666667,TRIP11
CDKL3,1451.666666666667,CDKL3
C4A,5350.0,C4A
ARMT1,2446.0,ARMT1
GABRR1,2773.0,GABRR1
HSPD1,1046.875,HSPD1
PTPRF,4489.5,PTPRF
CLEC12A,1153.4,CLEC12A
TRPV2,946.0,TRPV2
POGLUT1,2037.5,POGLUT1
CAVIN1,3570.0,CAVIN1
PAIP2B,6300.0,PAIP2B
NECAB1,2922.666666666666,NECAB1
VPS8,2282.909090909091,VPS8
STK16,1888.6,STK16
AP003419.1,711.0,AP003419.1
CDX2,4053.0,CDX2
CENPA,1344.0,CENPA
THEGL,1650.0,THEGL
AC009070.1,1235.0,AC009070.1
PLD2,1738.6,PLD2
B3GNT7,3539.0,B3GNT7
SMUG1,1049.5,SMUG1
TTC9B,843.0,TTC9B
UFSP2,1150.5,UFSP2
AC025283.2,2905.0,AC025283.2
CCNG1,1205.2857142857142,CCNG1
CLEC4A,736.6,CLEC4A
SCN3A,6352.0,SCN3A
TICAM2,3049.0,TICAM2
DESI2,1787.333333333333,DESI2
TERF1,1935.0,TERF1
DDR1,1774.992125984252,DDR1
MT-ATP6,681.0,MT-ATP6
SNX13,5773.333333333332,SNX13
BOK,2626.0,BOK
AL159163.1,600.0,AL159163.1
WDR48,2457.0,WDR48
HIGD2B,1117.0,HIGD2B
TGDS,1797.0,TGDS
LHFPL4,4900.0,LHFPL4
AAMP,1372.8,AAMP
ZMYND12,1530.0,ZMYND12
ZNF506,1527.0,ZNF506
SERPINB9,4143.0,SERPINB9
NAALAD2,1746.166666666667,NAALAD2
AC080038.1,3164.666666666666,AC080038.1
STAT2,3932.333333333334,STAT2
AC068580.4,1905.75,AC068580.4
LRCH4,2015.75,LRCH4
SPIRE1,2423.5714285714284,SPIRE1
KIDINS220,4074.285714285714,KIDINS220
ENGASE,1980.0,ENGASE
TPGS1,1114.0,TPGS1
GLI3,2629.1666666666665,GLI3
PRRC2C,6088.625,PRRC2C
USP17L4,1593.0,USP17L4
MT-CO1,1542.0,MT-CO1
SVIP,4479.0,SVIP
HPCAL4,4598.0,HPCAL4
LNP1,1838.5,LNP1
SALL1,3715.0,SALL1
CLEC10A,1485.4,CLEC10A
NRL,1321.8333333333333,NRL
AURKA,1627.6153846153845,AURKA
DHPS,803.6666666666665,DHPS
HIF3A,2506.0,HIF3A
IL21,1862.5,IL21
RABGAP1L,2097.625,RABGAP1L
ZNF85,1100.9565217391305,ZNF85
LPAR3,3430.0,LPAR3
PHACTR2,2855.5,PHACTR2
ZNF57,1416.4,ZNF57
IRF2,807.1666666666665,IRF2
ARHGEF18,4376.6,ARHGEF18
ESYT2,4483.5,ESYT2
KIFAP3,3235.5,KIFAP3
METTL4,1805.333333333333,METTL4
RPL39L,710.3333333333335,RPL39L
SPINT1,1394.375,SPINT1
KIAA1147,4574.75,KIAA1147
TK1,1013.6,TK1
TPCN2,3140.25,TPCN2
PSD4,5667.333333333332,PSD4
AC270285.6,330.0,AC270285.6
BEND3,6427.0,BEND3
GPR85,2155.4,GPR85
CIDEA,828.0,CIDEA
CHN1,1350.9,CHN1
SLC4A8,7199.5,SLC4A8
HELZ,4374.6,HELZ
SPOCK1,2584.0,SPOCK1
MAP1LC3C,1182.0,MAP1LC3C
FUT2,2051.0,FUT2
FAM153B,1373.8333333333333,FAM153B
VSIG2,1177.0,VSIG2
MTMR2,3630.0,MTMR2
MGAT2,2687.0,MGAT2
COL14A1,3581.0,COL14A1
CHP2,1967.0,CHP2
REEP1,1765.4444444444446,REEP1
NAV3,4859.75,NAV3
FGF8,775.8,FGF8
GU182357.5,1593.0,GU182357.5
PCDHA5,4596.333333333333,PCDHA5
PRR20E,1847.0,PRR20E
TMEM147,856.6666666666665,TMEM147
KALRN,5957.75,KALRN
MALT1,4240.0,MALT1
AWAT1,1365.0,AWAT1
ZNF738,1354.25,ZNF738
TCHH,6947.5,TCHH
OR2G6,4324.333333333333,OR2G6
KBTBD8,1697.25,KBTBD8
KIAA1324L,2925.333333333333,KIAA1324L
COPS7A,1469.9,COPS7A
TMEM184A,1742.0,TMEM184A
RPS9,746.0882352941177,RPS9
POLR2J3,1715.0,POLR2J3
SETD5,3866.0,SETD5
PMCH,754.0,PMCH
