Genes,Amino_Acid_Length,Norm_Symbol
TRBD1,4.0,TRBD1
TRDD2,3.0,TRDD2
TRDD3,4.0,TRDD3
TRDD1,2.0,TRDD1
IGHD3-10,9.0,IGHD3-10
IGHD3-16,12.0,IGHD3-16
IGHD1-14,5.0,IGHD1-14
IGHD2-15,10.0,IGHD2-15
IGHD2-21,9.0,IGHD2-21
IGHD6-13,7.0,IGHD6-13
IGHD7-27,3.0,IGHD7-27
IGHD3-3,10.0,IGHD3-3
IGHD5-5,6.0,IGHD5-5
IGHD4-17,5.0,IGHD4-17
IGHD4-11,5.0,IGHD4-11
IGHD5-18,6.0,IGHD5-18
IGHD3-22,10.0,IGHD3-22
IGHD4-23,6.0,IGHD4-23
IGHD5-24,6.0,IGHD5-24
IGHD2-2,10.0,IGHD2-2
IGHD4-4,5.0,IGHD4-4
IGHD2-8,10.0,IGHD2-8
IGHD5-12,7.0,IGHD5-12
IGHD6-19,7.0,IGHD6-19
IGHD6-25,6.0,IGHD6-25
IGHD1OR15-1B,5.0,IGHD1OR15-1B
IGHD6-6,6.0,IGHD6-6
IGHD1-7,5.0,IGHD1-7
IGHD3-9,9.0,IGHD3-9
IGHD1-1,5.0,IGHD1-1
IGHD1-20,5.0,IGHD1-20
IGHD3OR15-3B,10.0,IGHD3OR15-3B
IGHD5OR15-5B,7.0,IGHD5OR15-5B
IGHD1OR15-1A,5.0,IGHD1OR15-1A
IGHD3OR15-3A,10.0,IGHD3OR15-3A
IGHD1-26,6.0,IGHD1-26
IGHD4OR15-4A,6.0,IGHD4OR15-4A
IGHD2OR15-2B,10.0,IGHD2OR15-2B
IGHD4OR15-4B,6.0,IGHD4OR15-4B
IGHD2OR15-2A,10.0,IGHD2OR15-2A
IGHD5OR15-5A,7.0,IGHD5OR15-5A
TRBV23-1,115.0,TRBV23-1
TRBV28,114.0,TRBV28
TRBV12-5,115.0,TRBV12-5
TRBV5-5,114.0,TRBV5-5
TRBV7-4,115.0,TRBV7-4
TRAV41,112.0,TRAV41
