Genes,Isoform_No,Norm_Symbol
TRBD1,2,TRBD1
TRDD2,1,TRDD2
TRDD3,1,TRDD3
TRDD1,1,TRDD1
IGHD3-10,2,IGHD3-10
IGHD3-16,2,IGHD3-16
IGHD1-14,2,IGHD1-14
IGHD2-15,2,IGHD2-15
IGHD2-21,2,IGHD2-21
IGHD6-13,2,IGHD6-13
IGHD7-27,2,IGHD7-27
IGHD3-3,2,IGHD3-3
IGHD5-5,2,IGHD5-5
IGHD4-17,2,IGHD4-17
IGHD4-11,2,IGHD4-11
IGHD5-18,2,IGHD5-18
IGHD3-22,2,IGHD3-22
IGHD4-23,2,IGHD4-23
IGHD5-24,2,IGHD5-24
IGHD2-2,2,IGHD2-2
IGHD4-4,2,IGHD4-4
IGHD2-8,2,IGHD2-8
IGHD5-12,2,IGHD5-12
IGHD6-19,2,IGHD6-19
IGHD6-25,2,IGHD6-25
IGHD1OR15-1B,1,IGHD1OR15-1B
IGHD6-6,2,IGHD6-6
IGHD1-7,2,IGHD1-7
IGHD3-9,2,IGHD3-9
IGHD1-1,2,IGHD1-1
IGHD1-20,2,IGHD1-20
IGHD3OR15-3B,1,IGHD3OR15-3B
IGHD5OR15-5B,1,IGHD5OR15-5B
IGHD1OR15-1A,1,IGHD1OR15-1A
IGHD3OR15-3A,1,IGHD3OR15-3A
IGHD1-26,2,IGHD1-26
IGHD4OR15-4A,1,IGHD4OR15-4A
IGHD2OR15-2B,1,IGHD2OR15-2B
IGHD4OR15-4B,1,IGHD4OR15-4B
IGHD2OR15-2A,1,IGHD2OR15-2A
IGHD5OR15-5A,1,IGHD5OR15-5A
TRBV23-1,2,TRBV23-1
TRBV28,2,TRBV28
TRBV12-5,2,TRBV12-5
TRBV5-5,2,TRBV5-5
TRBV7-4,2,TRBV7-4
TRAV41,1,TRAV41
TRAV2,1,TRAV2
TRAV36DV7,1,TRAV36DV7
TRAV14DV4,1,TRAV14DV4
TRAV13-1,1,TRAV13-1
TRAV8-3,1,TRAV8-3
TRBV30,2,TRBV30
TRBV20-1,2,TRBV20-1
TRBV10-3,2,TRBV10-3
TRBV7-9,2,TRBV7-9
TRAV23DV6,1,TRAV23DV6
TRBV6-6,2,TRBV6-6
TRBV9,2,TRBV9
TRAV20,1,TRAV20
TRBV29-1,2,TRBV29-1
TRBV25-1,2,TRBV25-1
TRBV5-7,2,TRBV5-7
TRBV5-4,2,TRBV5-4
TRBV6-4,2,TRBV6-4
TRAV3,1,TRAV3
TRAV1-2,1,TRAV1-2
TRBV17,2,TRBV17
TRBV15,2,TRBV15
TRBV7-3,2,TRBV7-3
TRBV6-1,2,TRBV6-1
TRBV4-1,2,TRBV4-1
TRAV29DV5,1,TRAV29DV5
TRAV27,1,TRAV27
TRBV13,2,TRBV13
TRBV6-8,2,TRBV6-8
TRBV5-6,2,TRBV5-6
TRBV7-6,2,TRBV7-6
TRBV6-7,2,TRBV6-7
TRBV6-5,2,TRBV6-5
TRBV10-2,2,TRBV10-2
TRBV11-1,2,TRBV11-1
TRBV4-2,2,TRBV4-2
TRDV3,1,TRDV3
TRAV38-1,1,TRAV38-1
TRAV38-2DV8,1,TRAV38-2DV8
TRAV26-2,1,TRAV26-2
TRAV26-1,1,TRAV26-1
TRAV24,1,TRAV24
TRBV14,2,TRBV14
TRAV19,1,TRAV19
TRBV12-4,2,TRBV12-4
TRAV9-1,1,TRAV9-1
