Genes,Phosphosite_hu_no,Norm_Symbol
YWHAB,28,YWHAB
YWHAE,22,YWHAE
YWHAH,18,YWHAH
YWHAG,28,YWHAG
SFN,21,SFN
YWHAQ,25,YWHAQ
YWHAZ,31,YWHAZ
NAN,183,NAN
EIF4EBP1,26,EIF4EBP1
EIF4EBP2,14,EIF4EBP2
EIF4EBP3,9,EIF4EBP3
EIF4ENIF1,81,EIF4ENIF1
HTR1A,5,HTR1A
HTR1B,3,HTR1B
HTR1D,5,HTR1D
HTR1E,3,HTR1E
HTR1F,10,HTR1F
HTR2A,8,HTR2A
HTR2B,1,HTR2B
HTR3A,5,HTR3A
HTR3B,2,HTR3B
HTR3C,4,HTR3C
HTR3D,2,HTR3D
HTR3E,3,HTR3E
HTR4,2,HTR4
HTR5A,4,HTR5A
HTR6,2,HTR6
HTR7,1,HTR7
ALOX5,24,ALOX5
TP53BP1,234,TP53BP1
TP53BP2,46,TP53BP2
SCG5,2,SCG5
NUFIP2,54,NUFIP2
AFM,3,AFM
MYBL1,13,MYBL1
RBFOX1,1,RBFOX1
A2M,15,A2M
A2ML1,6,A2ML1
A4GALT,7,A4GALT
TWF1,9,TWF1
TWF2,4,TWF2
AANAT,4,AANAT
AAAS,17,AAAS
AACS,12,AACS
AADAC,11,AADAC
NCEH1,6,NCEH1
AADACL2,2,AADACL2
AADACL3,3,AADACL3
AADACL4,1,AADACL4
AADAT,3,AADAT
AAED1,3,AAED1
AAGAB,7,AAGAB
AAK1,51,AAK1
AAMDC,7,AAMDC
AAMP,2,AAMP
AAR2,6,AAR2
AARS,18,AARS
AARSD1,13,AARSD1
AARS2,10,AARS2
AASDH,5,AASDH
AASDHPPT,4,AASDHPPT
AASS,11,AASS
AATF,29,AATF
ABAT,1,ABAT
HEATR6,27,HEATR6
ABCA1,22,ABCA1
ABCA10,19,ABCA10
ABCA11P,4,ABCA11P
ABCA12,28,ABCA12
ABCA13,26,ABCA13
ABCA2,45,ABCA2
ABCA3,21,ABCA3
ABCA4,15,ABCA4
ABCA5,18,ABCA5
ABCA6,9,ABCA6
ABCA7,10,ABCA7
ABCA8,4,ABCA8
ABCA9,5,ABCA9
