Genes,Domains,Norm_Symbol
MT-ND1,['PF00146'],MT-ND1
MT-ND2,"['PF06444', 'PF00361']",MT-ND2
MT-CO1,['PF00115'],MT-CO1
MT-CO2,"['PF00116', 'PF02790']",MT-CO2
MT-ATP8,['PF00895'],MT-ATP8
MT-ATP6,['PF00119'],MT-ATP6
MT-CO3,['PF00510'],MT-CO3
MT-ND3,['PF00507'],MT-ND3
MT-ND4L,['PF00420'],MT-ND4L
MT-ND4,"['PF00361', 'PF01059']",MT-ND4
MT-ND5,"['PF06455', 'PF00662', 'PF00361']",MT-ND5
MT-ND6,['PF00499'],MT-ND6
MT-CYB,"['PF00032', 'PF00033']",MT-CYB
CDKN1C,['PF02234'],CDKN1C
KLF13,['PF00096'],KLF13
MPV17L,['PF04117'],MPV17L
KCNE1B,['PF02060'],KCNE1B
CNOT3,"['PF04153', 'PF04065']",CNOT3
LENG1,['PF10197'],LENG1
MARF1,"['PF12872', 'PF11608', 'PF01936']",MARF1
DNAJA3,"['PF01556', 'PF00226', 'PF00684']",DNAJA3
CHGA,['PF01271'],CHGA
PDK3,"['PF02518', 'PF10436']",PDK3
TTYH1,['PF04906'],TTYH1
BMERB1,['PF12130'],BMERB1
OR2AG2,['PF13853'],OR2AG2
CDH9,"['PF00028', 'PF01049']",CDH9
OR2AG1,['PF13853'],OR2AG1
TMC4,['PF07810'],TMC4
TMEM106B,['PF07092'],TMEM106B
DNAJC27,"['PF00226', 'PF00071']",DNAJC27
OTUD7A,"['PF01754', 'PF02338', 'PF14555']",OTUD7A
ARMC10,['PF04826'],ARMC10
IAH1,"['PF13472', 'PF00657']",IAH1
C21orf62,['PF15137'],C21orf62
OR11A1,['PF13853'],OR11A1
GABRA5,"['PF02931', 'PF02932']",GABRA5
TRIM26,"['PF13765', 'PF15227', 'PF00622', 'PF00643']",TRIM26
OR10C1,['PF13853'],OR10C1
OR5V1,['PF13853'],OR5V1
OR12D3,['PF13853'],OR12D3
OR12D2,['PF13853'],OR12D2
OR6A2,['PF13853'],OR6A2
FP565260.3,"['PF08205', 'PF07686']",FP565260.3
NAPEPLD,['PF12706'],NAPEPLD
ZNF214,"['PF00096', 'PF01352']",ZNF214
FP565260.2,['PF04003'],FP565260.2
SLC23A2,['PF00860'],SLC23A2
OR2D3,['PF13853'],OR2D3
NME8,"['PF00334', 'PF00085']",NME8
ADAM17,"['PF13688', 'PF00200', 'PF16698', 'PF01562']",ADAM17
ZNF215,"['PF02023', 'PF00096', 'PF01352']",ZNF215
GABRB3,"['PF02931', 'PF02932']",GABRB3
SLC22A18,['PF07690'],SLC22A18
OR10A5,['PF13853'],OR10A5
OR2D2,['PF13853'],OR2D2
SFRP4,"['PF01392', 'PF01759']",SFRP4
OR10A4,['PF13853'],OR10A4
OR10A2,['PF13853'],OR10A2
EPDR1,['PF00811'],EPDR1
HIST1H2BL,['PF00125'],HIST1H2BL
FAM8A1,['PF06271'],FAM8A1
HIST1H2AI,"['PF16211', 'PF00125']",HIST1H2AI
FP565260.1,"['PF04003', 'PF00400']",FP565260.1
HIST1H3H,['PF00125'],HIST1H3H
GPR141,['PF00001'],GPR141
HIST1H1B,['PF00538'],HIST1H1B
HIST1H2AL,"['PF16211', 'PF00125']",HIST1H2AL
HIST1H4K,['PF15511'],HIST1H4K
HIST1H3I,['PF00125'],HIST1H3I
HIST1H2AK,"['PF16211', 'PF00125']",HIST1H2AK
DUOXA1,['PF10204'],DUOXA1
HIST1H2BM,['PF00125'],HIST1H2BM
HIST1H2AM,"['PF16211', 'PF00125']",HIST1H2AM
HIST1H4J,['PF15511'],HIST1H4J
HIST1H3J,['PF00125'],HIST1H3J
HIST1H4L,['PF15511'],HIST1H4L
HIST1H2AJ,"['PF16211', 'PF00125']",HIST1H2AJ
VWDE,"['PF07645', 'PF00008', 'PF00094']",VWDE
RGN,['PF08450'],RGN
HIST1H2BN,['PF00125'],HIST1H2BN
CPXM1,"['PF13620', 'PF00754', 'PF00246']",CPXM1
KLHL7,"['PF07707', 'PF00651', 'PF01344']",KLHL7
ITPRID1,"['PF14722', 'PF14723']",ITPRID1
SHF,['PF00017'],SHF
ITPK1,"['PF05770', 'PF17927']",ITPK1
FYB1,"['PF14603', 'PF07653']",FYB1
CDK7,['PF00069'],CDK7
OR2H1,['PF13853'],OR2H1
DUOXA2,['PF10204'],DUOXA2
MYL9,"['PF13499', 'PF13405', 'PF13833']",MYL9
SERPINA10,['PF00079'],SERPINA10
NMRAL1,['PF05368'],NMRAL1
DUOX2,"['PF08022', 'PF03098', 'PF00036', 'PF08030', 'PF01794']",DUOX2
MBOAT7,['PF03062'],MBOAT7
