Genes,Average No. of Exons per Transcript,Norm_Symbol
MT-ND1,1.0,MT-ND1
MT-ND2,1.0,MT-ND2
MT-CO1,1.0,MT-CO1
MT-CO2,1.0,MT-CO2
MT-ATP8,1.0,MT-ATP8
MT-ATP6,1.0,MT-ATP6
MT-CO3,1.0,MT-CO3
MT-ND3,1.0,MT-ND3
MT-ND4L,1.0,MT-ND4L
MT-ND4,1.0,MT-ND4
MT-ND5,1.0,MT-ND5
MT-ND6,1.0,MT-ND6
MT-CYB,1.0,MT-CYB
NLRP7,8.9,NLRP7
TFPT,5.882352941176472,TFPT
AC025283.2,5.0,AC025283.2
AL929561.4,3.0,AL929561.4
LENG1,4.0,LENG1
AC012314.14,4.0,AC012314.14
AC136352.2,9.5,AC136352.2
GP6,6.846153846153847,GP6
AL592183.1,4.0,AL592183.1
MAFIP,4.0,MAFIP
RDH13,4.471698113207547,RDH13
AP000349.1,3.0,AP000349.1
VSTM1,7.132075471698112,VSTM1
AC171558.3,1.0,AC171558.3
OSCAR,5.387096774193548,OSCAR
AC133551.1,2.0,AC133551.1
CR388407.1,3.0,CR388407.1
AC136616.2,3.0,AC136616.2
AC012314.11,4.0,AC012314.11
CNOT3,11.01639344262295,CNOT3
AC011476.11,6.0,AC011476.11
RPS9,4.441176470588236,RPS9
AC243734.1,10.0,AC243734.1
AC243790.1,1.0,AC243790.1
VARS2,16.25974025974026,VARS2
AC012314.9,15.0,AC012314.9
TSEN34,4.791666666666667,TSEN34
SURF4,5.333333333333333,SURF4
MBOAT7,5.366197183098592,MBOAT7
AC006518.7,5.0,AC006518.7
AL391987.1,3.0,AL391987.1
SERTAD4,3.75,SERTAD4
HHAT,9.222222222222221,HHAT
NLRP2,10.067567567567568,NLRP2
AL627230.1,1.0,AL627230.1
AC012314.7,15.0,AC012314.7
SURF6,3.5,SURF6
TARM1,5.0,TARM1
AC007325.2,14.5,AC007325.2
GREM1,2.5,GREM1
AL662852.3,3.0,AL662852.3
AC006449.4,1.0,AC006449.4
AC012314.21,13.5,AC012314.21
AC236040.1,8.5,AC236040.1
ACP2,10.25,ACP2
MTMR10,10.416666666666666,MTMR10
AC012314.12,4.0,AC012314.12
AC145212.1,3.0,AC145212.1
AC213203.1,1.0,AC213203.1
AC011476.10,6.0,AC011476.10
AC012314.22,4.0,AC012314.22
OBP2B,7.2,OBP2B
CR753845.2,2.0,CR753845.2
FAN1,10.137931034482758,FAN1
AC142525.4,3.0,AC142525.4
ARHGAP11A,10.0,ARHGAP11A
AC026369.8,1.0,AC026369.8
