Genes,Average Gene Length,Norm_Symbol
MT-ND1,955.0,MT-ND1
MT-ND2,1041.0,MT-ND2
MT-CO1,1541.0,MT-CO1
MT-CO2,683.0,MT-CO2
MT-ATP8,206.0,MT-ATP8
MT-ATP6,680.0,MT-ATP6
MT-CO3,783.0,MT-CO3
MT-ND3,345.0,MT-ND3
MT-ND4L,296.0,MT-ND4L
MT-ND4,1377.0,MT-ND4
MT-ND5,1811.0,MT-ND5
MT-ND6,524.0,MT-ND6
MT-CYB,1140.0,MT-CYB
NLRP7,31815.75,NLRP7
TFPT,8718.21,TFPT
AC025283.2,15632.0,AC025283.2
AL929561.4,12527.0,AL929561.4
LENG1,4142.2,LENG1
AC012314.14,4120.0,AC012314.14
AC136352.2,31411.0,AC136352.2
GP6,24559.0,GP6
AL592183.1,29087.0,AL592183.1
MAFIP,61461.0,MAFIP
RDH13,29042.74683544304,RDH13
AP000349.1,1675.0,AP000349.1
VSTM1,23121.449735449736,VSTM1
AC171558.3,1083.0,AC171558.3
OSCAR,8054.553892215569,OSCAR
AC133551.1,2599.0,AC133551.1
CR388407.1,12526.0,CR388407.1
AC136616.2,89739.0,AC136616.2
AC012314.11,4120.0,AC012314.11
CNOT3,17987.07738095238,CNOT3
AC011476.11,6939.0,AC011476.11
RPS9,39962.76158940397,RPS9
AC243734.1,138642.0,AC243734.1
AC243790.1,398.0,AC243790.1
VARS2,16792.31948881789,VARS2
AC012314.9,13042.0,AC012314.9
TSEN34,4368.765217391305,TSEN34
SURF4,14716.0,SURF4
MBOAT7,16569.6220472441,MBOAT7
AC006518.7,3244.0,AC006518.7
AL391987.1,719.0,AL391987.1
SERTAD4,13835.0,SERTAD4
HHAT,349722.5,HHAT
NLRP2,40604.98523489933,NLRP2
AL627230.1,341.0,AL627230.1
AC012314.7,13042.0,AC012314.7
SURF6,7412.0,SURF6
TARM1,11447.833333333336,TARM1
AC007325.2,23770.0,AC007325.2
GREM1,25012.2,GREM1
AL662852.3,12536.0,AL662852.3
AC006449.4,365.0,AC006449.4
AC012314.21,16360.0,AC012314.21
AC236040.1,4380.0,AC236040.1
ACP2,9601.0,ACP2
MTMR10,52287.544,MTMR10
AC012314.12,4120.0,AC012314.12
AC145212.1,61428.0,AC145212.1
AC213203.1,509.0,AC213203.1
AC011476.10,6939.0,AC011476.10
AC012314.22,4120.0,AC012314.22
OBP2B,3973.0,OBP2B
CR753845.2,936.0,CR753845.2
FAN1,51869.4081632653,FAN1
AC142525.4,1578.0,AC142525.4
ARHGAP11A,23942.753846153846,ARHGAP11A
AC026369.8,2733.0,AC026369.8
WNT3,68448.27272727272,WNT3
AC006518.8,3244.0,AC006518.8
